"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"BOQUEST_STEM_CELL_UP",1e-50,7.233e-48,NA,0.710554414009358,4.73666717044207,240,"MYOC;FST;NTRK2;ITGBL1;ITGA8;PCOLCE2;PLN;FXYD1;DPT;CHRDL1;PTGIS;HSPB8;THBS2;MFAP5;INHBA;COL14A1;ATP1A2;PRELP;IGFBP6;COL3A1;FBLN5;DDR2;OGN;COL1A1;CRYAB;COL5A1;FBN1;SLIT2;SFRP4;PLP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,7.233e-48,NA,0.746742503176406,4.82430823823881,185,"COMP;GREM1;PCOLCE2;COL4A1;THBS2;MFAP5;INHBA;COL4A2;COL3A1;FBLN5;THY1;COL1A1;COL5A1;CTHRC1;FGF2;CDH2;ELN;COL12A1;NNMT;FBN1;ITGA5;SLIT2;SFRP4;NT5E;CAP2;SERPINE1;CDH11;PMP22;SLIT3;FAP"
"LIM_MAMMARY_STEM_CELL_UP",1e-50,7.233e-48,NA,0.664150811292023,4.62662815081513,428,"FST;NTRK2;SBSPON;MYOCD;PPP1R14A;KCNMB1;FXYD1;CSDC2;CSPG4;NRP2;COL4A1;LMOD1;CCDC3;SULF1;MCAM;SORBS1;RASL12;FHL1;MEDAG;SYNM;COL14A1;COL4A2;MRGPRF;GJC1;MSRB3;FLNC;TGFB1I1;ITGA9;HSPB2;IGFBP6"
"SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN",1.28428423059192e-42,5.46425167051257e-40,1.7026781142338,0.493854131159565,3.35216049066014,326,"CPXM2;GREM1;NTRK2;C1QTNF7;CCDC80;NRP2;SULF1;FILIP1L;ABCC9;INHBA;KCNAB1;NEGR1;FIBIN;MRGPRF;TGFB1I1;SYNPO2;DDR2;ADAMTS8;ESR1;PDLIM7;ZEB1;ELN;PCDH10;COL8A1;SLIT2;EMILIN3;MEIS1;TSPAN18;CD248;PCDH18"
"LIM_MAMMARY_STEM_CELL_DN",8.81450106620378e-38,2.77196896573269e-35,1.60243114923556,-0.531054249215452,-2.54657438773859,394,"SUSD4;CLDN8;RHPN2;CGN;EPCAM;LIPH;VIPR1;CORO2A;TDRKH;SLC37A1;WNK4;GRTP1;MARVELD3;BDH1;CAMSAP3;CDH1;KLK11;CREB3L4;SLC10A7;RORC;HPN;PPM1H;ICA1;ABHD17C;ILDR1;ARFGEF3;COBL;MCCC2;BIK;GOLM1"
"REN_ALVEOLAR_RHABDOMYOSARCOMA_DN",1.34568318443409e-28,2.56140170342415e-26,1.38774608305349,0.383002971843009,2.73110463350836,401,"ITGBL1;THBS2;INHBA;TGFB1I1;IGFBP6;FBLN5;COL1A1;COL5A1;LAMA4;FGF2;SMTN;CAV1;COL8A1;NNMT;FBN1;ITGA5;MFGE8;NT5E;RAB31;PLS3;FAP;PDGFRA;CD248;DPYSL3;SCARA3;FN1;MMP2;COL5A2;MYLK;CAVIN1"
"OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN",4.29946684620735e-26,6.91067637747061e-24,1.32671609800481,0.453025931668606,3.01312967560335,243,"SGCA;NRP2;PTGIS;THBS2;BNC2;TGFB1I1;COL3A1;DDR2;KCNE4;COL5A1;CAVIN3;AOC3;FBN1;UNC5C;ARHGAP10;PMP22;RAB31;MOXD1;SEMA3A;FAP;ADGRA2;MXRA8;COL5A2;ADAMTS2;AEBP1;PDLIM3;EMILIN1;ACTA2;TPM2;PHYHIP"
"TOMLINS_PROSTATE_CANCER_DN",4.50891621860408e-26,7.08978065416594e-24,1.32671609800481,0.8801599167998,4.19175046208991,39,"FHL1;PCP4;TGFB1I1;CNN1;LAMA4;SMTN;AKAP12;MEIS1;PMP22;RBPMS;MYLK;CAVIN1;PPP1R12B;TPM2;VCL;ATP2B4;CLU;DAAM2;C7;GSN;SVIL;ZNF516;TACC1;SPART;GAS1;DST;MEIS2;SGCE;SEC23A;LPIN1"
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP",1.55446222459006e-25,2.34238026467915e-23,1.31101476274061,0.762806655700788,4.03052554964453,63,"COMP;SULF1;THBS2;INHBA;COL3A1;THY1;COL1A1;SFRP2;COL5A1;CTHRC1;FNDC1;ZEB1;COL12A1;COL8A1;FBN1;POSTN;COL6A3;COL1A2;EDNRA;FN1;COL5A2;PRRX1;AEBP1;BGN;SPARC;LOX;GPX8;ASPN;VCAN;CILP"
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",6.54747473224986e-23,8.02676012514631e-21,1.23789667319529,0.410752401859036,2.78143679569156,270,"FST;CHRDL2;GREM1;ITGA8;MYOCD;CHRDL1;SULF1;TGFB1I1;SFRP2;RBPMS2;ZEB1;FGF2;CAV1;FBN1;ITGA5;SLIT2;SFRP4;DMD;TNXB;NRXN1;ADGRA2;TNFAIP6;EMILIN1;SFRP1;RGMA;ATP2B4;CHRD;LTBP1;SCUBE3;HTRA3"
"LEE_NEURAL_CREST_STEM_CELL_UP",1.88489009012735e-22,2.27223500364852e-20,1.22950405660873,0.590122783350385,3.51716165043844,109,"FST;SCRG1;NRP2;RASL12;COL14A1;ATP1A2;CDH19;COL3A1;TNNC2;NFASC;KLHL41;PMP22;MOXD1;FAP;POSTN;PDGFRA;NR2F1;COL1A2;EDNRA;NRXN1;DACT1;BCHE;ROR1;BGN;L1CAM;MITF;RUNX1T1;RBP1;SOX10;ZEB2"
