"gene","log2FC","pvalue","padj","mean_iface","mean_distal","cscore","sig"
"HSPB7",1.60085279151029,4.54007963993798e-06,0.000142729931087096,0.184140770590458,0.0540047256298813,6.15605530714308,TRUE
"SYT11",1.48526409722016,1.5756742196964e-06,0.000101941760690139,0.205951914758616,0.0671343837866918,5.92865126968874,TRUE
"ACTC1",1.53348911299906,8.59744481757151e-06,0.00018452844379697,0.122790922079062,0.0358714180087358,5.72595124866876,TRUE
"PLEKHH1",-1.46881386940404,1.59972352463448e-05,0.000240243910493422,0.144983838930645,0.418986323670731,5.31614797020354,TRUE
"WFDC1",1.34778408693313,6.67365143040023e-06,0.000165238300857606,0.485237034505106,0.184576181624942,5.0971701894728,TRUE
"SGCA",1.41925837592006,2.5959840395872e-05,0.000310718374027369,0.223609046780545,0.0773474668452818,4.97823760631228,TRUE
"CPNE4",-1.29856833765476,5.16577882449715e-06,0.000150243851300586,0.179382951458942,0.45585300539324,4.96469074389679,TRUE
"INMT",1.26382796898882,2.68976868945905e-06,0.000118139318699632,0.479220971510144,0.1937299777269,4.96381773009737,TRUE
"HIST2H2BE",-1.41259391381588,2.5959840395872e-05,0.000310718374027369,0.139494649282089,0.387977746367851,4.95486111867917,TRUE
"SSC5D",1.39056674004274,2.5959840395872e-05,0.000310718374027369,0.228863837172916,0.0811062361114898,4.87759787563709,TRUE
"CPXM2",1.44110247062157,4.68040323863386e-05,0.000434040087362416,0.195260054378343,0.0655943555780705,4.8456640517639,TRUE
"GALNT3",-1.19720231200304,1.04727416652075e-06,0.000101941760690139,0.139014764673878,0.331682792698291,4.77881005836973,TRUE
"COL4A1",1.19194465955606,2.21776433009225e-07,0.000101941760690139,0.644358590405635,0.276420904905617,4.75782336117985,TRUE
"FAAH2",-1.17678586632189,2.68976868945905e-06,0.000118139318699632,0.0577737227536694,0.143217787226826,4.62195068562234,TRUE
"PPP1R14A",1.22418235136211,7.57738105972626e-06,0.000175297794195469,0.659797491657381,0.276700142551015,4.59830257606422,TRUE
"CSPG4",1.19891532516365,5.16577882449715e-06,0.000150243851300586,0.215833193125555,0.0883735400406847,4.5836970184456,TRUE
"ENPP5",-1.14032691342895,1.04727416652075e-06,0.000101941760690139,0.207119039837267,0.468597599010938,4.55178349481015,TRUE
"SLC30A4",-1.15946271675156,3.49946185750906e-06,0.000130288318247751,0.24704278654006,0.564167329537233,4.50462224899458,TRUE
"DNAJB5",1.16749191144375,4.54007963993798e-06,0.000142729931087096,0.119508188854817,0.0476563499253923,4.48957256757467,TRUE
"CCDC88C",-1.12292672634638,1.04727416652075e-06,0.000101941760690139,0.095841489811087,0.220510425216408,4.48232807510869,TRUE
"TESK2",-1.17865081199709,5.87357409571104e-06,0.000158932621914838,0.107644413471201,0.256305758565115,4.4774433255597,TRUE
"COL4A2",1.12059452431244,6.91658348807714e-07,0.000101941760690139,0.866868029386193,0.393275344800999,4.47301874582812,TRUE
"ATP8A1",-1.12044398934414,6.91658348807714e-07,0.000101941760690139,0.159715843844902,0.358985786348791,4.47241786324258,TRUE
"LMOD1",1.19014528024114,7.57738105972626e-06,0.000175297794195469,0.867472345153816,0.374559911669497,4.47045172799158,TRUE
"EPCAM",-1.114992318808,1.80296917210831e-06,0.000101941760690139,0.394539134758747,0.866206910654492,4.4506567141604,TRUE
