"condition","signature","n_in","n_sig","n_up","n_down","fisher_p","mean_FC","NES","fgsea_padj"
"NEADT","CUSTOM_ASPC_SIGNATURE",125,76,74,2,4.75782231766162e-17,0.581085614621054,4.93906659270868,3.31325e-47
"NEADT","CUSTOM_NEPC_BELTRAN_UP",13,6,6,0,0.085249632305858,0.516362215800875,2.75101990135622,2.49499818542101e-05
"NEADT","CUSTOM_NEPC_BELTRAN_DOWN",37,21,1,20,4.75895336033766e-05,-0.467676889063665,-1.98087884025684,0.0015546332534764
"NEADT","CUSTOM_TNFSF12_SIGNATURE",24,2,1,1,0.991884585307497,-0.0609907682667815,1.08794710958711,0.637536746385392
"NEADT","CUSTOM_MDK_SIGNATURE",24,6,5,1,0.594488774351532,0.0867542635604394,1.93093245365591,0.0170810751005551
"NEADT","CUSTOM_HALLMARK_ADIPOGENESIS",30,10,2,8,0.210236447781166,-0.268217302991013,-1.26408917557169,0.419491536600484
"NEADT","CUSTOM_HALLMARK_ANDROGEN_RESPONSE",98,32,2,30,0.0639280397566007,-0.345473075887412,-1.63453484764313,0.0137051503988795
"NEADT","CUSTOM_NECROPTOSIS",35,5,0,5,0.963206852960383,-0.287622908792565,-1.20553577907711,0.506777819172384
"NEADT","CUSTOM_FERROPTOSIS",39,8,0,8,0.809497077510061,-0.309433049711657,-1.36791128974813,0.275135970849937
"NEADT","CUSTOM_PYROPTOSIS",26,3,1,2,0.976589860906619,-0.0941695059923991,0.872614436696245,0.925786216242648
"NEADT","CUSTOM_CUPROPTOSIS",37,15,2,13,0.0307285036174249,-0.325335226984835,-1.35147521977329,0.293717897878577
"NEADT","CUSTOM_APOPTOSIS_INTRINSIC",33,6,0,6,0.878057796852112,-0.282652198800135,-1.01779732957643,0.759502611795433
"NEADT","CUSTOM_APOPTOSIS_EXTRINSIC",26,5,0,5,0.827054748029048,-0.270941755833078,-1.01522951358864,0.767804448682166
"NEADT","CUSTOM_AUTOPHAGY",34,6,0,6,0.895534401634472,-0.268477266985951,-0.934930406782444,0.861924148476008
"NEADT","CUSTOM_MITO_OXPHOS",65,4,0,4,0.999989509765479,-0.222615834029208,-0.980915752153569,0.814337142425447
"NEADT","CUSTOM_MITO_DYNAMICS",34,5,0,5,0.955723225863377,-0.310524044016103,-1.06513463553498,0.698982130644863
"NEADT","CUSTOM_MITO_BIOGENESIS",38,14,0,14,0.0785802772788367,-0.449487458877051,-1.72729169718091,0.0249146162584179
"NEADT","CUSTOM_MITO_APOPTOSIS",29,6,0,6,0.782226189643492,-0.326102538062423,-1.09050561660513,0.66897453393871
"NEADT","CUSTOM_SENESCENCE",30,4,4,0,0.96614862493942,0.0775968128762167,2.0584014865223,0.0076561059842761
"NEADT","CUSTOM_LIPID_METABOLISM",43,18,0,18,0.0131839543494448,-0.41759347378801,-1.84984231738177,0.00557126816965965
"NEADT","CUSTOM_NEURO_DIFFERENTIATION",18,3,1,2,0.872330986005208,-0.154093580895636,-1.09296518537793,0.6670650449102
