"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1e-50,3.30975e-47,NA,0.642489657017874,4.3131482016226,263,"ACTC1;SGCA;NCAM1;ACTA1;COMP;ITGA8;PCOLCE2;COL4A1;ITGA11;MFAP5;COL14A1;COL4A2;ITGA7;ITGA9;COL3A1;FBLN5;DDR2;COL1A1;COL5A1;ADAMTS8;LAMA4;FGF2;ELN;COL12A1;COL8A1;ADAMTS5;FBN1;ITGA5;ITGA1;EMILIN3;NID1;DMD;SERPINE1;TNXB;COL6A3;COL1A2;ACTG2;NRXN1;MFAP4;FN1;MMP2;COL5A2;JAM3;ADAMTS2;COL21A1;ADAMTS4;JAM2;EMILIN1;ACTA2;COL8A2","C2_CP"
"REACTOME_MUSCLE_CONTRACTION",5.93348773956671e-34,7.1412221985567e-31,1.51610760180865,0.636840281969847,3.85817198873305,139,"TTN;ACTC1;ACTA1;ACTN2;CASQ2;PLN;TNNC1;FXYD1;LMOD1;TNNT1;SORBS1;ABCC9;ATP1A2;KCNE4;PDE5A;MYH3;TCAP;TNNC2;NEB;ITGA1;DMD;DES;SLC8A1;ACTG2;MYLK;MYL3;TMOD1;TNNT3;MYH11;ACTA2;TPM2;VCL;ATP2B4;KCNH2;CES1;ATP1B2;TNNI2;ANXA6;TPM1;DYSF;SCN7A;MYL9;FXYD6;DMPK;TRPC1;ATP2A1;CALD1;KCNIP3;NPR1;RYR2","C2_CP"
"REACTOME_ECM_PROTEOGLYCANS",1.42381549238452e-25,9.92099647562032e-23,1.31101476274061,0.774684542968361,4.09801569251501,61,"NCAM1;COMP;ITGA8;COL4A1;COL4A2;ITGA7;ITGA9;COL3A1;COL1A1;COL5A1;LAMA4;SERPINE1;TNXB;COL6A3;COL1A2;FN1;COL5A2;COL6A1;COL5A3;BGN;SPARC;COL4A3;COL6A2;LAMA2;HSPG2;ASPN;DCN;COL4A4;VCAN;MATN3;LUM;TGFB2;TGFB1;LAMB1;LAMB2;TNC;TGFB3;ITGB1;COL9A3","C2_CP"
"PID_INTEGRIN1_PATHWAY",1.41019236270686e-24,9.33476834493805e-22,1.28710367230144,0.763470786694052,4.03869587052905,61,"ITGA8;CSPG4;COL4A1;THBS2;ITGA11;ITGA7;ITGA9;COL3A1;COL1A1;COL5A1;LAMA4;FBN1;ITGA5;ITGA1;NID1;COL6A3;COL1A2;FN1;COL5A2;JAM2;COL6A1;COL4A3;COL6A2;LAMA2;COL4A4;TGFBI;F13A1;THBS1;TGM2;LAMB1;LAMB2;TNC;COL18A1;CD14;ITGB1;VCAM1","C2_CP"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",7.242235502694e-24,3.99499815917357e-21,1.26273988547916,0.701956621255622,3.8975917505207,74,"ACTC1;SGCA;ACTA1;COL4A1;COL4A2;COL3A1;DDR2;COL1A1;COL5A1;LAMA4;FGF2;DMD;COL1A2;ACTG2;NRXN1;FN1;COL5A2;ACTA2;DTNA;COL10A1;COL5A3;SSPN;COL4A3;LAMA2;HSPG2;COL4A4;SGCD;ACTN1;THBS1;SDC3;TGFB1;LAMB1;PRKCA;DRP2;LAMB2;SGCG;LAMC3;TNC;ITGB1;SGCE","C2_CP"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",6.93273099499188e-22,3.16491122905853e-19,1.21254456769062,0.67683207774415,3.75808852402396,74,"COMP;ITGA8;COL4A1;ITGA11;COL4A2;ITGA7;ITGA9;COL3A1;COL1A1;COL5A1;COL8A1;FBN1;ITGA5;ITGA1;COL6A3;COL1A2;FN1;COL5A2;JAM3;JAM2;COL8A2;COL10A1;COL6A1;COL5A3;COL16A1;COL4A3;COL6A2;HSPG2;COL4A4;THBS1;LUM;KDR;COL23A1;TNC;VWF;PECAM1;COL18A1;ITGB1;VCAM1;COL9A3","C2_CP"
"REACTOME_COLLAGEN_FORMATION",7.86757544674387e-21,3.35996230127233e-18,1.1778932614942,0.650003901781824,3.60504700583134,78,"PCOLCE2;COL4A1;COL14A1;COL4A2;COL3A1;COL1A1;COL5A1;COL12A1;COL8A1;COL6A3;COL1A2;COL5A2;ADAMTS2;COL21A1;COL8A2;COL10A1;PCOLCE;COL6A1;LOXL1;LOXL2;COL5A3;COL16A1;COL4A3;COL6A2;LOX;BMP1;SERPINH1;COL4A4;COLGALT2;COL15A1;COL27A1;COL23A1;PLOD2;P3H3;COL18A1;LOXL3;DST;COL9A3;TLL1;CRTAP;COL24A1;COL13A1;P4HA3","C2_CP"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",1.02501894767669e-20,4.11218965099748e-18,1.1778932614942,0.583238029738497,3.40229007374788,107,"COL4A1;COL14A1;COL4A2;COL3A1;COL1A1;COL5A1;ADAMTS8;ELN;COL12A1;COL8A1;ADAMTS5;FBN1;NID1;COL6A3;COL1A2;FN1;MMP2;COL5A2;ADAMTS4;COL8A2;COL10A1;COL6A1;COL5A3;COL16A1;SCUBE3;COL4A3;COL6A2;BMP1;HSPG2;CAPN6;MMP16;TIMP2;CTSK;HTRA1;DCN;COL4A4;MMP17;TPSAB1;SPOCK3;ADAMTS9;COL15A1;A2M;COL23A1;MMP14;MMP11;LAMB1;TIMP1;COL18A1;MMP19;ADAMTS1","C2_CP"
"WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY",1.25514146872633e-20,4.88729938366701e-18,1.1778932614942,0.897335352046745,3.92362344634693,28,"TTN;ACTC1;ACTA1;ACTN2;TNNC1;TNNT1;MYH3;TCAP;TNNC2;NEB;DMD;DES;MYOM1;MYL3;TMOD1;TNNT3;ACTA2;TPM2;TNNI2;TPM1;MYL9","C2_CP"
"WP_BURN_WOUND_HEALING",1.78513270986906e-20,6.752391984559e-18,1.16906996676109,0.646996142161481,3.59718462953315,79,"FST;ACTA1;INHBA;COL1A1;SFRP2;ELN;FBN1;FGFR1;CD248;COL1A2;FN1;MMP2;PDGFRB;HGF;SPARC;NOX4;TIMP2;CXCL14;SERPINH1;TAGLN;DCN;LGALS1;F13A1;KDR;TGFB2;IL1B;S100A6;CXCL12;TIMP1;VIM;TNC;PECAM1;CNN2;TGFB3;LY96;SNAI2;CCL2","C2_CP"
"REACTOME_ELASTIC_FIBRE_FORMATION",1.97268078353435e-19,6.69649253672083e-17,1.14219120216838,0.800584799846911,3.85609450559118,41,"ITGA8;MFAP5;FBLN5;ELN;FBN1;ITGA5;EMILIN3;MFAP4;FN1;EMILIN1;LOXL1;LOXL2;LTBP1;MFAP2;LOX;EFEMP1;EFEMP2;LTBP2;BMP4;FBLN1;LTBP4;TGFB2;TGFB1;FBLN2;GDF5;TGFB3;LOXL3;ITGB1;LTBP3","C2_CP"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",5.30456962441049e-19,1.67207612518025e-16,1.12391496374483,0.70300329825169,3.69351453651956,59,"PCOLCE2;COL4A1;COL14A1;COL4A2;COL3A1;COL1A1;COL5A1;COL12A1;COL8A1;COL6A3;COL1A2;COL5A2;ADAMTS2;COL21A1;COL8A2;COL10A1;PCOLCE;COL6A1;COL5A3;COL16A1;COL4A3;COL6A2;BMP1;SERPINH1;COL4A4;COLGALT2;COL15A1;COL27A1;COL23A1;PLOD2;P3H3;COL18A1;COL9A3;TLL1;CRTAP;COL24A1;COL13A1;P4HA3","C2_CP"
"WP_FOCAL_ADHESION",3.87561139496271e-18,1.11541780995459e-15,1.0959292864312,0.44085563032704,2.81480237647232,178,"COMP;ITGA8;COL4A1;THBS2;ITGA11;COL4A2;ITGA7;FLNC;ITGA9;COL1A1;LAMA4;CAV1;ITGA5;ITGA1;TNXB;PDGFRA;COL1A2;FN1;COL5A2;MYLK;PDGFRB;PPP1R12B;VCL;HGF;COL5A3;COL6A2;LAMA2;FLNA;PAK3;MYL9;COL4A4;THBS4;CAV2;ACTN1;THBS1;KDR;ZYX;PDGFD;PPP1R12A;LAMB1;ILK;TLN1;SHC3;PRKCA;ROCK2;LAMB2;IGF1;PDGFC;MET;LAMC3","C2_CP"
