"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",1e-50,3.30975e-47,NA,0.755699508126863,4.57292653594245,132,"COMP;SBSPON;DPT;COL4A1;THBS2;MFAP5;COL14A1;COL4A2;HMCN2;PRELP;COL3A1;FBLN5;OGN;COL1A1;COL5A1;PODN;CTHRC1;LAMA4;HMCN1;ELN;COL12A1;COL8A1;FBN1;MFGE8;EMILIN3;NID1;TNXB;POSTN;COL6A3;COL1A2;TINAGL1;MFAP4;FN1;COL5A2;COL21A1;AEBP1;EMILIN1;COL8A2;COL10A1;PCOLCE;COL6A1;COL5A3;BGN;LTBP1;MFAP2;COL16A1;ABI3BP;SPARC;COL4A3;NID2","C5_GO"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",4.67319343324036e-49,1.03114013104449e-45,1.82591885766985,0.560721454443115,3.80971468411474,276,"COMP;GREM1;ITGA8;CCDC80;DPT;COL4A1;SULF1;COL14A1;COL4A2;ANGPTL7;COL3A1;FBLN5;DDR2;COL1A1;SFRP2;COL5A1;ADAMTS8;HMCN1;ELN;COL12A1;CAV1;COL8A1;ADAMTS5;MMP23B;NID1;TNXB;FAP;POSTN;PDGFRA;COL1A2;SMOC1;MFAP4;MMP2;COL5A2;ADAMTS2;ADAMTS4;EGFLAM;AEBP1;EMILIN1;MYH11;HPSE2;FOXF1;COL8A2;COL10A1;ECM2;COL6A1;LOXL1;LOXL2;COL5A3;NDNF","C5_GO"
"GOCC_CONTRACTILE_MUSCLE_FIBER",3.78112361103697e-46,7.15118506950263e-43,1.76830432671752,0.634170642715721,4.07304214690105,190,"TTN;ACTC1;NEXN;ACTA1;ACTN2;LDB3;CASQ2;TNNC1;LMOD1;JPH2;TNNT1;ABCC9;IGFN1;MYOT;SYNM;FLNC;SYNPO2;CA3;CRYAB;MYH3;TCAP;PDLIM7;FHOD3;TNNC2;SYNPO;NEB;KCNN3;KLHL41;ARHGEF25;DMD;PGM5;ASB2;S100A1;KCNJ8;DES;MYOM1;SLC8A1;MMP2;MYOZ3;MYL3;FBXL22;TMOD1;TNNT3;FERMT2;PDLIM3;MYH11;ACTA2;PPP1R12B;TPM2;VCL","C5_GO"
"GOBP_MUSCLE_CONTRACTION",5.23859244613952e-42,8.66921567430514e-39,1.69047237898449,0.502435094642288,3.49281000623631,304,"TTN;ACTC1;SGCA;ACTA1;COMP;CASQ2;PRKG1;MYOCD;PLN;TNNC1;FXYD1;LMOD1;P2RX1;SULF1;JPH2;TNNT1;ABCC9;MYOT;SYNM;GNAO1;GJC1;ATP1A2;CA3;KCNE4;CRYAB;MYH3;TCAP;CNN1;TNNC2;SMTN;CAV1;KCNMA1;KLHL41;DMD;KCNJ8;DES;EDNRA;SLC8A1;MYLK;MYL3;TMOD1;TNNT3;MYH11;ACTA2;PPP1R12B;TPM2;DTNA;ATP2B4;KCNH2;SSPN","C5_GO"
"GOBP_MUSCLE_CELL_DIFFERENTIATION",1.55128212472434e-36,2.2819360054695e-33,1.56979165706381,0.437861982828805,3.07850105747699,370,"TTN;ACTC1;ACTA1;ACTN2;COMP;GREM1;ITGA8;LDB3;MYOCD;LMOD1;TNNT1;COL14A1;FLNC;MYH3;TCAP;CARMN;RBPMS2;ZEB1;CDH2;FHOD3;SPEG;ADAMTS5;NEB;ISL1;PLPP7;KLHL41;EHD2;NID1;DMD;NFATC4;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;EDNRA;SLC8A1;PRDM6;TMOD1;TNNT3;PDGFRB;MYH11;FOXF1;TMEM119;COL6A1;MYOZ1;SYNE1;LAMA2;ANK2;TBX2","C5_GO"
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",2.67090372446859e-34,3.53600944082397e-31,1.52292160289117,0.445167207846083,3.09162809595917,327,"TTN;ACTC1;ACTA1;ACTN2;GREM1;ITGA8;GATA5;MYOCD;PLN;TNNC1;JPH2;S100B;ABCC9;COL14A1;GJC1;COL3A1;TCAP;EYA1;CARMN;FOXP2;FGF2;ELN;FHOD3;CAV1;NEB;ISL1;KLHL41;DMD;FGFR1;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;EDNRA;SLC8A1;MYLK;MYL3;PDGFRB;MYH11;COL6A1;HEYL;MYOZ1;FOXC1;TBX2;LOX;ZFPM2;PRICKLE1;CFL2;HLF","C5_GO"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT",5.43755463397825e-32,5.9989821499365e-29,1.46752397671296,0.46768901811751,3.15468697459351,273,"TTN;ACTC1;SGCA;ACTA1;MYOCD;TNNC1;JPH2;FHL1;ITGA11;S100B;ABCC9;NEGR1;ITGA7;COL3A1;CRYAB;MYH3;TCAP;FOXP2;ELN;SMTN;CAV1;SPEG;NEB;ISL1;KLHL41;DMD;ASB2;DES;COL6A3;MYOM1;EDNRA;CNTFR;MYLK;MYL3;COL6A1;HEYL;MYOZ1;FZD2;LAMA2;FOXC1;LOX;ZFPM2;ITGB1BP2;CFL2;HLF;MKX;MEF2C;RBM24;LIF;EFEMP2","C5_GO"
"GOBP_CELL_SUBSTRATE_ADHESION",5.97176572756774e-29,6.0815543436361e-26,1.39518713415833,0.416480443330416,2.88640213902455,326,"MYOC;ACTN2;GREM1;ITGBL1;ITGA8;CCDC80;SORBS1;ITGA11;ITGA7;TGFB1I1;ITGA9;COL3A1;FBLN5;THY1;COL1A1;COL8A1;ITGA5;ITGA1;NID1;SVEP1;SERPINE1;TNXB;CDH11;LYVE1;FN1;CCL21;JAM3;EGFLAM;FERMT2;EMILIN1;SFRP1;FOXF1;VCL;ECM2;COL5A3;NDNF;FREM2;VIT;L1CAM;COL16A1;GAS6;ATP1B2;NID2;GPM6B;TSPAN11;BST1;PEAK1;FLNA;EFNA5;EFEMP2","C5_GO"
"GOMF_INTEGRIN_BINDING",4.56442200647473e-28,4.3163130674085e-25,1.37274298193398,0.612640467213415,3.66623575613191,125,"ACTN2;COMP;ITGBL1;ITGA9;COL3A1;FBLN5;THY1;SFRP2;COL5A1;ADAMTS8;FGF2;GFRA1;ADAMTS5;FBN1;ITGA5;MFGE8;SVEP1;TNXB;FAP;FN1;JAM3;JAM2;FERMT2;EMILIN1;ECM2;COL16A1;COL4A3;HSPG2;ITGB1BP2;S1PR3;ADAM22;PLPP3;EDIL3;THBS4;FBLN1;TGFBI;LTBP4;ACTN1;THBS1;KDR;MMP14;IL1B;TSPAN4;LAMB1;ILK;TLN1;PTN;CXCL12;PRKCA;S1PR2","C5_GO"
"GOCC_I_BAND",1.88390789505927e-27,1.66273710817931e-24,1.3575740855908,0.628334100404123,3.71195752421062,116,"TTN;ACTC1;NEXN;ACTN2;LDB3;CASQ2;JPH2;IGFN1;MYOT;FLNC;SYNPO2;CRYAB;TCAP;PDLIM7;FHOD3;SYNPO;NEB;KCNN3;DMD;PGM5;ASB2;S100A1;DES;SLC8A1;MYOZ3;MYL3;FBXL22;FERMT2;PDLIM3;PPP1R12B;ATP2B4;MYOZ1;PALLD;ANK2;ITGB1BP2;CFL2;CSRP1;FLNA;PDLIM4;DNAJB4;MYL9;ATP2A1;ANKRD2;ACTN1;RYR2;CACNA1C;FHL3;SLMAP;FHL5;PPP1R12A","C5_GO"
"GOMF_GLYCOSAMINOGLYCAN_BINDING",5.08072758699671e-26,4.20398453276559e-23,1.32671609800481,0.544087566754632,3.38397940374883,157,"COMP;CCDC80;PCOLCE2;NRP2;THBS2;RSPO3;PRELP;COL5A1;ADAMTS8;FGF2;ADAMTS5;FBN1;SLIT2;TNXB;SLIT3;FGFR1;LYVE1;POSTN;SMOC1;DPYSL3;FN1;EGFLAM;TNFAIP6;SFRP1;ECM2;PCOLCE;COL5A3;NDNF;BGN;VIT;SUSD5;FGF7;HAPLN2;STAB1;RSPO1;SERPINE2;EFEMP2;LTBP2;DCN;VCAN;TGFBR3L;THBS4;SOD3;CFH;SMOC2;BMP4;SPOCK3;ENG;NELL1;TGFBR3","C5_GO"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION",8.98354778541266e-26,6.99606994888695e-23,1.31888879607587,0.72130823076717,4.00504094511138,74,"COMP;GREM1;DPT;COL4A1;COL14A1;COL4A2;COL3A1;DDR2;COL1A1;SFRP2;COL5A1;COL12A1;TNXB;COL1A2;COL5A2;ADAMTS2;AEBP1;EMILIN1;COL6A1;LOXL1;LOXL2;COL5A3;COL4A3;FOXC1;LOX;BMP1;EFEMP2;SERPINH1;CYP1B1;COL4A4;COLGALT2;LUM;FOXC2;TGFB2;MMP11;PLOD2;FKBP10;ADAMTS12;LOXL3","C5_GO"
"GOCC_CELL_SUBSTRATE_JUNCTION",1.12216884628114e-25,8.25355186439781e-23,1.31101476274061,0.36833417795793,2.51153397275481,398,"ACTC1;NEXN;ACTN2;ITGBL1;ITGA8;CSPG4;MCAM;SORBS1;FHL1;ITGA11;FLNC;TGFB1I1;SYNPO2;DDR2;THY1;PDLIM7;CNN1;HMCN1;LIMS2;CDH2;CAV1;ITGA5;NFASC;ITGA1;SCARF2;AKAP12;DMD;PGM5;FAP;TNS1;FERMT2;PDGFRB;VCL;MRC2;PALLD;L1CAM;FZD2;HSPG2;PEAK1;CSRP1;NOX4;DIXDC1;ANXA6;EPB41L2;FLNA;GSN;CAV2;ENG;LPP;SVIL","C5_GO"
"GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION",2.03676632270498e-24,1.28403568315673e-21,1.27903397725049,0.422564253623399,2.86138809202785,272,"TTN;ACTC1;ACTA1;ACTN2;GREM1;LDB3;MYOCD;LMOD1;TNNT1;COL14A1;FLNC;MYH3;TCAP;CARMN;CDH2;FHOD3;ADAMTS5;NEB;ISL1;PLPP7;KLHL41;EHD2;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;SLC8A1;TMOD1;TNNT3;PDGFRB;MYH11;TMEM119;COL6A1;MYOZ1;PRICKLE1;CFL2;CSRP1;NOX4;MEF2C;RBM24;TPM1;POPDC2;MYL9;DMPK;BMP4;CAV2;AVPR1A;MYOM2;FZD7","C5_GO"
"GOCC_BASEMENT_MEMBRANE",2.3486978250193e-24,1.41338229570139e-21,1.27903397725049,0.657018402666689,3.73809536171954,89,"CCDC80;COL4A1;THBS2;COL4A2;HMCN2;COL5A1;LAMA4;HMCN1;COL8A1;FBN1;NID1;SMOC1;FN1;EGFLAM;ACTA2;COL8A2;COL6A1;LOXL1;LOXL2;FREM2;COL16A1;SPARC;COL4A3;NID2;LAMA2;HSPG2;EFNA5;EFEMP2;COL4A4;TIMP3;THBS4;SMOC2;MATN2;COL15A1;FBLN1;TGFBI;LAMB1;TIMP1;LAMB2;ENTPD1;LAMC3;TNC;COL18A1;COLQ;VWA1;DST;FREM1;ADAMTS1;COL9A3;MMRN2","C5_GO"
