"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"ESC_V6.5_UP_EARLY.V1_DN",1.18009880944575e-21,5.39305155916709e-19,1.20397524075264,0.547852073144698,3.34257275493152,130,"ACTA1;CCDC80;COL4A1;INHBA;COL4A2;TGFB1I1;COL3A1;COL1A1;FGF2;CAV1;NID1;SERPINE1;PMP22;FAP;TUBB6;COL1A2;SCARA3;CAVIN1;AEBP1;C3orf70;CAVIN2;PCOLCE;LOXL1;BGN;COL16A1;LOX;CAMK4;CSRP1;TIMP2;TSHZ2;MRAS;SERPINF1;HTRA1;TAGLN;GSN;SOCS3;BMP4;CALD1;AXL;C16orf89;MGP;IGFBP3;S100A4;CDC42EP1;EMP1;KIT;FBLN2;IGFBP7;S100A6;SMARCD3","C6_ONCO"
"LEF1_UP.V1_UP",1.36812717838808e-19,4.64917679363519e-17,1.14219120216838,0.481348302949122,3.06061955592656,159,"FHL1;MAP1B;FLNC;IGFBP6;ADAMTS8;CAVIN3;AKAP12;SERPINE1;NES;FN1;TMOD1;COL6A1;LOXL1;PCSK5;TMEM47;L1CAM;MFAP2;RBP1;ZFPM2;FOXF2;HBA2;DCLK1;PDLIM4;LTBP2;MAOB;MYL9;TMEM158;LGALS1;EMP3;PLTP;AXL;SLC2A3;S100A4;EMP1;ANO1;TGM2;IGFBP7;TRPV2;GNAL;S100A3;VIM;HOXB2;PLEKHO1;PTGDS;ADAM19;PHLDA3;RYR1;FBXO17;MSN;SLC43A3","C6_ONCO"
"CAHOY_ASTROGLIAL",3.15454207496879e-16,6.96785768659356e-14,1.03769615548758,0.577641263083117,3.2229566346439,80,"ITGBL1;FBLN5;OGN;COL5A1;CALHM5;CNN1;COL8A1;SERPINE1;OMD;MXRA8;C1QTNF1;AEBP1;ACTA2;LOXL2;LOX;NOX4;SERPING1;C3;DYSF;LTBP2;TAGLN;SLC24A3;EMP3;SEMA3B;BST2;IGFBP3;GNA14;TIMP1;PCDH17;TNFRSF12A;CP;MSN","C6_ONCO"
"AKT_UP.V1_DN",1.17173404915089e-13,1.73537513177472e-11,0.943632225232838,0.40859498556522,2.6093008414935,163,"MYOC;NCAM1;ITGBL1;FXYD1;CSDC2;DPT;PTGIS;OGN;SFRP2;ZEB1;ITIH5;FHOD3;TNNC2;CAP2;NID1;SLIT3;ISLR;PDGFRA;CD248;SH3BGR;SCARA3;PDLIM3;PPP1R3C;C1R;C1S;HIC1;S1PR3;SYPL2;EFEMP1;EFEMP2;PDLIM4;ACKR3;HTRA1;PLPP3;TIMP3;CAV2;MATN2;PLTP;TCF21;GNA14;PROM1;TSPAN4;TNS2;SMARCD3;KLF2;GALNT16;IFFO1;RECK;CNN2;GAS1","C6_ONCO"
"MTOR_UP.V1_DN",1.17628733752478e-13,1.73537513177472e-11,0.943632225232838,0.412327777514784,2.62175736692454,159,"MYOC;NCAM1;WFDC1;PPP1R14A;FXYD1;CSDC2;PTGIS;ADAMTS8;AOC3;ITIH5;TNNC2;SLC2A4;ISL1;SLIT3;MOXD1;SH3BGR;SCARA3;PDLIM3;MYH11;CHRD;PPP1R3C;LTBP1;OLFML3;MFAP2;C1R;RBP1;S1PR3;RFTN2;EFEMP2;ACKR3;HTRA1;C1QTNF4;PLTP;SLC12A4;TSPAN4;TNS2;QPRT;SMARCD3;KLF2;IGF1;ARTN","C6_ONCO"
"BMI1_DN.V1_UP",6.23629433067712e-12,6.27517761433613e-10,0.887074988399873,0.428492006788382,2.59293799990449,125,"GREM1;CSPG4;NRP2;MFAP5;INHBA;ITGA5;MFGE8;CHST3;NT5E;FGFR1;FAP;PAPPA;TNFAIP6;GFPT2;ACTA2;COL16A1;BDKRB2;BST1;SRPX2;LIF;ACKR3;PTHLH;TAGLN;TIMP3;BMP4;LTBP4;SEMA3G;TGFB2;LHFPL2;P3H3;GDF5;CRISPLD2;TEK;SLC29A1;DKK1;CSF1;TMEM51;IGKC;COL13A1;TIE1;FJX1;ASPH;C3AR1","C6_ONCO"
"KRAS.KIDNEY_UP.V1_UP",5.12789892434715e-11,4.53066962962485e-09,0.851339057116899,0.448598941869041,2.65327606895654,104,"ITGBL1;SORBS1;PCP4;ATP1A2;CRYAB;RCAN2;PLP1;KCNJ8;TRIM9;VIPR2;NRXN1;TMOD1;PCDH9;SFRP1;SPARCL1;ALDH1A1;ANK2;LMO3;PMP2;GPM6A;MEF2C;PLSCR4;PLCL1;DYNC1I1;ASPA;NDN;SCG5;A2M;ZNF536;PNMA2;EMP1;KIT;PEG3;TCEAL2;SCN1B;PECAM1;TMEM100;CP;CCND2;TRIL;KCNA5;ETV1;DNM3","C6_ONCO"
"KRAS.600.LUNG.BREAST_UP.V1_UP",9.52254603198545e-11,7.69526235133556e-09,0.839088935621274,0.361224931720474,2.31167225682669,165,"MYOC;NCAM1;LDB3;PTGIS;INHBA;SLIT2;AKAP12;TFPI;SEMA3A;ADGRA2;PRRX1;IL13RA2;KCNH2;RNASE1;HIC1;SOX10;PDE2A;GYPC;LIF;NAV3;TMEM158;SAMD14;SPHK1;SEMA3B;DYNC1I1;IGFBP3;SCG5;A2M;CLDN5;MGLL;ANO1;IL1B;CCR10;FLT4;IL1RL1;HSD11B1;LAMC3;ADAM19;GPR4;PLVAP;LY96;CMKLR1;TMEM176B;KCNK15;COL9A3;KCNA5;GNG11;CCDC181;NTRK1;NGF","C6_ONCO"
"ATF2_S_UP.V1_DN",1.05595095428901e-10,8.37995089652228e-09,0.839088935621274,0.373394535186436,2.35387245386014,154,"COMP;ITGBL1;PLN;PTGIS;SORBS1;ITIH5;SFRP4;SVEP1;SLIT3;ADH1B;MN1;DES;CRLF1;TNFAIP6;PDLIM3;ROR1;COL16A1;LAMA2;FGF7;PID1;SERPING1;EFEMP1;ABCA8;ADAM22;CCL11;CYP1B1;RGS5;COL15A1;PLSCR4;TCF21;PTGER2;A2M;SDC3;NDUFA4L2;PNMA2;FBLN2;GPRASP1;IL33;ITPR1;ENO2;SGCG;CELF2;GAS1;OSMR;ID3;TMEM176A;VCAM1;CCL2;LTBP3;KCTD12","C6_ONCO"
"BMI1_DN_MEL18_DN.V1_UP",1.94955965419459e-10,1.47642937697377e-08,0.826657301178302,0.405358708663352,2.42765109730485,119,"GREM1;CSPG4;NRP2;INHBA;ITGA5;KCNN3;CHST3;NT5E;FAP;PAPPA;TNFAIP6;GFPT2;COL16A1;BST1;ZEB2;LIF;RUSC2;PTHLH;TAGLN;TIMP3;GAB2;MGLL;TGFB2;NAV2;LHFPL2;PLEKHO1;ADAM19;GDF5;PIM1;SLC6A9;CRISPLD2;TEK;KLF7;CSF1;TMEM51;CDH13;FOSL1;COL13A1;CDC42EP2;APBB2;ARL4A;FJX1;ASPH;GADD45A;C3AR1","C6_ONCO"
