"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",4.88754214801315e-16,1.01210306386904e-13,1.02766987054358,0.451752175457545,2.83989302717326,152,"CCDC80;FHL1;ANGPTL7;IGFBP6;FBLN5;OGN;PDE5A;ADAMTS5;AKAP12;TNS1;JAM3;HS3ST3A1;EGFLAM;TMEM119;ECM2;ADGRL3;GAS6;SPARC;LOX;GGT5;LRRC32;B3GALT2;TAGLN;ECM1;ADAMTS9;RND3;MGP;CD93;F2R;ACTN1;THBS1;RASL11B;CAMK1D;PAM;SRPX;STARD8;PDE1A;LATS2;GAS1;ID3;ADAMTS1;HSPB1;DUSP5;RCAN1;TEAD1;CLEC14A;VASN;GNG11;CACNA2D1;DSE","C7_IMMUNO"
"GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN",2.22732608367533e-15,4.15757078689425e-13,1.00731795687447,0.436576067219527,2.76632247557136,156,"MYOC;ACTC1;NEXN;SGCA;LDB3;CASQ2;PRKG1;HSPB6;TNNT1;HSPB8;GNAO1;ATP1A2;SYNPO2;HSPB2;PYGM;PODN;ITIH5;CAV1;RCAN2;ARHGEF25;CAP2;RRAD;PGM5;CES1;LAMA2;PDGFRL;ITGB1BP2;CFL2;SERPING1;VSTM4;RBM24;SLC47A1;POPDC2;VAMP5;MAOB;FNDC5;VSIG4;DLC1;RYR2;FRMD6;NKD1","C7_IMMUNO"
"GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN",1.82360192766804e-14,3.09848671120314e-12,0.97599468306432,0.441033248155351,2.73683505607079,143,"MYOCD;FXYD1;SORBS1;IGFBP6;COL1A1;MOXD1;COL5A2;PDE7B;COL4A3;SYNE1;LAMA2;PLAC9;HLF;CPA3;MYADM;C7;DCN;AMPH;MT1A;REEP2;FLRT2;IGFBP5;NAV2;PLOD2;FBLN2;NR4A3;S100A6;ADAM19;GADD45B;CALCRL;ADAMTS12;AREG;FOSL2;LMNA;GJA1;AFAP1L1;CDKN1A;IGSF9B;SKAP1;FGL2;PRNP;KCTD12;FHL2;TIE1;GPC3;JUNB;CSRNP1;CRIP1;ZFP36L1;PLEC","C7_IMMUNO"
"GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",5.27722349224834e-14,8.13244685381014e-12,0.965327754226083,0.388852664262118,2.51119462094561,183,"TTN;DPT;COL4A1;MFGE8;MMP23B;SERPINE1;PLS3;S100A1;COL6A3;COL1A2;AQP1;BOC;ACTG2;MMP2;IL13RA2;MYH11;OLFML1;VCL;BGN;SPARCL1;RBP1;GPX8;SERPING1;SERPINE2;HTRA1;LTBP2;FXYD6;CPT1C;LPAR1;RAB34;ADAMTS9;PLTP;OLFML2A;RRAS;IGFBP3;GNA14;ECSCR;TGM2;IGFBP7;TIMP1;RHOJ;IFITM2;FGD5;KIAA1614;PHLDA3;MSC;LRRK2;GRK5;PROS1;PDPN","C7_IMMUNO"
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN",3.22718569836635e-13,4.19312667259307e-11,0.932595211336209,0.38791008661064,2.49701403624282,171,"WFDC1;CHRDL1;PTGIS;ANGPTL7;MAP1B;FLNC;EYA1;LIMS2;SMTN;AKAP12;SEMA3A;SCARA3;KCNQ4;MYLK;MYL3;MYH11;DTNA;FREM2;KCNH2;CES1;SPARCL1;CCDC136;PDE2A;DIXDC1;MPZ;CXCL14;POPDC2;MYL9;FXYD6;LEPR;GSN;ANKRD2;NREP;VSIG4;MYOM2;ZBTB20;ANGPT1;LDB2;CLDN5;CDC42EP1;ARHGAP20;WDR86;KIT;CTF1;PEG3;ARMH4;REM1","C7_IMMUNO"
"GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP",8.25738877532459e-11,6.92627679996056e-09,0.839088935621274,0.362623188659713,2.33553143372713,180,"NRP2;COL4A1;FHL1;COL4A2;THY1;AKAP12;TFPI;FGFR1;S100A1;MYOM1;ADGRA2;TMEM119;MEG3;BGN;CLU;PALLD;C1R;RAB3IL1;LHFPL6;GPX8;SERPINH1;C3;TSLP;MRC1;NREP;RAB34;AXL;RND3;DLC1;F2R;NHSL2;ECSCR;LDB2;KDR;SELENOM;PROM1;RHOJ;LAMB2;P3H3;FGD5;HOXB2;PIANP;RND2;TRIP6;ESAM;USP2;GPR4;AK1;TEK;CD14","C7_IMMUNO"
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN",2.44759833726266e-10,1.83265654032441e-08,0.814035837847908,0.347304225381901,2.25271884868065,185,"FGF2;CDH2;ITGA5;SLIT2;BHMT2;NID1;MOXD1;DZIP1;TUBB6;EDNRA;PAPPA;BCHE;EMILIN1;SFRP1;COPZ2;LTBP1;RUNX1T1;COL6A2;FOXC1;DOK5;PDGFRL;SRPX2;EDNRB;SYNDIG1;LRRC32;ZCCHC24;LEPR;TMEM158;PNMA1;OLFML2A;RRAS;TGFBR3;ZNF516;THBS1;GLT8D2;IGFBP5;TSPAN4;ILK;RGL1;VIM;EOGT;PKD2;TNFRSF12A;ADAM19;PDLIM2;TMEM100;CRISPLD2;LARGE1;DKK1;MTMR11","C7_IMMUNO"
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN",3.99855697570173e-10,2.89578555185656e-08,0.814035837847908,0.372852613401952,2.34389914313327,152,"ACTC1;CKM;INMT;TNNC1;JPH2;COL14A1;PYGM;PDLIM7;FNDC1;PLPP7;AKAP12;ARHGEF25;SLIT3;FGFR1;DES;PDGFRA;FN1;NOVA1;KCNH2;MYOZ1;TNNI2;GPC6;ZEB2;EDNRB;KCNB1;PLCD3;TRPC6;ARHGEF17;IL1RL1;KIAA1614;REM1;QSOX1;TMEM100;HAAO;VSIR;OSR1;SLC4A3","C7_IMMUNO"
"GSE6259_CD4_TCELL_VS_CD8_TCELL_UP",5.29500009091457e-10,3.71294371454449e-08,0.801215574617779,0.353452714966254,2.25956976736234,164,"BNC2;FLNC;IGFBP6;DDR2;OGN;PDLIM7;CLIP3;SLIT3;FGFR1;KANK2;RASL11A;JAM3;CAVIN1;ADAMTS2;TNFAIP6;PCOLCE;ATP2B4;GPX8;GPM6A;TSHZ2;EFEMP2;SERPINF1;LTBP2;TPSB2;TAGLN;ALDH1A2;CALD1;FBLN1;ZBTB20;TCN2;PLEKHH2;CH25H;ARHGAP23;TSPAN4;TIMP1;RHOJ;LAMB2;FLT4;WWTR1;LAYN;TRIP6;PHLDA3;NPAS3;GAS1;TSKU;ZMAT3;S100A16;HSPB1;CSF1;TEAD2","C7_IMMUNO"
"GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_DN",6.19839669441168e-10,4.30090844979256e-08,0.801215574617779,0.396180280053253,2.41840768979774,128,"NTRK2;KCNMB1;SCRG1;ESR1;CAV1;ITGA5;SLIT2;EHD2;CDH11;MMP2;CAVIN1;JAM2;SFRP1;ALDH1A1;CLIC4;STAB1;BST1;ATRNL1;EFEMP1;EFNA5;SYNDIG1;ALDH1B1;MAOB;LEPR;DCN;TRPC1;GNA14;SPART;IL1B;SHC3;PAM;DPYD;ACACB;HOPX;ZNF835;CRISPLD2;TEK;VWA5A;GJA1","C7_IMMUNO"
