"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",1.45950747491763e-16,3.33145163110939e-14,1.04762648849882,0.451752175457545,2.8011395831339,152,"CCDC80;FHL1;ANGPTL7;IGFBP6;FBLN5;OGN;PDE5A;ADAMTS5;AKAP12;TNS1;JAM3;HS3ST3A1;EGFLAM;TMEM119;ECM2;ADGRL3;GAS6;SPARC;LOX;GGT5;LRRC32;B3GALT2;TAGLN;ECM1;ADAMTS9;RND3;MGP;CD93;F2R;ACTN1;THBS1;RASL11B;CAMK1D;PAM;SRPX;STARD8;PDE1A;LATS2;GAS1;ID3;ADAMTS1;HSPB1;DUSP5;RCAN1;TEAD1;CLEC14A;VASN;GNG11;CACNA2D1;DSE","C7_IMMUNO"
"GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN",9.12178438220185e-16,1.80243736471598e-13,1.01754479730988,0.436576067219527,2.71031968437587,156,"MYOC;ACTC1;NEXN;SGCA;LDB3;CASQ2;PRKG1;HSPB6;TNNT1;HSPB8;GNAO1;ATP1A2;SYNPO2;HSPB2;PYGM;PODN;ITIH5;CAV1;RCAN2;ARHGEF25;CAP2;RRAD;PGM5;CES1;LAMA2;PDGFRL;ITGB1BP2;CFL2;SERPING1;VSTM4;RBM24;SLC47A1;POPDC2;VAMP5;MAOB;FNDC5;VSIG4;DLC1;RYR2;FRMD6;NKD1","C7_IMMUNO"
"GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN",2.23295585618313e-14,3.70621507470213e-12,0.97599468306432,0.441033248155351,2.69184037150864,143,"MYOCD;FXYD1;SORBS1;IGFBP6;COL1A1;MOXD1;COL5A2;PDE7B;COL4A3;SYNE1;LAMA2;PLAC9;HLF;CPA3;MYADM;C7;DCN;AMPH;MT1A;REEP2;FLRT2;IGFBP5;NAV2;PLOD2;FBLN2;NR4A3;S100A6;ADAM19;GADD45B;CALCRL;ADAMTS12;AREG;FOSL2;LMNA;GJA1;AFAP1L1;CDKN1A;IGSF9B;SKAP1;FGL2;PRNP;KCTD12;FHL2;TIE1;GPC3;JUNB;CSRNP1;CRIP1;ZFP36L1;PLEC","C7_IMMUNO"
"GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",6.38148830935626e-14,9.82378182878692e-12,0.954541630725724,0.388852664262118,2.48335134070302,183,"TTN;DPT;COL4A1;MFGE8;MMP23B;SERPINE1;PLS3;S100A1;COL6A3;COL1A2;AQP1;BOC;ACTG2;MMP2;IL13RA2;MYH11;OLFML1;VCL;BGN;SPARCL1;RBP1;GPX8;SERPING1;SERPINE2;HTRA1;LTBP2;FXYD6;CPT1C;LPAR1;RAB34;ADAMTS9;PLTP;OLFML2A;RRAS;IGFBP3;GNA14;ECSCR;TGM2;IGFBP7;TIMP1;RHOJ;IFITM2;FGD5;KIAA1614;PHLDA3;MSC;LRRK2;GRK5;PROS1;PDPN","C7_IMMUNO"
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN",1.21723872415827e-12,1.47844252010379e-10,0.910119734774459,0.38791008661064,2.45188612198537,171,"WFDC1;CHRDL1;PTGIS;ANGPTL7;MAP1B;FLNC;EYA1;LIMS2;SMTN;AKAP12;SEMA3A;SCARA3;KCNQ4;MYLK;MYL3;MYH11;DTNA;FREM2;KCNH2;CES1;SPARCL1;CCDC136;PDE2A;DIXDC1;MPZ;CXCL14;POPDC2;MYL9;FXYD6;LEPR;GSN;ANKRD2;NREP;VSIG4;MYOM2;ZBTB20;ANGPT1;LDB2;CLDN5;CDC42EP1;ARHGAP20;WDR86;KIT;CTF1;PEG3;ARMH4;REM1","C7_IMMUNO"
"GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP",9.08179162443287e-12,8.7125970518744e-10,0.875325132024659,0.362623188659713,2.3172458744718,180,"NRP2;COL4A1;FHL1;COL4A2;THY1;AKAP12;TFPI;FGFR1;S100A1;MYOM1;ADGRA2;TMEM119;MEG3;BGN;CLU;PALLD;C1R;RAB3IL1;LHFPL6;GPX8;SERPINH1;C3;TSLP;MRC1;NREP;RAB34;AXL;RND3;DLC1;F2R;NHSL2;ECSCR;LDB2;KDR;SELENOM;PROM1;RHOJ;LAMB2;P3H3;FGD5;HOXB2;PIANP;RND2;TRIP6;ESAM;USP2;GPR4;AK1;TEK;CD14","C7_IMMUNO"
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN",1.75691722460322e-10,1.36022380915333e-08,0.826657301178302,0.372852613401952,2.31191407770715,152,"ACTC1;CKM;INMT;TNNC1;JPH2;COL14A1;PYGM;PDLIM7;FNDC1;PLPP7;AKAP12;ARHGEF25;SLIT3;FGFR1;DES;PDGFRA;FN1;NOVA1;KCNH2;MYOZ1;TNNI2;GPC6;ZEB2;EDNRB;KCNB1;PLCD3;TRPC6;ARHGEF17;IL1RL1;KIAA1614;REM1;QSOX1;TMEM100;HAAO;VSIR;OSR1;SLC4A3","C7_IMMUNO"
"GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_DN",2.49506049377003e-10,1.8249782252498e-08,0.814035837847908,0.396180280053253,2.38183430167856,128,"NTRK2;KCNMB1;SCRG1;ESR1;CAV1;ITGA5;SLIT2;EHD2;CDH11;MMP2;CAVIN1;JAM2;SFRP1;ALDH1A1;CLIC4;STAB1;BST1;ATRNL1;EFEMP1;EFNA5;SYNDIG1;ALDH1B1;MAOB;LEPR;DCN;TRPC1;GNA14;SPART;IL1B;SHC3;PAM;DPYD;ACACB;HOPX;ZNF835;CRISPLD2;TEK;VWA5A;GJA1","C7_IMMUNO"
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN",2.51235230291006e-10,1.82752923836408e-08,0.814035837847908,0.347304225381901,2.22572567020142,185,"FGF2;CDH2;ITGA5;SLIT2;BHMT2;NID1;MOXD1;DZIP1;TUBB6;EDNRA;PAPPA;BCHE;EMILIN1;SFRP1;COPZ2;LTBP1;RUNX1T1;COL6A2;FOXC1;DOK5;PDGFRL;SRPX2;EDNRB;SYNDIG1;LRRC32;ZCCHC24;LEPR;TMEM158;PNMA1;OLFML2A;RRAS;TGFBR3;ZNF516;THBS1;GLT8D2;IGFBP5;TSPAN4;ILK;RGL1;VIM;EOGT;PKD2;TNFRSF12A;ADAM19;PDLIM2;TMEM100;CRISPLD2;LARGE1;DKK1;MTMR11","C7_IMMUNO"
"GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP",8.61347210757989e-10,5.81804883838011e-08,0.801215574617779,0.344356396989392,2.18469942536783,173,"NCAM1;LMOD1;DNAJB5;INHBA;GLIS1;PRELP;EHD2;SLIT3;KCNJ8;TNS1;SMOC1;OMD;MYLK;DTNA;PCSK5;DDIT4L;RUNX1T1;VSTM4;PAMR1;KIF26B;TIMP3;SOCS3;FBLN1;NPR1;SGCD;NHSL2;NKD1;MGLL;ARHGAP23;RHOJ;ARHGEF17;ITPRIP;CYTL1;UCHL1;CADM2;RND2;CCDC107;PALM;KLF7;IER3;ADGRL1;CRTAP;SH3PXD2A;CDH13;PBXIP1","C7_IMMUNO"
