"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,3.30975e-47,NA,0.746742503176406,4.78555639950128,185,"COMP;GREM1;PCOLCE2;COL4A1;THBS2;MFAP5;INHBA;COL4A2;COL3A1;FBLN5;THY1;COL1A1;COL5A1;CTHRC1;FGF2;CDH2;ELN;COL12A1;NNMT;FBN1;ITGA5;SLIT2;SFRP4;NT5E;CAP2;SERPINE1;CDH11;PMP22;SLIT3;FAP;POSTN;COL6A3;COL1A2;DPYSL3;FN1;CRLF1;MMP2;COL5A2;MYLK;PRRX1;FERMT2;SFRP1;PDGFRB;ACTA2;TPM2;COL8A2;ECM2;PCOLCE;LOXL1;LOXL2","HALLMARK"
"HALLMARK_MYOGENESIS",7.44867076486985e-50,1.97225904512224e-46,1.8428520069898,0.682215226565842,4.29633552436071,170,"ACTC1;SGCA;NCAM1;CKM;FST;ACTA1;ACTN2;LDB3;CASQ2;TNNC1;FXYD1;PTGIS;TNNT1;SORBS1;HSPB8;FHL1;COL4A2;GNAO1;ITGA7;HSPB2;COL3A1;COL1A1;PYGM;CRYAB;MYH3;TCAP;PDLIM7;COX7A1;FGF2;TNNC2;FABP3;SMTN;SPEG;DMD;DES;COL6A3;MYOM1;SH3BGR;MYLK;MYL3;TNNT3;AEBP1;MYH11;TPM2;DTNA;KCNH2;PPP1R3C;MYOZ1;CLU;SSPN","HALLMARK"
"HALLMARK_APICAL_JUNCTION",1.63297172425652e-13,2.18372855125576e-11,0.943632225232838,0.392143604761829,2.48470347749615,174,"ACTC1;NEXN;ACTA1;ACTN2;NEGR1;FLNC;ITGA9;THY1;SPEG;ADAMTS5;FBN1;NFASC;SLIT2;CDH11;ACTG2;MMP2;JAM3;VCL;KCNH2;COL16A1;CNTN1;BMP1;CERCAM;EPB41L2;MAP3K20;CLDN11;MYL9;VCAN;TGFBI;RRAS;ACTN1;NLGN3;ZYX;CLDN5;SDC3;NRXN2;TSPAN4;CD34;CADM2;NRTN;VWF;CD209;PECAM1;LAYN;MSN;CNN2;TRO;PKD1;ITGB1;SGCE","HALLMARK"
"HALLMARK_UV_RESPONSE_DN",1.30726552152465e-11,1.20426962660705e-09,0.875325132024659,0.408016896033991,2.46542784363996,135,"MAP1B;COL3A1;FBLN5;COL1A1;CAV1;KCNMA1;TFPI;CAP2;SERPINE1;PMP22;RBPMS;COL1A2;COL5A2;PDGFRB;ATP2B4;LTBP1;FZD2;SYNE1;MMP16;EFEMP1;PLPP3;LPAR1;AMPH;RND3;TGFBR3;DLC1;IGFBP5;TGFBR2;MGLL;KIT;PRKCA;MET;CELF2;RGS4;GRK5;GJA1;SNAI2","HALLMARK"
"HALLMARK_COAGULATION",8.07262667004221e-11,6.55665671685207e-09,0.839088935621274,0.453444428097517,2.62951512364974,100,"COMP;FBN1;LEFTY2;SERPINE1;S100A1;FN1;MMP2;CLU;C1R;SPARC;C1S;F10;BMP1;CSRP1;SERPING1;C3;CTSK;HTRA1;TIMP3;GSN;CFH;LRP1;THBS1;A2M;MMP14;RGN;MMP11;CFI;TIMP1;THBD;C1QA;VWF;PECAM1;PROS1;KLF7;S100A13;CFD","HALLMARK"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.24295313631928e-06,4.05306812111601e-05,0.643551836150722,0.288356043716712,1.84735599547441,186,"INHBA;SERPINE1;TNFAIP6;GFPT2;GEM;LIF;ACKR3;PLPP3;DNAJB4;SOCS3;SPHK1;SLC2A3;IL1B;NR4A3;KLF2;SPSB1;TNC;GADD45B;MAP3K8;MSC;FOSB;AREG;PTX3;FOSL2;EGR2;CDKN1A;IER3;RHOB;CCL2;DUSP5;CSF1;EGR1;KLF10;RCAN1;FOSL1;STAT5A;BCL6;CXCL2;FJX1;GADD45A;FOS;IL6ST;KLF9;JUNB;CEBPB;PTPRE;PER1;EHD1;TRIP10;GPR183","HALLMARK"
"HALLMARK_ANGIOGENESIS",2.6955551601045e-05,0.000561991413616119,0.575610261071129,0.52796359771742,2.36629324613527,31,"COL3A1;FGFR1;KCNJ8;POSTN;COL5A2;VCAN;LUM;S100A4;TIMP1;THBD;SERPINA5;CCND2;STC1;MSX1","HALLMARK"
"HALLMARK_HYPOXIA",4.0826467425573e-05,0.000793688109026667,0.557332238758646,0.269683050181148,1.72417714169447,181,"PYGM;COL5A1;CAVIN3;CAV1;CHST3;AKAP12;SERPINE1;CAVIN1;DTNA;PPP1R3C;BGN;LOX;PGAM2;ACKR3;DCN;TGFBI;SLC2A3;IGFBP3;S100A4;SDC3;TGM2;PRKCA;GCK;TES;PAM;ENO2;CDKN1C;SRPX;CP;PIM1;PFKP;TGFB3;LARGE1;KLF7;FOSL2;CDKN1A;IER3;PGF;PPFIA4;TMEM45A;BCAN;STC1;RORA;FOS;GPC3;ENO3;CHST2;SDC2","HALLMARK"
"HALLMARK_KRAS_SIGNALING_UP",0.000114438708675831,0.00190572838259035,0.538434096309916,0.261572898278616,1.66100369643176,175,"ITGBL1;PCP4;INHBA;AKAP12;TFPI;ADGRA2;PRRX1;GFPT2;SPARCL1;GYPC;LIF;SPON1;TMEM158;ALDH1A2;ETV5;CFH;ENG;SEMA3B;F13A1;IGFBP3;ADGRL4;SCG5;MMP11;EMP1;ANO1;IL1B;PEG3;IL33;FLT4;HSD11B1;SCN1B;PECAM1;TMEM100;PLVAP;VWA5A;LY96;CCND2;CMKLR1;TMEM176B;TMEM176A;ETV1;GNG11;RGS16;ABCB1;EPHB2;NGF;HDAC9;APOD","HALLMARK"
"HALLMARK_FATTY_ACID_METABOLISM",0.000121642837346095,0.00201052374984388,0.538434096309916,-0.381914777294752,-1.69426708477235,140,"HMGCS2;ACSM3;BMPR1B;AADAT;ACAT2;AUH;IDH1;ACSS1;ACSL1;REEP6;BCKDHB;SLC22A5;SMS;GPD2;HSD17B7;UGDH;PTS;MCEE;FASN;HSD17B4;CPT2;EHHADH;ALDH9A1;ELOVL5;GSTZ1;PCBD1;DECR1;ODC1;ECI2;DHCR24;BPHL;METAP1;MAOA;IDI1;ACAA1;RETSAT;ECHS1;HMGCL;HADHB;HIBCH;GCDH;HMGCS1;RDH11;RDH16;HCCS;ADSL;HADH;D2HGDH;HSDL2;APEX1","HALLMARK"
