"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1e-50,4.405e-47,NA,0.63074592582661,4.12654931176742,263,"COL10A1;MFAP2;COL4A1;COL3A1;FGF2;NCAM1;LAMA2;COMP;ACTC1;COL5A1;VCAN;COL5A2;MFAP5;ITGA11;ADAMTS2;LOXL2;ADAMTS5;FBLN5;COL12A1;ADAMTS8;BMP1;COL4A2;SGCA;ITGA8;NRXN1;NID1;COL8A1;ELN;COL5A3;COL14A1;ITGA7;LOXL3;COL1A1;NID2;MMP11;SERPINE1;FBN1;COL23A1;ASPN;SERPINH1;MMP2;ITGA9;PCOLCE2;ITGA1;FN1;COL1A2;SGCD;DTNA;EMILIN3;CTSK","C2_CP"
"REACTOME_MUSCLE_CONTRACTION",6.65796978094711e-26,7.99864278683782e-23,1.31888879607587,0.575772320488993,3.40890590351072,139,"ABCC9;FXYD1;ACTC1;GUCY1A2;CASQ2;PLN;KCNE4;ATP1A2;SORBS1;LMOD1;PDE5A;ITGA1;DMD;MYLK;VCL;ACTG2;TNNC1;CES1;ATP2B4;MYH11;TMOD1;ACTA2;SLC8A1;DES;TPM2;SCN7A;TTN;KCNH2;TPM1;CALD1;TRPC1;NPR2;ACTA1;SCN1B;RYR2;MYL9;KCNK15;DMPK;DYSF;ANXA6;TNNT1;ATP1B2;FXYD6;TLN1;ACTN2;VIM;WWTR1;ITPR1;NPR1;KCNIP3","C2_CP"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",3.0062970916063e-24,2.8377297189698e-21,1.27903397725049,0.719562538922038,3.88475870237327,74,"COL10A1;COL4A1;COL3A1;FGF2;LAMA2;ACTC1;COL5A1;COL5A2;COL4A2;SGCA;NRXN1;COL5A3;COL1A1;FN1;COL1A2;SGCD;DTNA;DMD;DDR2;ACTG2;LAMC3;TNC;ACTA2;SSPN;LAMB1;LAMA4;ACTN1;HSPG2;SDC3;DRP2;COL4A3;ACTA1;SGCE;COL4A4;SGCG;THBS1;PRKCA;LAMB2;SGCB;TGFB1;ITGB1;PDGFB;COL4A6","C2_CP"
"PID_INTEGRIN1_PATHWAY",6.85937807780566e-24,5.66541758113761e-21,1.26273988547916,0.765195301474346,3.96694981489934,61,"THBS2;COL4A1;COL3A1;CSPG4;LAMA2;COL5A1;COL5A2;ITGA11;ITGA8;NID1;ITGA7;COL1A1;FBN1;ITGA9;ITGA1;FN1;COL1A2;JAM2;COL6A3;TNC;COL6A1;LAMB1;ITGA5;LAMA4;COL6A2;VCAM1;COL4A3;COL4A4;THBS1;TGFBI;TGM2;LAMB2;CD14;COL18A1;F13A1;MDK;ITGB1;COL4A6;ITGA4;ITGAV","C2_CP"
"REACTOME_ECM_PROTEOGLYCANS",6.85937807780566e-24,5.66541758113761e-21,1.26273988547916,0.765114189805797,3.96652931320793,61,"COL4A1;COL3A1;NCAM1;LAMA2;COMP;COL5A1;VCAN;COL5A2;COL4A2;ITGA8;COL5A3;ITGA7;COL1A1;SERPINE1;ASPN;ITGA9;FN1;COL1A2;BGN;COL6A3;TNC;SPARC;TNXB;COL6A1;LAMB1;LAMA4;COL6A2;HSPG2;MATN3;LUM;DCN;COL4A3;COL4A4;LAMB2;TGFB2;TGFB3;TGFB1;BCAN;ITGB1;COL9A3","C2_CP"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",1.47866341610088e-21,1.02844931809332e-18,1.20397524075264,0.594112718535231,3.43051341114902,107,"COL10A1;COL4A1;COL3A1;COL5A1;COL5A2;ADAMTS5;COL12A1;ADAMTS8;BMP1;COL4A2;NID1;COL8A1;ELN;COL5A3;COL14A1;COL1A1;MMP11;FBN1;COL23A1;MMP2;FN1;COL1A2;CTSK;COL6A3;COL6A1;COL15A1;COL8A2;LAMB1;SCUBE3;COL6A2;HTRA1;ADAMTS4;COL16A1;HSPG2;TIMP1;ADAMTS9;TIMP2;DCN;COL4A3;CAPN6;COL4A4;SPOCK3;MMP16;MMP17;MMP14;TPSAB1;A2M;ADAMTS1;MMP19;COL18A1","C2_CP"
"REACTOME_COLLAGEN_FORMATION",5.97570526945167e-21,3.5894975061729e-18,1.18665095279281,0.663086193796084,3.5846643704769,78,"COL10A1;COL4A1;COL3A1;COL5A1;COL5A2;ADAMTS2;LOXL2;COL12A1;BMP1;COL4A2;COL8A1;COL5A3;COL14A1;LOXL3;COL1A1;COL23A1;SERPINH1;PCOLCE2;COL1A2;LOX;LOXL1;COL6A3;PCOLCE;COL6A1;COL15A1;COL8A2;COL21A1;COL6A2;COL16A1;COL27A1;COL4A3;P4HA3;COL4A4;COLGALT2;P3H3;COL18A1;COL9A3;COL13A1;TLL1;COL4A6;PLOD2;CRTAP;MMP7;LAMA3;ADAMTS14;DST;PLEC;LOXL4","C2_CP"
"WP_BURN_WOUND_HEALING",8.90086099402394e-19,4.20088850128666e-16,1.11466447751729,0.638121194121545,3.44747221183087,79,"FST;INHBA;FGFR1;SFRP2;ELN;CD248;COL1A1;FBN1;SERPINH1;MMP2;FN1;COL1A2;CXCL14;PDGFRB;NOX4;HGF;TNC;SPARC;KDR;TIMP1;TIMP2;DCN;LGALS1;TAGLN;ACTA1;IL1B;VIM;CXCL12;S100A6;TGFB2;TGFB3;CNN2;F13A1;CCL2","C2_CP"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",1.20112368205295e-18,5.47339636494127e-16,1.11466447751729,0.706080460828911,3.61050596099153,59,"COL10A1;COL4A1;COL3A1;COL5A1;COL5A2;ADAMTS2;COL12A1;BMP1;COL4A2;COL8A1;COL5A3;COL14A1;COL1A1;COL23A1;SERPINH1;PCOLCE2;COL1A2;COL6A3;PCOLCE;COL6A1;COL15A1;COL8A2;COL21A1;COL6A2;COL16A1;COL27A1;COL4A3;P4HA3;COL4A4;COLGALT2;P3H3;COL18A1;COL9A3;COL13A1;TLL1;COL4A6;PLOD2;CRTAP","C2_CP"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",1.43024946080752e-18,6.30024887485711e-16,1.11466447751729,0.647644180081264,3.49648741912158,74,"COL10A1;COL4A1;COL3A1;COMP;COL5A1;COL5A2;ITGA11;COL4A2;ITGA8;COL8A1;COL5A3;ITGA7;COL1A1;FBN1;COL23A1;ITGA9;ITGA1;FN1;COL1A2;JAM2;COL6A3;JAM3;TNC;COL6A1;COL8A2;ITGA5;COL6A2;KDR;COL16A1;HSPG2;LUM;VCAM1;COL4A3;COL4A4;THBS1;COL18A1;VWF;ITGB1;COL9A3;COL13A1;COL4A6;ITGA4;ITGAV;PECAM1;ICAM1","C2_CP"
