"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",2.21488916607385e-48,7.31744008241649e-45,1.81454230543492,0.75102675406528,4.43702455819483,132,"COL10A1;THBS2;MFAP2;COL4A1;COL3A1;CTHRC1;LAMA2;COMP;POSTN;COL5A1;SRPX2;VCAN;COL5A2;MFAP5;FBLN5;COL12A1;COL4A2;PRELP;NID1;COL8A1;ELN;COL5A3;COL14A1;HMCN2;COL1A1;NID2;FBN1;COL23A1;ASPN;PODNL1;FN1;COL1A2;PODN;EMILIN3;MFGE8;LTBP1;DPT;BGN;OGN;SPON1;HMCN1;COL6A3;PCOLCE;EMILIN1;MFAP4;LAMC3;EFEMP1;TNC;ECM1;SPARC","C5_GO"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",2.10578374665271e-47,5.56558644240311e-44,1.79734246412339,0.555565616228137,3.64227410570947,276,"COL10A1;SULF1;COL4A1;COL3A1;FAP;LAMA2;COMP;POSTN;GREM1;OLFML2B;COL5A1;PDGFRA;COL5A2;ADAMTS2;LOXL2;ADAMTS5;FBLN5;COL12A1;ADAMTS8;CCDC80;BMP1;COL4A2;ANGPTL7;SFRP2;ITGA8;NID1;COL8A1;ELN;COL5A3;COL14A1;GAS6;LOXL3;COL1A1;NID2;MMP11;ADAMTS12;MMP23B;COL23A1;HPSE2;EGFLAM;SERPINH1;MMP2;COL1A2;CTSK;VIT;DPT;ADAMTS15;DDR2;CAV1;FLRT2","C5_GO"
"GOCC_CONTRACTILE_MUSCLE_FIBER",1.95448305876132e-32,3.68978480307583e-29,1.48156758833633,0.547570158350208,3.43619734925866,190,"ABCC9;ACTC1;CASQ2;IGFN1;NEXN;ARHGEF25;SYNM;JPH2;SYNPO;FBXL22;FHL5;ANK2;LMOD1;MMP2;LDB3;CRYAB;SYNPO2;PDLIM7;ASB2;DMD;FHOD3;PGM5;KCNJ8;VCL;PALLD;FLNC;TNNC1;ATP2B4;MYH11;TMOD1;FERMT2;PDLIM3;ACTA2;SLC8A1;DES;TPM2;COL6A1;PPP1R12B;MYH7B;CSRP1;SYNE1;ACTN1;TTN;ITGB1BP2;CFL2;FLNA;FHL3;MYOZ3;TPM1;PDLIM4","C5_GO"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT",6.0379973484369e-28,9.9740168699492e-25,1.37274298193398,0.442997888231253,2.89054174170145,273,"COL3A1;FZD2;LAMA2;ABCC9;ACTC1;HEYL;ITGA11;NEGR1;S100B;MYOCD;SGCA;ZFPM2;ISL1;ELN;JPH2;POPDC2;ITGA7;PROX1;FHL1;EDNRA;SPEG;SGCD;CRYAB;STRA6;ASB2;DMD;SMTN;CAV1;LOX;MYLK;MSC;COL6A3;MEOX2;TNNC1;FOXC2;DES;FOXP2;MEF2C;COL6A1;BMP4;TTN;ITGB1BP2;CFL2;EFEMP2;CNTNAP1;FHL3;HEG1;TPM1;RBM24;VAMP5","C5_GO"
"GOMF_INTEGRIN_BINDING",5.01423970048604e-27,7.362575293547e-24,1.34992572002205,0.604430563995502,3.51859100818076,125,"ITGBL1;COL3A1;FAP;FGF2;COMP;COL5A1;ADAMTS5;FBLN5;THY1;ADAMTS8;SFRP2;FBN1;GFRA1;ITGA9;THBS4;FN1;MFGE8;JAM2;JAM3;ADAM22;EMILIN1;TNC;SVEP1;FERMT2;PLPP3;S1PR3;TNXB;LAMB1;ITGA5;ACTN1;KDR;ITGB1BP2;COL16A1;HSPG2;ECM2;EDIL3;FBLN1;VCAM1;COL4A3;IGF1;LTBP4;IL1B;THBS1;MMP14;TGFBI;TLN1;PRKCA;ACTN2;ILK;LAMB2","C5_GO"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION",7.27770056895964e-27,9.61748130188017e-24,1.34223377296446,0.746415061239943,4.02972952021409,74,"COL4A1;COL3A1;COMP;GREM1;COL5A1;COL5A2;ADAMTS2;LOXL2;COL12A1;BMP1;COL4A2;SFRP2;COL5A3;COL14A1;LOXL3;COL1A1;MMP11;ADAMTS12;SERPINH1;COL1A2;DPT;DDR2;LOX;LOXL1;EMILIN1;AEBP1;FOXC2;TNXB;COL6A1;EFEMP2;CYP1B1;LUM;COL4A3;P4HA3;COL4A4;ADAMTS7;FOXC1;COLGALT2;TGFB2;FKBP10;TLL1;COL4A6;PLOD2;CRTAP;SERPINF2","C5_GO"
"GOMF_GLYCOSAMINOGLYCAN_BINDING",1.63246701849936e-25,1.79775430412242e-22,1.31101476274061,0.538705320026492,3.2641844329322,157,"THBS2;FGF2;COMP;POSTN;COL5A1;FGFR1;SUSD5;VCAN;ADAMTS5;ADAMTS8;CCDC80;RSPO3;DPYSL3;LYVE1;PRELP;TNFAIP6;COL5A3;FBN1;COL23A1;NRP2;EGFLAM;RSPO1;SLIT2;PCOLCE2;THBS4;FN1;FBLN7;SFRP1;SLIT3;VIT;SERPINE2;BGN;ADAMTS15;SMOC1;PCOLCE;NRTN;TNXB;LTBP2;BMP4;TGFBR3L;FGF7;EFEMP2;LAYN;ECM2;NDNF;DCN;SOD3;NELL1;SPOCK3;GREM2","C5_GO"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN",2.81794735502044e-24,2.8377297189698e-21,1.27903397725049,0.432337020790725,2.78339409348451,253,"COL10A1;COL4A1;COL3A1;COL5A1;VCAN;COL5A2;ADAMTS5;CASQ2;COL12A1;CERCAM;PTGIS;COL4A2;COL8A1;GPX8;COL5A3;COL14A1;GAS6;COL1A1;FBN1;COL23A1;SERPINH1;CHRDL1;FN1;COL1A2;MXRA8;CLU;MFGE8;LTBP1;SPON1;F10;COL6A3;FSTL3;C3;CES1;TNC;CDH2;COL6A1;COL15A1;BMP4;SRL;COL8A2;LAMB1;COL21A1;RCN3;COL6A2;SPARCL1;ADAMTSL4;CP;COL16A1;TIMP1","C5_GO"
"GOCC_BASEMENT_MEMBRANE",1.05759499364057e-21,7.7645099116445e-19,1.20397524075264,0.645036368073393,3.59075446253591,89,"THBS2;COL4A1;LAMA2;COL5A1;LOXL2;CCDC80;COL4A2;NID1;COL8A1;HMCN2;NID2;FBN1;EGFLAM;THBS4;FN1;SMOC1;LOXL1;HMCN1;LAMC3;TNC;SPARC;ACTA2;COL6A1;COL15A1;COL8A2;LAMB1;LAMA4;TIMP3;MATN2;EFEMP2;COL16A1;HSPG2;TIMP1;FREM2;FBLN1;COL4A3;COL4A4;SMOC2;TGFBI;COLQ;ENTPD1;LAMB2;EFNA5;FREM1;ADAMTS1;COL18A1;COL9A3;MMRN2;COL13A1;VWA1","C5_GO"
"GOBP_CELL_MATRIX_ADHESION",2.05181625702301e-21,1.35573759182796e-18,1.19534448258848,0.434130814260799,2.74985855643015,217,"ITGBL1;COL3A1;GREM1;ITGA11;CDH11;FBLN5;THY1;LYVE1;ITGA8;NID1;TSPAN11;COL5A3;ITGA7;MYOC;NID2;SORBS1;ADAMTS12;SERPINE1;L1CAM;BST1;ITGA9;ITGA1;FN1;SFRP1;JAM3;VCL;EMILIN1;SVEP1;FERMT2;PLPP3;TNXB;EPHA3;ITGA5;GPM6B;PEAK1;ACTN1;KDR;EFEMP2;CCL21;COL16A1;FREM2;ECM2;ADAMTS9;CORO1C;VCAM1;SGCE;DLC1;THBS1;MMP14;RRAS","C5_GO"
