"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"LEF1_UP.V1_UP",8.30113042838359e-22,6.45290815359348e-19,1.21254456769062,0.503912969614465,3.07247572316343,159,"MFAP2;AKAP12;PCSK5;ADAMTS8;ZFPM2;RBP1;DCLK1;ANO1;SERPINE1;FHL1;L1CAM;CAVIN3;IGFBP6;FN1;MAP1B;HBA2;STRA6;TMEM47;FADS1;LOXL1;FLNC;PDZD2;FOXF2;TMOD1;NES;CDA;COL6A1;LTBP2;TMEM158;S100A3;AXL;DKK1;GNAL;PLTP;PDLIM4;LGALS1;IL11;MYL9;MAOB;IGFBP7;MSN;TGM2;EMP1;S100A4;EMP3;VIM;SYNE3;RAMP2;ADAM19;SLC35G2","C6_ONCO"
"ESC_V6.5_UP_EARLY.V1_DN",3.04596157495885e-20,1.54816854665697e-17,1.16017957183021,0.53187735554638,3.12411883964115,130,"COL4A1;COL3A1;FAP;INHBA;FGF2;CCDC80;COL4A2;NID1;C3orf70;COL1A1;SERPINE1;TGFB1I1;PMP22;COL1A2;CAMK4;BGN;CAV1;LOX;C16orf89;TUBB6;GPX2;LOXL1;PCOLCE;CAVIN1;TNC;AEBP1;CAVIN2;BMP4;SERPINF1;SCARA3;CSRP1;HTRA1;COL16A1;AXL;GSN;TIMP2;TSHZ2;CALD1;TAGLN;ACTA1;MGP;FBLN2;IGFBP7;CDC42EP1;EMP1;S100A4;STARD8;IGFBP3;S100A6;SOCS3","C6_ONCO"
"CAHOY_ASTROGLIAL",6.98755973357002e-14,1.64893931927014e-11,0.954541630725724,0.555482347503827,3.01932069609028,80,"ITGBL1;COL5A1;LOXL2;FBLN5;COL8A1;OMD;SERPINE1;CNN1;MXRA8;CALHM5;OGN;LOX;NOX4;C3;AEBP1;ACTA2;C1QTNF1;LTBP2;SLC24A3;CP;TIMP1;TAGLN;SERPING1;DYSF;GNA14;MSN;BST2;EMP3;IGFBP3;SEMA3B;TNFRSF12A;TOR4A;COL4A6;VLDLR;GPNMB","C6_ONCO"
"BMI1_DN.V1_UP",2.28619081539658e-13,4.50925546648744e-11,0.932595211336209,0.448422857634958,2.61041834864729,125,"FAP;INHBA;CSPG4;GREM1;FGFR1;SRPX2;MFAP5;TNFAIP6;GFPT2;NRP2;CHST3;BST1;NT5E;PAPPA;MFGE8;ACTA2;BMP4;ITGA5;TIMP3;SEMA3G;COL16A1;BDKRB2;DKK1;LIF;TAGLN;LTBP4;ACKR3;PTHLH;TEK;P3H3;CSF1;TGFB2;LHFPL2;SLC7A5;PLAT;CRISPLD2;FJX1;COL13A1;ASPH;CHST11;ADGRE5;MMP7;C3AR1;ITGA4;VLDLR;B4GALNT1;IGKC","C6_ONCO"
"AKT_UP.V1_DN",1.17227298127962e-11,1.59707087088764e-09,0.875325132024659,0.373991689699897,2.29378823082833,163,"ITGBL1;NCAM1;FXYD1;PDGFRA;PTGIS;SFRP2;NID1;CD248;CSDC2;MYOC;ISLR;CAP2;SLIT3;SH3BGR;DPT;FHOD3;OGN;SYPL2;ZEB1;EFEMP1;PDLIM3;ITIH5;PLPP3;S1PR3;C1S;C1R;SCARA3;TIMP3;HTRA1;MATN2;EFEMP2;FMO2;PLTP;PDLIM4;TCF21;HIC1;PPP1R3C;CAV2;ACKR3;GNA14;RECK;KLF2;SMARCD3;PLA2G4A;TSPAN4;CNN2;GAS1;SLC7A5;KCTD12;IFFO1","C6_ONCO"
"MEL18_DN.V1_UP",5.99319034506902e-11,6.71186528899043e-09,0.839088935621274,0.417381145857668,2.43669582050884,124,"FAP;INHBA;CSPG4;GREM1;SRPX2;TNFAIP6;GFPT2;NRP2;CHST3;NT5E;PAPPA;ECM1;STEAP3;ITGA5;MEOX1;COL16A1;HS3ST3A1;BDKRB2;LIF;LTBP4;PTHLH;TEK;KCNN3;P3H3;CSF1;TGFB2;ADAM19;CDH13;LHFPL2;SLC6A9;SLC7A5;PLAT;TGFBR3;CRISPLD2;FJX1;COL13A1;ASPH;CHST11;CHST2;ADGRE5;MMP7;C3AR1;ITGA4;VLDLR;CD83","C6_ONCO"
"BMI1_DN_MEL18_DN.V1_UP",8.44348967592662e-11,9.07160293230653e-09,0.839088935621274,0.421514597854688,2.45943278456693,119,"FAP;INHBA;CSPG4;GREM1;TNFAIP6;GFPT2;NRP2;CHST3;BST1;NT5E;PAPPA;ZEB2;ITGA5;TIMP3;COL16A1;PIK3CG;GAB2;LIF;TAGLN;PTHLH;TEK;KCNN3;RUSC2;MGLL;CSF1;PIM1;TGFB2;ADAM19;CDH13;NAV2;LHFPL2;SLC6A9;SLC7A5;PLEKHO1;PLAT;CRISPLD2;FJX1;MAP3K7CL;COL13A1;CDC42EP2;ASPH;CHST11;ADGRE5;MMP7;ARL4A;C3AR1;ITGA4;VLDLR;APBB2;TMEM51","C6_ONCO"
"CORDENONSI_YAP_CONSERVED_SIGNATURE",1.52737198356144e-10,1.52910763354276e-08,0.826657301178302,0.592461197691727,2.91797551078491,51,"ETV5;FGF2;GAS6;SERPINE1;SLIT2;PMP22;LHFPL6;TNS1;CAVIN2;FLNA;AXL;PDLIM2;COL4A3;DLC1;BICC1;THBS1;TGM2;TGFB2;AMOTL2;DAB2;GADD45B;ASAP1;FSCN1","C6_ONCO"
"ATF2_UP.V1_DN",3.20771868802807e-10,3.02785731873506e-08,0.814035837847908,0.3628467455753,2.19652203806471,155,"ITGBL1;CRLF1;COMP;PLN;PTGIS;SFRP4;MN1;CCL11;SCRG1;PID1;EDNRA;SLIT3;ROR1;ABCA8;MFAP4;EFEMP1;SVEP1;FRY;PDLIM3;ITIH5;SLC24A3;FGF7;CYP1B1;S100A3;EDIL3;ID4;SDC3;TCF21;VCAM1;SGCG;CFH;FBLN2;GPRC5B;PTX3;CXCL12;PIM1;DEPP1;CDH13;HOXB2;PLA2G4A;NDUFA4L2;SNCAIP;CYBRD1;PLSCR4;REV3L;GAS1;KCTD12;RARRES1;IL33;CCL2","C6_ONCO"
"KRAS.KIDNEY_UP.V1_UP",9.30421800629281e-10,7.58982968846663e-08,0.801215574617779,0.423420222731974,2.43921481414164,104,"ITGBL1;TRIM9;PLP1;ALDH1A1;PCP4;NRXN1;ATP1A2;LMO3;SORBS1;ANK2;RCAN2;SCG5;CRYAB;SFRP1;PCDH9;KCNJ8;TMOD1;MEF2C;VIPR2;SPARCL1;SNAP25;CP;GPM6A;NDN;SCN1B;TMEM100;ETV1;DYNC1I1;GPRC5B;PMP2;EMP1;A2M;KIT;DNM3;PEG3;KCNA5;PLSCR4;PLCL1;FGF9;SYT1;TRIL;TCEAL2;GPNMB;PECAM1;CCND2;NEBL;DUSP6;ZNF536;HEY1;ASPA","C6_ONCO"
