"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",7.19354108207605e-16,2.16051466817352e-13,1.02766987054358,0.447012882679654,2.71705030172969,152,"AKAP12;ADAMTS5;ADGRL3;FBLN5;CCDC80;ANGPTL7;GAS6;TMEM119;FHL1;PDE5A;EGFLAM;IGFBP6;CACNA2D1;OGN;TNS1;LOX;JAM3;LRRC32;PDE1A;ECM1;SPARC;FKBP9;ACTN1;F2R;GGT5;CLEC14A;HS3ST3A1;CAMK1D;ECM2;FMO2;ADAMTS9;TAGLN;DSE;PAM;MGP;RND3;THBS1;SRPX;CD93;STARD8;ADAMTS1;GNG11;GAS1;RCAN1;VASN;RASL11B;TENT5A;HSPB1;DUSP5;FKBP7","C7_IMMUNO"
"GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN",7.12019840611771e-14,1.65076178836571e-11,0.954541630725724,0.43248922889778,2.59110867353287,143,"LAMA2;FXYD1;COL5A2;MYOCD;COL1A1;SORBS1;MOXD1;ADAMTS12;IGFBP6;FLRT2;REEP2;AMPH;C7;SYNE1;CPA3;MYADM;DCN;COL4A3;IGFBP5;PLAC9;PDE7B;HLF;FBLN2;FGL2;S100A6;AFAP1L1;ADAM19;MT1A;CDKN1A;NAV2;GPC3;NR4A3;FHL2;KCTD12;GJA1;GADD45B;AREG;CRIP1;LMNA;PLOD2;CALCRL;FOSL2;ITGAV;EPAS1;MNS1;PLEC;PRNP;JUNB;CSRNP1;DUSP6","C7_IMMUNO"
"GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN",5.89671979185594e-13,1.05304259526184e-10,0.921426003494898,0.410923911873263,2.50006867848381,156,"GNAO1;PDGFRL;PRKG1;LAMA2;ACTC1;CASQ2;NEXN;FNDC5;SGCA;ARHGEF25;HSPB2;ATP1A2;HSPB6;POPDC2;MYOC;VSIG4;PYGM;CAP2;RCAN2;HSPB8;LDB3;SYNPO2;PODN;CAV1;PGM5;CES1;ITIH5;RRAD;ITGB1BP2;CFL2;VSTM4;RBM24;DKK1;VAMP5;SERPING1;DLC1;RYR2;SGCG;MAOB;TNNT1;NKD1;SLC47A1;PIP5K1B;ARMH4;DRD1;FRMD6;BAG2;PPARGC1A;ABCC8;APOD","C7_IMMUNO"
"GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP",1.38960521189426e-11,1.85491241163462e-09,0.875325132024659,0.362124567965045,2.24495846776454,180,"COL4A1;FGFR1;AKAP12;THY1;COL4A2;GPX8;TMEM119;ADGRA2;FHL1;NRP2;SERPINH1;MEG3;TFPI;RAB3IL1;CLU;BGN;LHFPL6;PALLD;C3;PIANP;FKBP9;AK1;MRC1;C1R;F2R;KDR;EVC2;AXL;LDB2;DLC1;RND3;USP2;TEK;RHOJ;NREP;LAMB2;MAF;P3H3;RAB34;SELENOM;CD14;SOX18;HOXB2;GNG11;NHSL2;MYOM1;SH3D19;RND2;DAB2;TRIP6","C7_IMMUNO"
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN",2.25245174547694e-11,2.78188316041848e-09,0.863415391606693,0.358438985018263,2.22434837743964,185,"PDGFRL;FGF2;SRPX2;NID1;MOXD1;BHMT2;EDNRA;SLIT2;SFRP1;PAPPA;LTBP1;DZIP1;LEPR;TUBB6;DOK5;LRRC32;SYNDIG1;EMILIN1;GLT8D2;CDH2;RUNX1T1;ITGA5;COL6A2;COPZ2;OLFML2A;TMEM158;SLFN12;DKK1;ZCCHC24;VCAM1;PDLIM2;IGFBP5;PNMA1;TMEM100;FOXC1;ZNF516;THBS1;ADCY9;RRAS;GPRC5B;ILK;VIM;PKD2;ADAM19;FGD6;BCHE;EDNRB;TSPAN4;FHL2;TNFRSF12A","C7_IMMUNO"
"GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",2.77008445953429e-11,3.35840973694914e-09,0.863415391606693,0.35983275884566,2.23263051914843,183,"COL4A1;PLS3;RBP1;GPX8;IL13RA2;MMP23B;SERPINE1;MMP2;COL1A2;MFGE8;SERPINE2;DPT;BOC;BGN;AQP1;MSC;COL6A3;VCL;ACTG2;MYH11;LTBP2;HTRA1;SPARCL1;TTN;OLFML2A;TIMP1;OLFML1;ADAMTS9;PLTP;LPAR1;SERPING1;CPT1C;RRAS;FXYD6;RHOJ;GNA14;PROS1;IGFBP7;TGM2;IGFBP3;SHISA4;RAB34;IGDCC4;IFITM2;GDPD5;PHLDA3;PLA2G4A;GNG11;CACHD1;KCTD12","C7_IMMUNO"
"GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP",5.2624024663439e-11,5.99505591316678e-09,0.851339057116899,0.355280373141423,2.18221666248557,175,"COL3A1;INHBA;NCAM1;POSTN;PDGFRA;COL5A2;AKAP12;CDH11;DPYSL3;NID1;CD248;GPR153;SYNPO;IL13RA2;SERPINE1;FBN1;CAV1;ANGPTL2;C1QTNF1;TIMP3;TMEM35A;CYP1B1;FZD7;SERPING1;DKK3;RND3;ACKR3;BICC1;RHOJ;EMP1;IGFBP3;CXCL12;IL1RL1;ADAMTS1;EGR2;FRMD6;AMOTL2;GAS1;ELK3;SEC23A;PGF;TLL1;MAN1A1;CACNA1H;SLC38A2;MLXIP;ITGAV;IFIT3;AHNAK","C7_IMMUNO"
"GSE6259_CD4_TCELL_VS_CD8_TCELL_UP",3.2916140599322e-10,3.08501275191518e-08,0.814035837847908,0.356494868006208,2.18937139206602,164,"FGFR1;BNC2;ADAMTS2;TNFAIP6;GPX8;IGFBP6;SLIT3;PDLIM7;KANK2;RASL11A;CLIP3;OGN;DDR2;JAM3;FLNC;PCOLCE;ATP2B4;CAVIN1;ALDH1A2;S100A16;LTBP2;SERPINF1;EFEMP2;RGS16;LAYN;TIMP1;GPM6A;LGI2;TSHZ2;FBLN1;CALD1;TAGLN;TPSB2;ZBTB20;CENPE;GPRC5B;RHOJ;LAMB2;ARHGAP23;WWTR1;CSF1;FLT4;PHLDA3;NPAS3;EZH2;TSPAN4;GAS1;TRIP6;TCN2;HSPB1","C7_IMMUNO"
"GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP",7.00486962003947e-10,6.05028444632821e-08,0.801215574617779,0.366778593082129,2.2169193097835,150,"ETV5;DPYSL3;LYVE1;SLC16A7;VSIG4;MMP2;TFPI;GPX2;C1QTNF1;C1S;EYA4;SERPINF1;ABCA9;IRAK3;COPZ2;CP;HS3ST3A1;FOLR2;PTPRB;GAS7;SGCE;DSE;IGF1;HACD4;MGP;HOXA11;CFH;ETV1;STAB1;MAF;RAPGEF5;GPX3;PDGFC;ROCK2;ITSN1;PTGFRN;FBLIM1;GBGT1;CALCRL;CDC42BPA;PLEKHG5;CD163;DUSP7;GPR146;CX3CR1;DST;P2RY6;FAM20C;DUSP6;TEF","C7_IMMUNO"
"GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP",9.13081175192085e-10,7.5037251106303e-08,0.801215574617779,0.404518752670796,2.34401763082394,116,"ITGBL1;MFAP2;NTRK2;CDH11;ANGPTL7;ZFPM2;CTSK;NRIP2;EHD2;SVEP1;FERMT2;ZEB2;COL6A1;COPZ2;SPARCL1;HTRA3;C2orf88;GNAL;FMO2;ADAMTS9;FBLN1;ARHGEF40;RHOJ;NREP;SYN1;TMCC2;DNM3;REV3L;FBLIM1;TGFBR3;GPRASP1;PLCL1;SLC35F1;PAPSS2;FAM171A2;STX1B;BDKRB1;RARB;PRKAA2;MS4A7;MYOZ1;PCDHB12;PCDHB7;TEAD4;ZNF536;SH3PXD2A;RNF122;RAMP1","C7_IMMUNO"
"GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP",2.28868800114286e-09,1.69915797388218e-07,0.774939030136436,0.332525433629382,2.03624094635839,173,"INHBA;NCAM1;PCSK5;PRELP;CADM2;OMD;DNAJB5;LMOD1;SGCD;DTNA;SLIT3;EHD2;TNS1;KCNJ8;MYLK;SMOC1;PAMR1;GLIS1;RUNX1T1;TIMP3;VSTM4;UCHL1;FBLN1;NKD1;RHOJ;MGLL;ARHGAP23;ARHGEF17;SOCS3;CDH13;NPR1;NHSL2;RND2;CYTL1;DDIT4L;PALM;IER3;ITPRIP;CCDC107;PBXIP1;CRTAP;ADGRL1;LAPTM4B;PRKD3;TPPP3;MAP4;KLF7;SDC2;LMCD1;FOXN3","C7_IMMUNO"
"GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN",2.42899839989658e-09,1.76369306893589e-07,0.774939030136436,0.330955460383111,2.05172840775525,180,"FST;PDGFRL;FGF2;BNC2;SRPX2;MFAP5;NID1;RBP1;COL1A1;SLIT2;SCG5;TFPI;SFRP1;CTSK;LTBP1;DOK5;SYNDIG1;EMILIN1;GLT8D2;EYA1;CDH2;FKBP9;DACT1;OLFML3;COL6A2;ACTN1;COPZ2;OLFML2A;DKK1;ZCCHC24;PDLIM2;IGFBP5;TMEM100;ARHGEF40;PCDH7;RRAS;RECK;SAMD4A;ADAM19;NAV2;PHLDA3;ITSN1;ATXN1;GAS1;TNFRSF12A;TGFBR3;EOGT;PTGS1;CRTAP;CDC42BPA","C7_IMMUNO"
"GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_DN",2.63846919160553e-09,1.90532078508563e-07,0.774939030136436,0.379425655142523,2.21335039374243,128,"NTRK2;CDH11;ALDH1A1;KCNMB1;ESR1;SCRG1;BST1;MMP2;SLIT2;SFRP1;LEPR;EHD2;CAV1;JAM2;SYNDIG1;EFEMP1;CAVIN1;ITGA5;CLIC4;SHC3;ATRNL1;DCN;TRPC1;MAOB;PAM;ALDH1B1;IL1B;STAB1;TEK;GNA14;EFNA5;SPART;DNM3;ZNF835;ELK3;GJA1;CRISPLD2;SELP;HOPX","C7_IMMUNO"
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN",9.2080225720891e-09,5.8501931870268e-07,0.747739663149885,0.334464037609047,2.06348087939874,171,"AKAP12;WFDC1;PTGIS;ANGPTL7;POPDC2;VSIG4;CHRDL1;MAP1B;ARHGAP20;DTNA;CXCL14;LIMS2;LEPR;SEMA3A;SMTN;MYLK;WDR86;FLNC;CES1;MYH11;EYA1;DIXDC1;SCARA3;SPARCL1;ANGPT1;KCNH2;FREM2;GSN;NPR2;LDB2;MYL9;ZBTB20;FXYD6;CDC42EP1;CTF1;NREP;CCDC136;ARMH4;GALNT15;KIT;CLDN5;PEG3;GPC3;SNCAIP;PDE2A;KCNA5;ANKRD2;MPZ;SCN3B;MYL3","C7_IMMUNO"
"GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP",1.16610185334878e-08,7.26888490188871e-07,0.747739663149885,0.395403138611336,2.28474092912569,112,"FOXS1;AKAP12;COL4A2;KCNE4;TNFAIP6;SERPINE1;TGFB1I1;ADAMTS15;FERMT2;ITGA5;CDKL1;COL6A2;RBM24;ADAMTS9;RND3;CD93;MT1A;ITPR1;ADAMTS1;EGR2;NR4A3;RCAN1;KCND1;CCL2;SYT12;IER3;DUSP5;ID3;FOSL2;FOSB;EGR1;UST;MACF1;LMCD1;APOLD1;WDR81;JUNB;DUSP6;CEBPB;SPRY1;GADD45A;DUSP8;FOS;EGR3;PELO;ARL4D;SLC16A8;PPP1R15A;CEBPD;SEMA4C","C7_IMMUNO"
"GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN",1.93312592798588e-08,1.16649585106545e-06,0.73376198835648,0.329666121389698,2.01723973613338,165,"COL10A1;PLS3;NNMT;FGFR1;COL5A2;NR2F1;HEPH;AOC3;FBN1;FHL1;COL1A2;CTSK;SERPINE2;MET;CACNA2D1;DDR2;VCL;PDE1A;TNC;ECM1;FERMT2;AEBP1;CLIC4;SGIP1;TIMP3;NDN;FOLR2;DCN;HIC1;TAGLN;PPP1R3C;PAM;MGP;PLAC9;KLF12;WWTR1;S100A6;CSF1;CDKN1C;FRMD6;GJA1;TMEM176B;CNN3","C7_IMMUNO"
"GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_DN",6.02487143351292e-08,3.23653154446639e-06,0.704975715167238,0.316146473827754,1.96581250887492,176,"NCAM1;PDGFRA;FGFR1;PAK3;PTGIS;AOC3;GAS6;DNM1;SERPINH1;CAVIN3;CXCL14;CLU;MFGE8;VCL;FSTL3;DIO2;MRC1;RARRES2;HTRA1;GSTM5;IGFBP4;PPIC;DCN;LGALS1;TAGLN;IGF1;EMP1;S100A4;S100A6;RAB34;ANGPT2;CDKN1C;FRMD6;GPR162;ITSN1;CNN2;RSU1;GAS1;S1PR1;RCAN1;CLEC4A;GJA1;SPSB1;HSPB1;FKBP10;LPIN1;GSTM3;GSDME;DDAH2;FOSL2","C7_IMMUNO"
