"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"CUSTOM_ASPC_SIGNATURE",1e-50,4.405e-47,NA,0.893161493226636,5.19938961747131,125,"ITGBL1;MEDAG;FST;SSC5D;CRLF1;THBS2;MFAP2;SULF1;NTRK2;COL4A1;COL3A1;FOXS1;CTHRC1;FAP;PDGFRL;PRKG1;TENM3;FGF2;NFATC4;PLS3;GJC1;FZD2;LAMA2;POSTN;NFASC;ABCC9;PLCE1;FEZ1;FXYD1;HEYL;NNMT;COL5A1;PDGFRA;FGFR1;BNC2;SRPX2;VCAN;ZFHX4;COL5A2;PIEZO2;C1QTNF2;GPC6;CYGB;ADAMTS2;LOXL2;HIGD1B;ADAMTS5;PCSK5;CERCAM;ALDH1A1","CUSTOM"
"CUSTOM_NEPC_BELTRAN_UP",1.2537795348013e-11,1.69068332167339e-09,0.875325132024659,0.92229465246188,3.11026305517736,13,"SYT11;GNAO1;CAND2;ETV5;ASXL3;DNMT1;BRINP1;TRIM9;PROX1;GPX2","CUSTOM"
"CUSTOM_NEPC_BELTRAN_DOWN",6.52583765907474e-06,0.000193360862476845,0.610526878385931,-0.605431983950427,-2.02331737838701,37,"ARHGAP8;EPN3;TC2N;KLK4;RAB27B;NUP93;SLC44A4;SLC25A37;GATA2;FHIT;HOXB13;RIPK2;EVPL;MAPKAPK3;RGS10;SPDEF;NKX3-1;LMAN1L","CUSTOM"
"CUSTOM_MDK_SIGNATURE",0.000174316145579447,0.00296090985068431,0.518848077743792,0.546690842620833,2.22186465595472,24,"NTRK2;FGFR1;GPC6;LRP1;SDC3;GPC3;MDK;PTN;ITGB1;ITGA4","CUSTOM"
"CUSTOM_SENESCENCE",0.0011272324003321,0.0133867938598178,0.45505986738723,0.447467863862578,1.94303654655349,30,"FGF2;SERPINE1;HGF;IGFBP5;IL1B;IGFBP7;IGFBP3;CDKN1A;CDKN2B;GADD45B;AREG;CCL2","CUSTOM"
"CUSTOM_MITO_BIOGENESIS",0.00981704596162427,0.0709307066062683,0.1535535368591,-0.474773322567379,-1.59479184442183,38,"POLG2;NDUFAF1;COA5;COA6;COX15;MTERF4;ACAD9;SCO1;MRPL15;TFB2M;TWNK;COA3;BCS1L;UQCC2;MTERF2;MRPS22;MTERF1;GABPA;MRPL16;MRPS25;POLG;MRPL12;NRF1;COA7;UQCC1;MRPS27","CUSTOM"
"CUSTOM_NEURO_DIFFERENTIATION",0.0179294389820706,0.109947812597709,0.260820567718869,0.443726117084932,1.65340633746561,18,"NCAM1;SNAP25;SYN1;ENO2;EZH2;RCOR2;AURKA","CUSTOM"
"CUSTOM_HALLMARK_ADIPOGENESIS",0.0268639726807057,0.145913439776213,0.0928974976713944,-0.468477172113155,-1.50638860368579,30,"ADIPOR1;ACLY;ACSL1;CEBPA;ACACA;DGAT2;FASN;PPARG;ELOVL6;SCD","CUSTOM"
"CUSTOM_NECROPTOSIS",0.030884995507637,0.1593072660552,0.0858735452983586,-0.444832972730569,-1.47155131802065,35,"TAB3;RIPK3;SPATA2;TRAF2;IRF9;IKBKB;CASP8;TRADD;USP21;MLKL;RIPK1;IFNAR1;TYK2;CHUK;OTULIN;ZBP1;BIRC2;RNF31","CUSTOM"
"CUSTOM_TNFSF12_SIGNATURE",0.034045393858478,0.17012319932028,0.202498775969141,0.3725969874026,1.5143112206824,24,"FGF2;VCAM1;ANGPT2;TRAF5;TNFRSF12A;CCL2;TNFSF12;ICAM1","CUSTOM"
"CUSTOM_ESTROGEN_RESPONSE",0.036283185840708,0.178356002935877,0.22623238004642,0.324476628612532,1.45463972291527,33,"FGF2;ESR1;PGR;MMP2;HSPB8;TIMP3;IGFBP4;FOXC1;RARA;AREG","CUSTOM"
"CUSTOM_LIPID_METABOLISM",0.0396519440467012,0.189033347971557,0.0747093797274478,-0.417802051700071,-1.43365045667567,43,"SQLE;CPT1B;CPT2;ACLY;ACSL1;FABP5;ACACA;DGAT2;FASN;ELOVL6;SCD;HSD17B4;HADHB;ECHS1;ABCG1;ELOVL5;HMGCS1;GPAT4;EHHADH;ACADM;LIPA;HMGCR;ACADL;ACSL3","CUSTOM"
