"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,4.405e-47,NA,0.752340698550283,4.66876618350223,185,"CRLF1;THBS2;COL4A1;COL3A1;CTHRC1;FAP;INHBA;FGF2;LAMA2;COMP;POSTN;GREM1;NNMT;COL5A1;VCAN;COL5A2;MFAP5;LOXL2;CDH11;FBLN5;THY1;COL12A1;BMP1;DPYSL3;COL4A2;SFRP4;ELN;COL5A3;COL1A1;NID2;SERPINE1;FBN1;SERPINH1;CAP2;MMP2;SLIT2;PCOLCE2;FN1;PMP22;COL1A2;SGCD;SFRP1;NT5E;SLIT3;SERPINE2;BGN;PDGFRB;LOX;MYLK;LOXL1","HALLMARK"
"HALLMARK_MYOGENESIS",2.0919200441016e-37,4.60745389713377e-34,1.58945578468201,0.612364695668052,3.77926459316114,170,"GNAO1;FST;COL3A1;FGF2;NCAM1;LAMA2;FXYD1;ACTC1;CASQ2;PTGIS;COL4A2;SGCA;SPHK1;HSPB2;ITGA7;COL1A1;SORBS1;REEP1;FHL1;PYGM;SPEG;HSPB8;LDB3;SGCD;CRYAB;DTNA;CLU;PDLIM7;SH3BGR;DMD;SMTN;MYLK;COX7A1;COL6A3;TNNC1;MYH11;SPARC;AEBP1;DES;TPM2;FABP3;MEF2C;AK1;COL15A1;SSPN;GJA5;COL6A2;KCNH2;BDKRB2;GSN","HALLMARK"
"HALLMARK_APICAL_JUNCTION",1.96973435021739e-12,2.92472353237335e-10,0.898671232061694,0.374737178879562,2.28393782559688,174,"NFASC;ACTC1;VCAN;NEGR1;ADAMTS5;CDH11;THY1;NEXN;CERCAM;BMP1;CADM2;FBN1;MMP2;ITGA9;SLIT2;SPEG;CLDN11;CNTN1;JAM3;VCL;FLNC;ACTG2;NRTN;NLGN3;ACTN1;NRXN2;KCNH2;COL16A1;LAYN;SDC3;VCAM1;ACTA1;SGCE;MYL9;EPB41L2;RRAS;TGFBI;MSN;ACTN2;NLGN2;MAP3K20;CD34;ZYX;CLDN5;PARVA;TRO;TSPAN4;CNN2;MDK;RSU1","HALLMARK"
"HALLMARK_COAGULATION",2.64183769820001e-10,2.58606556901579e-08,0.814035837847908,0.437062353600672,2.49380362405012,100,"LEFTY2;COMP;BMP1;MMP11;SERPINE1;FBN1;MMP2;FN1;CLU;CTSK;F10;C3;SPARC;C1S;C1R;CSRP1;TIMP3;HTRA1;TIMP1;GSN;THBD;LRP1;SERPING1;CFH;THBS1;MMP14;PROS1;RGN;A2M;S100A13;PLAT;C1QA;VWF;PDGFB;S100A1;C2;MMP7;CPQ;PECAM1;APOA1;KLF7;CFD;F2RL2;CFI;DUSP6","HALLMARK"
"HALLMARK_UV_RESPONSE_DN",6.13397524798523e-10,5.47687998652951e-08,0.801215574617779,0.390827414965328,2.32892011293958,135,"COL3A1;FZD2;COL5A2;FBLN5;COL1A1;SERPINE1;CAP2;TFPI;PMP22;MAP1B;COL1A2;KCNMA1;LTBP1;MET;RBPMS;PDGFRB;CAV1;AMPH;ATP2B4;EFEMP1;PLPP3;SYNE1;LPAR1;IGFBP5;DLC1;RND3;MMP16;PRKCA;MGLL;KIT;TGFBR2;ATXN1;FHL2;DAB2;RGS4;GJA1;TGFBR3;GRK5;CDC42BPA;SNAI2;CELF2;VLDLR;PTPN21;APBB2","HALLMARK"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.39975755159763e-08,1.40945760197168e-06,0.73376198835648,0.31502204583593,1.9579629886226,186,"INHBA;SPHK1;TNFAIP6;GFPT2;SERPINE1;MSC;TNC;PLPP3;DNAJB4;LIF;GEM;IL1B;ACKR3;PTX3;CSF1;SOCS3;CDKN1A;KLF2;EGR2;NR4A3;SLC2A3;RCAN1;GADD45B;AREG;SPSB1;RHOB;CCL2;IER3;DUSP5;FJX1;TRIP10;G0S2;FOSL2;CCL4;KLF10;CD83;FOSB;EGR1;IER5;MAP3K8;ICAM1;IL6ST;KLF9;BCL6;ATP2B1;JUNB;STAT5A;CEBPB;GADD45A;EHD1","HALLMARK"
"HALLMARK_KRAS_SIGNALING_UP",4.89497984733666e-07,2.05356059309695e-05,0.659444398037935,0.296593741352373,1.82174939371179,175,"ETV5;ITGBL1;INHBA;AKAP12;PCP4;ANO1;MMP11;GFPT2;ADGRA2;SCG5;TFPI;HSD11B1;SPON1;ALDH1A2;PRRX1;SPARCL1;SNAP25;RGS16;TMEM158;LIF;SCN1B;TMEM100;CFH;ADGRL4;IL1B;ETV1;GPRC5B;ENG;GYPC;EMP1;IGFBP3;FLT4;SEMA3B;HDAC9;GNG11;PEG3;F13A1;CLEC4A;PLAT;TMEM176B;IL33;APOD;ABCB1;FGF9;G0S2;C3AR1;EPHB2;TMEM176A;GPNMB","HALLMARK"
"HALLMARK_ANGIOGENESIS",2.23817241842329e-06,7.62305373955252e-05,0.627256739718528,0.5744288534909,2.52151036601419,31,"COL3A1;POSTN;FGFR1;VCAN;COL5A2;KCNJ8;TIMP1;THBD;LUM;MSX1;S100A4;SERPINA5;STC1;ITGAV;CCND2","HALLMARK"
"HALLMARK_HYPOXIA",8.57191749857805e-05,0.00167950928012886,0.538434096309916,0.25824054708908,1.59271294593912,181,"COL5A1;AKAP12;TMEM45A;SERPINE1;CHST3;PYGM;CAVIN3;DTNA;BGN;CAV1;LOX;CAVIN1;CP;SDC3;DCN;PPP1R3C;PAM;ACKR3;SRPX;TGFBI;TGM2;S100A4;PRKCA;IGFBP3;PIM1;ENO2;CDKN1A;CDKN1C;TGFB3;GPC3;SLC2A3;BCAN;PPARGC1A;TES;PGF;IER3;PDGFB;RORA;CHST2;PFKP;FOSL2;LARGE1;VLDLR;STC1;KLF7;CSRP2;SDC2;EXT1","HALLMARK"
"HALLMARK_COMPLEMENT",9.59449471916047e-05,0.00184704464769105,0.538434096309916,0.260428870893387,1.60671981171279,171,"COL4A2;ZFPM2;SERPINE1;FN1;CLU;F10;C3;ZEB1;CDA;DGKG;C1S;C1R;CSRP1;CP;TIMP1;PIK3CG;LRP1;TIMP2;SERPING1;CFH;MMP14;ACTN2;DGKH;GNG2;SH2B3;PIM1;CDH13;PLA2G4A;KCNIP3;S100A13;PLAT;C1QA;GNB4;DUSP5;PDGFB","HALLMARK"
