"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"CUSTOM_ASPC_SIGNATURE",1e-50,4.405e-47,NA,0.893161493226636,5.19938961747131,125,"ITGBL1;MEDAG;FST;SSC5D;CRLF1;THBS2;MFAP2;SULF1;NTRK2;COL4A1;COL3A1;FOXS1;CTHRC1;FAP;PDGFRL;PRKG1;TENM3;FGF2;NFATC4;PLS3;GJC1;FZD2;LAMA2;POSTN;NFASC;ABCC9;PLCE1;FEZ1;FXYD1;HEYL;NNMT;COL5A1;PDGFRA;FGFR1;BNC2;SRPX2;VCAN;ZFHX4;COL5A2;PIEZO2;C1QTNF2;GPC6;CYGB;ADAMTS2;LOXL2;HIGD1B;ADAMTS5;PCSK5;CERCAM;ALDH1A1","CUSTOM"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,4.405e-47,NA,0.752340698550283,4.66876618350223,185,"CRLF1;THBS2;COL4A1;COL3A1;CTHRC1;FAP;INHBA;FGF2;LAMA2;COMP;POSTN;GREM1;NNMT;COL5A1;VCAN;COL5A2;MFAP5;LOXL2;CDH11;FBLN5;THY1;COL12A1;BMP1;DPYSL3;COL4A2;SFRP4;ELN;COL5A3;COL1A1;NID2;SERPINE1;FBN1;SERPINH1;CAP2;MMP2;SLIT2;PCOLCE2;FN1;PMP22;COL1A2;SGCD;SFRP1;NT5E;SLIT3;SERPINE2;BGN;PDGFRB;LOX;MYLK;LOXL1","HALLMARK"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1e-50,4.405e-47,NA,0.63074592582661,4.12654931176742,263,"COL10A1;MFAP2;COL4A1;COL3A1;FGF2;NCAM1;LAMA2;COMP;ACTC1;COL5A1;VCAN;COL5A2;MFAP5;ITGA11;ADAMTS2;LOXL2;ADAMTS5;FBLN5;COL12A1;ADAMTS8;BMP1;COL4A2;SGCA;ITGA8;NRXN1;NID1;COL8A1;ELN;COL5A3;COL14A1;ITGA7;LOXL3;COL1A1;NID2;MMP11;SERPINE1;FBN1;COL23A1;ASPN;SERPINH1;MMP2;ITGA9;PCOLCE2;ITGA1;FN1;COL1A2;SGCD;DTNA;EMILIN3;CTSK","C2_CP"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",2.21488916607385e-48,7.31744008241649e-45,1.81454230543492,0.75102675406528,4.43702455819483,132,"COL10A1;THBS2;MFAP2;COL4A1;COL3A1;CTHRC1;LAMA2;COMP;POSTN;COL5A1;SRPX2;VCAN;COL5A2;MFAP5;FBLN5;COL12A1;COL4A2;PRELP;NID1;COL8A1;ELN;COL5A3;COL14A1;HMCN2;COL1A1;NID2;FBN1;COL23A1;ASPN;PODNL1;FN1;COL1A2;PODN;EMILIN3;MFGE8;LTBP1;DPT;BGN;OGN;SPON1;HMCN1;COL6A3;PCOLCE;EMILIN1;MFAP4;LAMC3;EFEMP1;TNC;ECM1;SPARC","C5_GO"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",2.10578374665271e-47,5.56558644240311e-44,1.79734246412339,0.555565616228137,3.64227410570947,276,"COL10A1;SULF1;COL4A1;COL3A1;FAP;LAMA2;COMP;POSTN;GREM1;OLFML2B;COL5A1;PDGFRA;COL5A2;ADAMTS2;LOXL2;ADAMTS5;FBLN5;COL12A1;ADAMTS8;CCDC80;BMP1;COL4A2;ANGPTL7;SFRP2;ITGA8;NID1;COL8A1;ELN;COL5A3;COL14A1;GAS6;LOXL3;COL1A1;NID2;MMP11;ADAMTS12;MMP23B;COL23A1;HPSE2;EGFLAM;SERPINH1;MMP2;COL1A2;CTSK;VIT;DPT;ADAMTS15;DDR2;CAV1;FLRT2","C5_GO"
"HALLMARK_MYOGENESIS",2.0919200441016e-37,4.60745389713377e-34,1.58945578468201,0.612364695668052,3.77926459316114,170,"GNAO1;FST;COL3A1;FGF2;NCAM1;LAMA2;FXYD1;ACTC1;CASQ2;PTGIS;COL4A2;SGCA;SPHK1;HSPB2;ITGA7;COL1A1;SORBS1;REEP1;FHL1;PYGM;SPEG;HSPB8;LDB3;SGCD;CRYAB;DTNA;CLU;PDLIM7;SH3BGR;DMD;SMTN;MYLK;COX7A1;COL6A3;TNNC1;MYH11;SPARC;AEBP1;DES;TPM2;FABP3;MEF2C;AK1;COL15A1;SSPN;GJA5;COL6A2;KCNH2;BDKRB2;GSN","HALLMARK"
"GOCC_CONTRACTILE_MUSCLE_FIBER",1.95448305876132e-32,3.68978480307583e-29,1.48156758833633,0.547570158350208,3.43619734925866,190,"ABCC9;ACTC1;CASQ2;IGFN1;NEXN;ARHGEF25;SYNM;JPH2;SYNPO;FBXL22;FHL5;ANK2;LMOD1;MMP2;LDB3;CRYAB;SYNPO2;PDLIM7;ASB2;DMD;FHOD3;PGM5;KCNJ8;VCL;PALLD;FLNC;TNNC1;ATP2B4;MYH11;TMOD1;FERMT2;PDLIM3;ACTA2;SLC8A1;DES;TPM2;COL6A1;PPP1R12B;MYH7B;CSRP1;SYNE1;ACTN1;TTN;ITGB1BP2;CFL2;FLNA;FHL3;MYOZ3;TPM1;PDLIM4","C5_GO"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT",6.0379973484369e-28,9.9740168699492e-25,1.37274298193398,0.442997888231253,2.89054174170145,273,"COL3A1;FZD2;LAMA2;ABCC9;ACTC1;HEYL;ITGA11;NEGR1;S100B;MYOCD;SGCA;ZFPM2;ISL1;ELN;JPH2;POPDC2;ITGA7;PROX1;FHL1;EDNRA;SPEG;SGCD;CRYAB;STRA6;ASB2;DMD;SMTN;CAV1;LOX;MYLK;MSC;COL6A3;MEOX2;TNNC1;FOXC2;DES;FOXP2;MEF2C;COL6A1;BMP4;TTN;ITGB1BP2;CFL2;EFEMP2;CNTNAP1;FHL3;HEG1;TPM1;RBM24;VAMP5","C5_GO"
"GOMF_INTEGRIN_BINDING",5.01423970048604e-27,7.362575293547e-24,1.34992572002205,0.604430563995502,3.51859100818076,125,"ITGBL1;COL3A1;FAP;FGF2;COMP;COL5A1;ADAMTS5;FBLN5;THY1;ADAMTS8;SFRP2;FBN1;GFRA1;ITGA9;THBS4;FN1;MFGE8;JAM2;JAM3;ADAM22;EMILIN1;TNC;SVEP1;FERMT2;PLPP3;S1PR3;TNXB;LAMB1;ITGA5;ACTN1;KDR;ITGB1BP2;COL16A1;HSPG2;ECM2;EDIL3;FBLN1;VCAM1;COL4A3;IGF1;LTBP4;IL1B;THBS1;MMP14;TGFBI;TLN1;PRKCA;ACTN2;ILK;LAMB2","C5_GO"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION",7.27770056895964e-27,9.61748130188017e-24,1.34223377296446,0.746415061239943,4.02972952021409,74,"COL4A1;COL3A1;COMP;GREM1;COL5A1;COL5A2;ADAMTS2;LOXL2;COL12A1;BMP1;COL4A2;SFRP2;COL5A3;COL14A1;LOXL3;COL1A1;MMP11;ADAMTS12;SERPINH1;COL1A2;DPT;DDR2;LOX;LOXL1;EMILIN1;AEBP1;FOXC2;TNXB;COL6A1;EFEMP2;CYP1B1;LUM;COL4A3;P4HA3;COL4A4;ADAMTS7;FOXC1;COLGALT2;TGFB2;FKBP10;TLL1;COL4A6;PLOD2;CRTAP;SERPINF2","C5_GO"
