"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",1e-50,3.31325e-47,NA,0.752890102173202,4.68629126005473,132,"COMP;SBSPON;COL4A1;THBS2;MFAP5;COL4A2;HMCN2;COL14A1;COL3A1;DPT;COL5A1;CTHRC1;PRELP;COL10A1;PODN;LAMA4;FBLN5;OGN;COL1A1;ELN;COL5A2;COL8A1;COL12A1;COL6A3;FBN1;NID1;MFGE8;POSTN;COL1A2;TNXB;FN1;MFAP2;EMILIN3;LAMA2;HMCN1;SRPX2;COL8A2;MFAP4;LTBP1;COL21A1;AEBP1;BGN;TINAGL1;ABI3BP;EMILIN1;VCAN;PCOLCE;COL4A3;SPARC;COL6A1","C5_GO"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",1.64279035830487e-49,4.3543801237229e-46,1.83722496482485,0.555181992036905,3.80427190340677,276,"GREM1;COMP;ITGA8;COL4A1;CCDC80;SULF1;ANGPTL7;COL4A2;ADAMTS8;COL14A1;COL3A1;DPT;COL5A1;COL10A1;FBLN5;DDR2;FAP;COL1A1;SFRP2;ADAMTS5;ELN;COL5A2;COL8A1;CAV1;ADAMTS2;PDGFRA;COL12A1;MMP23B;NID1;OLFML2B;EGFLAM;POSTN;COL1A2;TNXB;SMOC1;LAMA2;LOXL2;FOXF1;MMP2;HMCN1;LOXL1;COL8A2;MFAP4;AEBP1;PRICKLE1;ADAMTS4;ADAMTSL4;MYH11;EMILIN1;GAS6","C5_GO"
"GOCC_CONTRACTILE_MUSCLE_FIBER",4.52869646272627e-42,8.5741163172159e-39,1.69047237898449,0.609931786986833,3.97106316196897,190,"ACTC1;NEXN;TTN;IGFN1;ABCC9;JPH2;LDB3;CASQ2;LMOD1;ACTN2;SYNM;CRYAB;SYNPO2;FLNC;TNNC1;FHOD3;PDLIM7;ARHGEF25;ASB2;ACTA1;SYNPO;KCNN3;MYOT;SLC8A1;DMD;TNNT1;FBXL22;TMOD1;CA3;MMP2;PGM5;DES;ATP2B4;PPP1R12B;KCNJ8;PDLIM3;TPM2;FERMT2;ACTA2;MYH11;VCL;PALLD;KLHL41;MYOM1;ITGB1BP2;COL6A1;SYNE1;MYH3;ANK2;TNNC2","C5_GO"
"GOBP_MUSCLE_CONTRACTION",2.55873507966373e-40,4.23886450134792e-37,1.6533146023566,0.487075961873911,3.40503626341319,304,"ACTC1;GNAO1;COMP;TTN;SGCA;PRKG1;ABCC9;JPH2;FXYD1;PLN;SULF1;GJC1;CASQ2;MYOCD;LMOD1;P2RX1;SYNM;KCNE4;CRYAB;ATP1A2;TNNC1;CNN1;CAV1;ACTA1;SMTN;MYOT;SLC8A1;DMD;KCNMA1;TNNT1;TMOD1;EDNRA;DTNA;CA3;MYLK;DES;ATP2B4;PPP1R12B;KCNJ8;TPM2;ACTA2;MYH11;SSPN;KLHL41;ADGRD1;TBXA2R;BDKRB2;KCNH2;ADRA2C;MYH3","C5_GO"
"GOBP_MUSCLE_CELL_DIFFERENTIATION",2.03794604132758e-35,3.00098876507938e-32,1.54987806027287,0.430995706448804,2.89622610161065,370,"GREM1;ACTC1;COMP;TTN;ITGA8;LDB3;MYOCD;LMOD1;ACTN2;COL14A1;FLNC;FHOD3;ZEB1;ISL1;ADAMTS5;NFATC4;RBPMS2;SPEG;CDH2;ASB2;ACTA1;PDGFRA;CARMN;NID1;EHD2;SLC8A1;DMD;TNNT1;LAMA2;FOXF1;NOX4;TMOD1;EDNRA;PGM5;KCNJ8;PRICKLE1;TMEM119;PRDM6;MYH11;PDGFRB;KLHL41;MYOM1;TBX2;COL6A1;SYPL2;SYNE1;MYH3;ANK2;MYOZ1;CSRP1","C5_GO"
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",4.09601941441129e-35,5.42845452991929e-32,1.54318309134871,0.443883983124042,2.9454354373748,327,"GREM1;ACTC1;TTN;ITGA8;ABCC9;JPH2;PLN;GJC1;MYOCD;S100B;GATA5;FGF2;ACTN2;COL14A1;COL3A1;EYA1;TNNC1;FHOD3;ISL1;ELN;CAV1;FGFR1;ASB2;ACTA1;PDGFRA;CARMN;HEYL;SLC8A1;DMD;FOXP2;NOX4;EDNRA;ZFPM2;PGM5;MYLK;KCNJ8;PRICKLE1;MYH11;PDGFRB;KLHL41;MYOM1;TBX2;COL6A1;MYOZ1;FOXC1;CSRP1;NEB;EFEMP2;SGCD;CFL2","C5_GO"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT",7.06952921635179e-33,7.80770589202585e-30,1.48853970961455,0.464039520100958,3.13029291059354,273,"ACTC1;TTN;SGCA;ABCC9;JPH2;MYOCD;S100B;ITGA11;NEGR1;FHL1;COL3A1;CRYAB;ITGA7;TNNC1;FZD2;ISL1;ELN;SPEG;CAV1;ASB2;ACTA1;SMTN;COL6A3;HEYL;DMD;FOXP2;LAMA2;EDNRA;ZFPM2;MYLK;DES;KLHL41;MYOM1;ITGB1BP2;COL6A1;MYH3;MYOZ1;FOXC1;MKX;CNTFR;NEB;EFEMP2;SGCD;CFL2;MEF2C;TPM1;RBM24;HLF;TCAP;TAGLN","C5_GO"
"GOMF_INTEGRIN_BINDING",5.17212421159417e-29,5.27278170586597e-26,1.39518713415833,0.621792476942329,3.82571370159736,125,"ITGBL1;COMP;ADAMTS8;FGF2;ACTN2;COL3A1;THY1;COL5A1;FBLN5;ITGA9;FAP;SFRP2;ADAMTS5;GFRA1;FBN1;ITGA5;MFGE8;JAM3;SVEP1;TNXB;FN1;JAM2;FERMT2;EMILIN1;ITGB1BP2;COL4A3;ECM2;HSPG2;COL16A1;EDIL3;THBS4;S1PR3;PLPP3;ADAM22;TGFBI;FBLN1;LAMB1;ACTN1;THBS1;LTBP4;MMP14;ILK;IGF1;TSPAN4;LAMB2;PTN;TLN1;CXCL12;TNC;PRKCA","C5_GO"
"GOBP_CELL_SUBSTRATE_ADHESION",1.29968623274959e-28,1.23033868875931e-25,1.38774608305349,0.40709826225383,2.70245073338797,326,"GREM1;ITGBL1;MYOC;ITGA8;CCDC80;ITGA11;SORBS1;ACTN2;COL3A1;THY1;TGFB1I1;LYVE1;ITGA7;FBLN5;ITGA9;COL1A1;CDH11;COL8A1;ITGA1;NID1;ITGA5;EGFLAM;JAM3;SVEP1;TNXB;SERPINE1;FN1;L1CAM;FREM2;FOXF1;SFRP1;FERMT2;VCL;EMILIN1;GAS6;TSPAN11;NID2;COL5A3;GPM6B;ECM2;EFNA5;COL16A1;EPHA3;EDIL3;VIT;NDNF;CCL21;FLNA;EFEMP2;PLPP3","C5_GO"
"GOCC_CELL_SUBSTRATE_JUNCTION",4.23043141024714e-27,3.73772716533369e-24,1.34992572002205,0.368617174509258,2.598763553168,398,"ITGBL1;ACTC1;NEXN;ITGA8;MCAM;ITGA11;CSPG4;SORBS1;ACTN2;FHL1;THY1;TGFB1I1;SYNPO2;SCARF2;FLNC;NFASC;FZD2;DDR2;FAP;CNN1;PDLIM7;CDH2;CAV1;ITGA1;LIMS2;AKAP12;ITGA5;L1CAM;DMD;TNS1;NOX4;PGM5;HMCN1;FERMT2;PDGFRB;VCL;PALLD;HSPG2;MRC2;DIXDC1;CSRP1;FLNA;ANXA6;PEAK1;EPB41L2;GSN;CAV2;RND3;SVIL;LRP1","C5_GO"
"GOCC_I_BAND",5.05092373732321e-27,4.18374326817153e-24,1.34992572002205,0.615600414876064,3.72601916811061,116,"ACTC1;NEXN;TTN;IGFN1;JPH2;LDB3;CASQ2;ACTN2;CRYAB;SYNPO2;FLNC;FHOD3;PDLIM7;ASB2;SYNPO;KCNN3;MYOT;SLC8A1;DMD;FBXL22;PGM5;DES;ATP2B4;PPP1R12B;PDLIM3;FERMT2;PALLD;ITGB1BP2;ANK2;MYOZ1;CSRP1;FLNA;S100A1;NEB;PDLIM4;CFL2;TCAP;MYL9;DNAJB4;MYL3;FHL5;RYR2;SLMAP;MYOZ3;ANKRD2;ACTN1;FHL3;CACNA1C;PPP1R12A;REM1","C5_GO"
"GOMF_GLYCOSAMINOGLYCAN_BINDING",1.39450510902101e-26,1.08713977705032e-23,1.33449749081658,0.53727441139848,3.39937956039684,157,"COMP;THBS2;CCDC80;PCOLCE2;RSPO3;ADAMTS8;FGF2;NRP2;LYVE1;COL5A1;PRELP;SLIT3;ADAMTS5;SLIT2;DPYSL3;FGFR1;FBN1;EGFLAM;POSTN;TNXB;FN1;SMOC1;TNFAIP6;SFRP1;BGN;SUSD5;VCAN;PCOLCE;RSPO1;COL5A3;ECM2;FGF7;THBS4;STAB1;NELL1;VIT;NDNF;SERPINE2;LTBP2;EFEMP2;SMOC2;CFH;BMP4;SOD3;HAPLN2;DCN;ADAMTS15;ENG;TGFBR3L;SPOCK3","C5_GO"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION",4.73810921858715e-26,3.48856452632975e-23,1.32671609800481,0.731413971269583,4.03875317326878,74,"GREM1;COMP;COL4A1;COL4A2;COL14A1;COL3A1;DPT;COL5A1;DDR2;COL1A1;SFRP2;COL5A2;ADAMTS2;COL12A1;COL1A2;TNXB;LOXL2;LOXL1;AEBP1;EMILIN1;COL4A3;COL6A1;COL5A3;MMP11;BMP1;FOXC1;SERPINH1;EFEMP2;CYP1B1;LOX;COLGALT2;COL4A4;FOXC2;LUM;TGFB2;P4HA3;ADAMTS12;PLOD2","C5_GO"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN",4.11759044031062e-25,2.87212768975982e-22,1.30309315086572,0.432234226821274,2.96179427368407,253,"COL4A1;CASQ2;CHRDL1;PTGIS;COL4A2;COL14A1;COL3A1;COL5A1;COL10A1;COL1A1;ADAMTS5;COL5A2;CDH2;COL8A1;COL12A1;COL6A3;FBN1;MFGE8;COL1A2;FN1;BCHE;MXRA8;RCN3;COL8A2;LTBP1;COL21A1;CERCAM;CLU;ADAMTSL4;VCAN;GAS6;COL4A3;COL6A1;SRL;COL5A3;FSTL3;CES1;COL16A1;SPARCL1;COL6A2;F10;GPX8;SERPINH1;COL15A1;C3;SPON1;SERPING1;IGFBP4;BMP4;LGALS1","C5_GO"
