"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"ESC_V6.5_UP_EARLY.V1_DN",4.1779197558063e-21,1.84566568412336e-18,1.18665095279281,0.535990989810865,3.31808207130103,130,"COL4A1;CCDC80;INHBA;COL4A2;FGF2;COL3A1;TGFB1I1;FAP;COL1A1;CAV1;ACTA1;PMP22;NID1;COL1A2;SERPINE1;C3orf70;SCARA3;TUBB6;LOXL1;CAVIN2;CAVIN1;AEBP1;BGN;PCOLCE;CAMK4;COL16A1;MRAS;CSRP1;HTRA1;SERPINF1;TIMP2;TAGLN;C16orf89;BMP4;LOX;GSN;CALD1;MGP;TSHZ2;AXL;SOCS3;IGFBP3;S100A4;KIT;EMP1;S100A6;IGFBP7;STARD8;FBLN2;CDC42EP1","C6_ONCO"
"LEF1_UP.V1_UP",1.47805767213953e-20,5.93596919056521e-18,1.16906996676109,0.481453536760682,3.07317063102998,159,"ADAMTS8;FHL1;MAP1B;FLNC;IGFBP6;CAVIN3;AKAP12;PCSK5;SERPINE1;FN1;L1CAM;MFAP2;NES;TMOD1;ZFPM2;LOXL1;TMEM47;DCLK1;COL6A1;FOXF2;RBP1;MAOB;LTBP2;PDLIM4;TMEM158;MYL9;PLTP;LGALS1;ANO1;EMP3;HBA2;AXL;GNAL;SLC2A3;S100A4;EMP1;S100A3;TGM2;IGFBP7;VIM;ADAM19;PLEKHO1;PHLDA3;MSN;IL11;FBXO17;PTGDS;FADS1;SLC43A3;HOXB2","C6_ONCO"
"CAHOY_ASTROGLIAL",6.44423293662946e-17,1.47250722601983e-14,1.05746357275086,0.585153696872684,3.28723825201277,80,"ITGBL1;CALHM5;COL5A1;FBLN5;OGN;CNN1;COL8A1;OMD;SERPINE1;MXRA8;LOXL2;NOX4;C1QTNF1;AEBP1;ACTA2;LTBP2;C3;SERPING1;DYSF;SLC24A3;TAGLN;LOX;EMP3;BST2;IGFBP3;SEMA3B;CP;TIMP1;PCDH17;TNFRSF12A;GNA14;MSN","C6_ONCO"
"AKT_UP.V1_DN",8.09882699101844e-13,9.84713340476765e-11,0.921426003494898,0.399876536499206,2.5835538427072,163,"ITGBL1;MYOC;FXYD1;NCAM1;CSDC2;PTGIS;DPT;OGN;SLIT3;FHOD3;ZEB1;SFRP2;ITIH5;PDGFRA;NID1;CAP2;SCARA3;ISLR;SH3BGR;CD248;PDLIM3;C1S;SYPL2;C1R;HIC1;TNNC2;S1PR3;ACKR3;HTRA1;EFEMP1;PPP1R3C;PDLIM4;EFEMP2;PLPP3;TIMP3;PLTP;CAV2;MATN2;TCF21;PROM1;GALNT16;TSPAN4;IFFO1;TNS2;GNA14;KLF2;CNN2;SMARCD3;GAS1;RECK","C6_ONCO"
"MTOR_UP.V1_DN",1.45431799433629e-12,1.66155830852921e-10,0.910119734774459,0.389595543353598,2.4868310031952,159,"WFDC1;MYOC;FXYD1;PPP1R14A;NCAM1;CSDC2;PTGIS;ADAMTS8;SLIT3;AOC3;ISL1;ITIH5;SLC2A4;MOXD1;SCARA3;MFAP2;SH3BGR;CHRD;LTBP1;PDLIM3;MYH11;C1R;OLFML3;TNNC2;RBP1;S1PR3;ACKR3;HTRA1;C1QTNF4;PPP1R3C;EFEMP2;PLTP;RFTN2;QPRT;SLC12A4;IGF1;TSPAN4;TNS2;KLF2;SMARCD3;MYZAP;OSMR;NR1D1;ARTN","C6_ONCO"
"BMI1_DN.V1_UP",1.11934251775834e-11,1.12383684756449e-09,0.875325132024659,0.422882138134401,2.60187449995735,125,"GREM1;INHBA;CSPG4;MFAP5;NRP2;PAPPA;FAP;FGFR1;ITGA5;MFGE8;NT5E;CHST3;SRPX2;TNFAIP6;ACTA2;GFPT2;BDKRB2;COL16A1;PTHLH;ACKR3;BST1;TIMP3;TAGLN;BMP4;LIF;TGFB2;LTBP4;LHFPL2;SEMA3G;P3H3;CSF1;GDF5;SLC29A1;TIE1;CRISPLD2;TEK;DKK1;COL13A1;ASPH;IGKC;PLXNA2","C6_ONCO"
"ATF2_S_UP.V1_DN",4.70599419837768e-11,4.07637523601957e-09,0.851339057116899,0.372589079172833,2.35014521688786,154,"ITGBL1;COMP;PLN;PTGIS;SORBS1;SLIT3;CRLF1;MN1;ADH1B;ITIH5;SFRP4;SVEP1;LAMA2;DES;TNFAIP6;PDLIM3;PID1;COL16A1;FGF7;EFEMP1;COL15A1;ABCA8;SERPING1;ROR1;ADAM22;CYP1B1;RGS5;PLSCR4;TCF21;NDUFA4L2;CCL11;SDC3;PTGER2;IL33;A2M;ENO2;ITPR1;FBLN2;SGCG;SNCAIP;PNMA2;VCAM1;FGF9;CELF2;GPRASP1;GAS1;ID3;TMEM176A;OSMR;LTBP3","C6_ONCO"
"ATF2_UP.V1_DN",5.93741864986926e-11,5.07668447527209e-09,0.839088935621274,0.368488509320011,2.32435541546353,155,"ITGBL1;COMP;PLN;PTGIS;SCRG1;SLIT3;CRLF1;MN1;ITIH5;SFRP4;FRY;SVEP1;EDNRA;MFAP4;PDLIM3;PID1;MYH3;FGF7;EDIL3;EFEMP1;ABCA8;ROR1;SLC24A3;CFH;CYP1B1;REV3L;PLSCR4;TCF21;NDUFA4L2;CCL11;SDC3;IL33;S100A3;FBLN2;CXCL12;PIM1;DEPP1;SGCG;SNCAIP;PNMA2;HOXB2;PTX3;VCAM1;FGF9;CELF2;CD200;GAS1;PDPN;KCTD12;CYBRD1","C6_ONCO"
"KRAS.KIDNEY_UP.V1_UP",7.93614321067927e-11,6.65681683361597e-09,0.839088935621274,0.436304081869267,2.6005366417912,104,"ITGBL1;PCP4;SORBS1;PLP1;CRYAB;RCAN2;ATP1A2;TRIM9;NRXN1;TMOD1;SFRP1;KCNJ8;VIPR2;PMP2;ALDH1A1;PCDH9;ANK2;LMO3;SPARCL1;GPM6A;MEF2C;PLSCR4;SCG5;NDN;DYNC1I1;PLCL1;CP;KIT;EMP1;A2M;ETV1;ASPA;ZNF536;TCEAL2;PEG3;PNMA2;FGF9;PECAM1;SCN1B;TMEM100","C6_ONCO"
"KRAS.600.LUNG.BREAST_UP.V1_UP",2.02824797233922e-10,1.56281223124487e-08,0.826657301178302,0.354050449728277,2.296309618346,165,"MYOC;NCAM1;LDB3;INHBA;PTGIS;SLIT2;AKAP12;ADGRA2;SOX10;PRRX1;TFPI;IL13RA2;RNASE1;KCNH2;HIC1;GYPC;SEMA3A;TMEM158;SAMD14;ANO1;LIF;PDE2A;SPHK1;SCG5;DYNC1I1;NAV3;IGFBP3;HSD11B1;IL1RL1;SEMA3B;CLDN5;A2M;MGLL;CCR10;ADAM19;KCNK15;LAMC3;IL1B;CMKLR1;CCDC181;PLVAP;TMEM176B;NTRK1;HDAC9;GNG11;STC1;KCNA5;NGF;COL9A3;SOX17","C6_ONCO"
"CORDENONSI_YAP_CONSERVED_SIGNATURE",6.73216737184896e-10,4.82277914481699e-08,0.801215574617779,0.567278616606158,2.87287651808511,51,"FGF2;SLIT2;PMP22;SERPINE1;TNS1;CAVIN2;ETV5;GAS6;COL4A3;LHFPL6;FLNA;AXL;DLC1;THBS1;TGFB2;AMOTL2;TGM2;BICC1;PDLIM2;GADD45B;ASAP1;CRIM1;DAB2;CDKN2C;FSCN1;FSTL1","C6_ONCO"
"CSR_LATE_UP.V1_DN",1.14292908688902e-09,7.5359398947961e-08,0.788186810800237,0.363981208831338,2.25521397313354,135,"MRGPRF;RCAN2;PDE5A;GFRA1;MAMDC2;SGIP1;SVEP1;TCEAL7;TNXB;L1CAM;CAVIN2;COL8A2;TMEM119;GAS6;DAAM2;GYPC;ANGPTL2;GLT8D2;CFH;GSN;PAMR1;VAMP5;OLFML2A;DENND2A;QPRT;CCL11;ABCA6;KIT;ACVRL1;STARD4;PRRT2;FADS1;IL1B;GAS1;FADS2;ANKRD29;CCL2;ME1;CDC42EP2;LPIN1;NBEA;TSKU;GLI3;ADGRB2;PGF;MAMLD1;SNTB1;NYNRIN;TOX;CLEC3B","C6_ONCO"
"MEL18_DN.V1_UP",1.15043785339246e-09,7.5478974608962e-08,0.788186810800237,0.386341502321671,2.36910939473086,124,"GREM1;INHBA;CSPG4;NRP2;PAPPA;FAP;KCNN3;ITGA5;NT5E;CHST3;SRPX2;TNFAIP6;GFPT2;BDKRB2;COL16A1;PTHLH;HS3ST3A1;LIF;ECM1;MEOX1;TGFBR3;TGFB2;LTBP4;LHFPL2;ADAM19;P3H3;CSF1;GDF5;SLC29A1;TIE1;CRISPLD2;TEK;STEAP3;TYRO3;COL13A1;ASPH;TMEM51;FOSL1;CHST2;SND1-IT1;SLCO4A1;PLAT;SLC6A9;CDH13;GNB3;ADGRE5;FJX1","C6_ONCO"
