"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",2.69392565672713e-17,6.49138122338267e-15,1.07686819261983,0.455876430729309,2.89182552680618,152,"CCDC80;ANGPTL7;FHL1;FBLN5;OGN;IGFBP6;PDE5A;ADAMTS5;ADGRL3;AKAP12;EGFLAM;JAM3;TNS1;TMEM119;GAS6;LRRC32;SPARC;ECM2;GGT5;TAGLN;LOX;HS3ST3A1;RND3;RASL11B;ECM1;F2R;MGP;ADAMTS9;CD93;ACTN1;THBS1;PAM;STARD8;B3GALT2;CAMK1D;CACNA2D1;PDE1A;SRPX;RCAN1;GAS1;HSPB1;ID3;ADAMTS1;GNG11;FKBP9;DUSP5;TEAD1;FMO2;VASN;LATS2","C7_IMMUNO"
"GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN",1.08222690962648e-14,1.92958217306077e-12,0.986546283587582,0.417626937531767,2.63425959409365,156,"ACTC1;GNAO1;NEXN;MYOC;SGCA;PRKG1;LDB3;CASQ2;HSPB6;HSPB8;HSPB2;PODN;RCAN2;SYNPO2;ATP1A2;ARHGEF25;ITIH5;CAV1;PYGM;CAP2;TNNT1;PDGFRL;LAMA2;PGM5;RRAD;ITGB1BP2;CES1;VSTM4;MAOB;SLC47A1;CFL2;SERPING1;RBM24;POPDC2;VAMP5;RYR2;FNDC5;ARMH4;DLC1;FRMD6;VSIG4;NKD1","C7_IMMUNO"
"GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN",1.86983314830628e-13,2.6935759472286e-11,0.943632225232838,0.419038513754057,2.62040902063238,143,"FXYD1;MYOCD;SORBS1;COL1A1;IGFBP6;COL5A2;MOXD1;LAMA2;COL4A3;SYNE1;AMPH;PLAC9;MYADM;HLF;C7;PDE7B;REEP2;DCN;CPA3;MT1A;FLRT2;IGFBP5;S100A6;ADAMTS12;NAV2;PLOD2;FBLN2;NR4A3;ADAM19;CALCRL;GADD45B;TIE1;GJA1;AFAP1L1;FOSL2;AREG;LMNA;KCTD12;CDKN1A;IGSF9B;GPC3;FHL2;PRNP;FGL2;JUNB;ZFP36L1;FSTL1;CRIP1;PLEC;SKAP1","C7_IMMUNO"
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN",3.0127193931441e-13,4.29328710939126e-11,0.932595211336209,0.380240594515656,2.48700795241408,171,"WFDC1;CHRDL1;ANGPTL7;PTGIS;MAP1B;EYA1;FLNC;LIMS2;SMTN;AKAP12;SCARA3;FREM2;DTNA;MYLK;CXCL14;MYH11;KCNH2;CES1;SPARCL1;CCDC136;DIXDC1;SEMA3A;KCNQ4;LEPR;WDR86;MYL9;POPDC2;GSN;PDE2A;MYL3;FXYD6;LDB2;MPZ;ZBTB20;ANGPT1;ANKRD2;NREP;ARMH4;CLDN5;MYOM2;KIT;CTF1;VSIG4;CDC42EP1;REM1;ARHGAP20;SNCAIP;PEG3;CD200;NPR2","C7_IMMUNO"
"GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",3.17069933205153e-13,4.47034874975307e-11,0.932595211336209,0.375444853428954,2.41436117958769,183,"TTN;COL4A1;DPT;COL6A3;PLS3;MMP23B;MFGE8;COL1A2;SERPINE1;BOC;AQP1;MMP2;ACTG2;BGN;IL13RA2;MYH11;OLFML1;VCL;SPARCL1;GPX8;RBP1;HTRA1;SERPINE2;S100A1;LTBP2;SERPING1;PLTP;FXYD6;RRAS;OLFML2A;ADAMTS9;RAB34;LPAR1;IGFBP3;CPT1C;TIMP1;TGM2;IGFBP7;LRRK2;IFITM2;RHOJ;PHLDA3;GNA14;ECSCR;GRK5;LARGE1;KIAA1614;TMEM176B;FGD5;PROS1","C7_IMMUNO"
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN",1.97256864744477e-11,1.8410177665201e-09,0.863415391606693,0.352103330617179,2.27905075920158,185,"FGF2;PAPPA;SLIT2;CDH2;NID1;ITGA5;BHMT2;MOXD1;BCHE;PDGFRL;DZIP1;TUBB6;EDNRA;SRPX2;SFRP1;LTBP1;EMILIN1;LRRC32;COPZ2;DOK5;COL6A2;RUNX1T1;FOXC1;SYNDIG1;GLT8D2;LEPR;TMEM158;RRAS;ZCCHC24;OLFML2A;EDNRB;PNMA1;THBS1;TGFBR3;ZNF516;IGFBP5;ILK;TSPAN4;VIM;ADAM19;PDLIM2;TNFRSF12A;PKD2;RGL1;VCAM1;LARGE1;TMEM100;FGD6;EOGT;NACC2","C7_IMMUNO"
"GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP",1.12507471388885e-10,9.09183852632252e-09,0.839088935621274,0.350557327652963,2.27135623162466,180,"COL4A1;COL4A2;NRP2;FHL1;THY1;FGFR1;AKAP12;ADGRA2;TFPI;TMEM119;BGN;CLU;PALLD;RAB3IL1;MYOM1;C1R;MEG3;GPX8;LHFPL6;SERPINH1;S100A1;C3;RND3;MRC1;LDB2;F2R;AXL;NREP;RAB34;USP2;DLC1;PROM1;SELENOM;PIANP;NHSL2;TSLP;RND2;LAMB2;P3H3;RHOJ;SH3D19;ECSCR;CD14;KDR;HOXB2;ESAM;TRIP6;TIE1;AK1;CDH5","C7_IMMUNO"
"GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_DN",1.2391225554484e-10,9.89282604057689e-09,0.826657301178302,0.387013218490873,2.38559833406325,128,"NTRK2;KCNMB1;SCRG1;CDH11;ESR1;SLIT2;CAV1;ITGA5;EHD2;JAM2;MMP2;CAVIN1;SFRP1;ALDH1A1;CLIC4;EFNA5;MAOB;STAB1;SYNDIG1;EFEMP1;ATRNL1;ALDH1B1;BST1;LEPR;DCN;TRPC1;SHC3;SPART;PAM;HOPX;GNA14;DPYD;IL1B;GJA1;ACACB;CRISPLD2;TEK;ZNF835;SELP;VWA5A;NBL1;NGFR;PPP2R3A;GUCY1B1;ELK3;CLEC11A;LRRN3;DCBLD2;DNM3","C7_IMMUNO"
"GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP",6.43303329416488e-10,4.63353207867213e-08,0.801215574617779,0.343166030331387,2.23316168673254,173,"NCAM1;INHBA;LMOD1;DNAJB5;PRELP;GLIS1;SLIT3;PCSK5;OMD;EHD2;SMOC1;TNS1;DTNA;MYLK;KIF26B;KCNJ8;DDIT4L;RUNX1T1;VSTM4;SGCD;TIMP3;PAMR1;NPR1;CADM2;FBLN1;SOCS3;ARHGAP23;NHSL2;RND2;MGLL;NKD1;RHOJ;ARHGEF17;ITPRIP;UCHL1;PALM;CYTL1;CCDC107;KLF7;IER3;CRTAP;SDC2;BACE1;SH3PXD2A;PBXIP1","C7_IMMUNO"
"GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP",1.03605322355841e-09,7.00551702643858e-08,0.788186810800237,0.402586269336003,2.42640480475257,112,"COL4A2;TGFB1I1;KCNE4;AKAP12;ITGA5;SERPINE1;FOXS1;TNFAIP6;FERMT2;COL6A2;RBM24;CDKL1;RND3;ADAMTS15;MT1A;ADAMTS9;CD93;ITPR1;NR4A3;RCAN1;FOSL2;FOSB;IER3;ID3;EGR2;ARL4D;ADAMTS1;KCND1;DUSP5;CCL2;APOLD1;EGR1;SYT12;DUSP8;GADD45A;FOS;CEBPB;JUNB;PELO;MACF1;UST;SMAD7;CEBPD;LMCD1;ZFP36;EGR3;SPRY1;SLC16A8;NR4A2;DUSP1","C7_IMMUNO"
