"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"CUSTOM_ASPC_SIGNATURE",1e-50,3.31325e-47,NA,0.827834435507227,5.09343174775635,125,"SSC5D;NTRK2;ITGBL1;FST;PRKG1;ABCC9;C1QTNF2;COL4A1;FXYD1;THBS2;MEDAG;BNC2;SULF1;GJC1;FGF2;PLCE1;COL3A1;ZFHX4;KCNE4;COL5A1;CTHRC1;TENM3;NFASC;FZD2;FAP;CRLF1;ISL1;ADAMTS5;NFATC4;NNMT;COL5A2;ARHGEF25;FEZ1;PIEZO2;DPYSL3;FGFR1;ADAMTS2;PDGFRA;PLS3;PCSK5;HEYL;POSTN;NR2F1;FOXS1;CYGB;MFAP2;PDGFRL;LAMA2;LOXL2;ZFPM2","CUSTOM"
"CUSTOM_NEPC_BELTRAN_UP",2.80793496407815e-09,1.6992494099967e-07,0.774939030136436,0.890094948386017,3.06686668846992,13,"SYT11;GNAO1;CAND2;ASXL3;TRIM9;ETV5;BRINP1;DNMT1;PROX1","CUSTOM"
"CUSTOM_NEPC_BELTRAN_DOWN",3.49827762852984e-06,9.80183370209428e-05,0.627256739718528,-0.593441613780393,-2.11256049131257,37,"RAB27B;EPN3;ARHGAP8;KLK4;TC2N;LMAN1L;SLC44A4;NUP93;HOXB13;SPDEF;SLC25A37;EVPL;GATA2;NKX3-1;EFNA4;RGS10;RIPK2;FHIT;OPHN1;MAPKAPK3","CUSTOM"
"CUSTOM_MDK_SIGNATURE",0.000413917759389601,0.0054088120355684,0.49849310876659,0.497059980673185,2.10065651520032,24,"NTRK2;FGFR1;GPC6;LRP1;SDC3;PTN;ITGB1;GPC3","CUSTOM"
"CUSTOM_SENESCENCE",0.000417991363427866,0.00543634891021542,0.49849310876659,0.449152548164056,1.99301520214387,30,"FGF2;SERPINE1;HGF;IGFBP3;IGFBP5;IGFBP7;GADD45B;IL1B;AREG;CDKN1A;CCL2;CDKN2B;GADD45A","CUSTOM"
"CUSTOM_LIPID_METABOLISM",0.000876062445261835,0.00970773878516313,0.477270815362862,-0.482746860528763,-1.76700170289382,43,"CPT1B;SQLE;FABP5;ACSL1;SCD;ACLY;CPT2;DGAT2;ACACA;FASN;ABCG1;HMGCR;HSD17B4;EHHADH;ELOVL5;ECHS1;HADHB;HMGCS1","CUSTOM"
"CUSTOM_HALLMARK_ANDROGEN_RESPONSE",0.00400590343664347,0.0326910334026084,0.235141995561108,-0.376139769102943,-1.56258255983966,98,"BMPR1B;CENPN;MAP7;TMPRSS2;TPD52;HOMER2;PGM3;SCD;SORD;SMS;ABCC4;SPDEF;HMGCR;CAMKK2;ELK4;DHCR24;PLPP1;STEAP4;NKX3-1;ELOVL5;DBI;GSR;RAB4A;NGLY1;HMGCS1;SRP19;IDI1;ANKH;UAP1;RRP12;STK39;LMAN1;UBE2J1;ABHD2;KRT8;GPD1L;ELL2;AZGP1;KLK2","CUSTOM"
"CUSTOM_MITO_BIOGENESIS",0.00550900952599564,0.0416694346666028,0.208826601974224,-0.467447409189515,-1.67182019990439,38,"COA6;MTERF4;TFB2M;TWNK;COA5;POLG2;NDUFAF1;COA3;MRPL15;SCO1;COX15;UQCC1;MTERF3;BCS1L;MRPL16;ACAD9;UQCC2;COA7;MRPS25;MTERF2;MTERF1;TFB1M;TFAM;POLG;MRPS15;MRPS22;SSBP1;MRPS12;MRPS27;NRF1;GABPA;SURF1;MRPL12","CUSTOM"
"CUSTOM_ESTROGEN_RESPONSE",0.0164285714285714,0.0931413143422725,0.303779434551183,0.349537211090539,1.59317103109172,33,"HSPB8;FGF2;ESR1;MMP2;PGR;FOXC1;IGFBP4;TIMP3","CUSTOM"
"CUSTOM_HALLMARK_ADIPOGENESIS",0.0599439121290021,0.230226700251889,0.0620731825163625,-0.419613916715292,-1.4287423483845,30,"ACSL1;SCD;ACLY;ADIPOR1;DGAT2;ACACA;FASN;CEBPA;PPARG","CUSTOM"
