"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,3.31325e-47,NA,0.745425607836675,4.82489840266676,185,"GREM1;COMP;COL4A1;THBS2;INHBA;PCOLCE2;MFAP5;COL4A2;FGF2;COL3A1;THY1;COL5A1;CTHRC1;FBLN5;SLIT3;FAP;CRLF1;COL1A1;CDH11;ELN;NNMT;COL5A2;SLIT2;CDH2;DPYSL3;PMP22;COL12A1;COL6A3;SFRP4;FBN1;ITGA5;POSTN;COL1A2;NT5E;SERPINE1;CAP2;FN1;LAMA2;LOXL2;MMP2;MYLK;LOXL1;COL8A2;PRRX1;SFRP1;BGN;ABI3BP;TPM2;FERMT2;ACTA2","HALLMARK"
"HALLMARK_MYOGENESIS",1.35343553225062e-47,2.98951351815292e-44,1.79734246412339,0.664899201601649,4.32336996498259,170,"ACTC1;FST;GNAO1;SGCA;FXYD1;NCAM1;LDB3;CASQ2;PTGIS;COL4A2;HSPB8;SORBS1;FGF2;ACTN2;FHL1;COL3A1;HSPB2;CRYAB;ITGA7;TNNC1;COL1A1;COX7A1;PDLIM7;CKM;SPEG;PYGM;ACTA1;SMTN;COL6A3;FABP3;DMD;TNNT1;LAMA2;SH3BGR;DTNA;MYLK;DES;AEBP1;CLU;TPM2;MYH11;SSPN;MYOM1;SPARC;BDKRB2;KCNH2;MYH3;COL6A2;MRAS;TNNC2","HALLMARK"
"HALLMARK_APICAL_JUNCTION",8.80130118420193e-14,1.40534511559311e-11,0.954541630725724,0.3890767960553,2.53483185205984,174,"ACTC1;NEXN;NEGR1;ACTN2;THY1;ITGA9;FLNC;NFASC;ADAMTS5;CDH11;SPEG;SLIT2;ACTA1;FBN1;JAM3;MMP2;ACTG2;CERCAM;VCL;VCAN;KCNH2;COL16A1;BMP1;CNTN1;NLGN3;MAP3K20;CLDN11;EPB41L2;MYL9;TGFBI;RRAS;CADM2;ACTN1;NRXN2;LAYN;CLDN5;SDC3;ZYX;TSPAN4;NRTN;VWF;CD34;MSN;SGCE;CNN2;VCAM1;PECAM1;PARVA;ITGB1;TRO","HALLMARK"
"HALLMARK_UV_RESPONSE_DN",7.30402038265464e-13,9.04674599358149e-11,0.921426003494898,0.41058683580008,2.54398069684443,135,"COL3A1;MAP1B;FBLN5;FZD2;COL1A1;COL5A2;CAV1;PMP22;COL1A2;SERPINE1;CAP2;RBPMS;KCNMA1;ATP2B4;LTBP1;TFPI;PDGFRB;SYNE1;AMPH;MMP16;EFEMP1;PLPP3;RND3;LPAR1;DLC1;TGFBR3;IGFBP5;KIT;MET;MGLL;TGFBR2;RGS4;PRKCA;GRK5;SNAI2;CELF2;GJA1","HALLMARK"
"HALLMARK_COAGULATION",2.24229485156055e-11,2.06368983803694e-09,0.863415391606693,0.447034438704227,2.64141938171966,100,"COMP;LEFTY2;FBN1;SERPINE1;FN1;MMP2;CLU;SPARC;C1S;C1R;F10;MMP11;CTSK;BMP1;CSRP1;HTRA1;S100A1;C3;SERPING1;TIMP3;CFH;GSN;LRP1;THBS1;MMP14;A2M;TIMP1;RGN;CFI;THBD;VWF;PECAM1;C1QA;S100A13;KLF7;PROS1","HALLMARK"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.53594587588068e-06,4.82367078034279e-05,0.643551836150722,0.283039524177136,1.83850668896892,186,"INHBA;SERPINE1;TNFAIP6;GFPT2;GEM;ACKR3;PLPP3;DNAJB4;LIF;SPHK1;SOCS3;SLC2A3;SPSB1;NR4A3;TNC;KLF2;PTX3;GADD45B;IL1B;CSF1;RCAN1;FOSL2;FOSB;AREG;IER3;EGR2;RHOB;CDKN1A;DUSP5;MAP3K8;CCL2;MSC;EGR1;KLF10;GADD45A;IL6ST;BCL6;STAT5A;FOS;TRIP10;FOSL1;G0S2;CEBPB;KLF9;JUNB;IFIT2;IER5;EHD1;PTPRE;FJX1","HALLMARK"
"HALLMARK_ANGIOGENESIS",5.44992466372595e-06,0.00014416736839992,0.610526878385931,0.554400183569035,2.48156766935188,31,"COL3A1;COL5A2;FGFR1;POSTN;KCNJ8;VCAN;LUM;S100A4;SERPINA5;TIMP1;THBD;STC1;CCND2;MSX1","HALLMARK"
"HALLMARK_HYPOXIA",6.31482601059499e-06,0.000164421196696297,0.610526878385931,0.270843417490697,1.7590368501136,181,"COL5A1;CAVIN3;CAV1;PYGM;AKAP12;SERPINE1;CHST3;DTNA;CAVIN1;BGN;ACKR3;PPP1R3C;LOX;TGFBI;DCN;PGAM2;SLC2A3;IGFBP3;PAM;SDC3;GCK;CP;S100A4;ENO2;TGM2;CDKN1C;PRKCA;TES;PIM1;SRPX;TMEM45A;LARGE1;TGFB3;KLF7;FOSL2;IER3;PFKP;STC1;CDKN1A;GPC3;SDC2;BCAN;PGF;RORA;FOS;PPFIA4;ENO3;CHST2","HALLMARK"
"HALLMARK_KRAS_SIGNALING_UP",2.11832466469174e-05,0.000467124072897831,0.575610261071129,0.267614368330748,1.7584601687047,175,"ITGBL1;INHBA;PCP4;AKAP12;ADGRA2;ETV5;PRRX1;TFPI;GFPT2;SPARCL1;GYPC;MMP11;SPON1;TMEM158;CFH;ANO1;LIF;F13A1;SCG5;ADGRL4;ENG;ALDH1A2;IGFBP3;HSD11B1;SEMA3B;IL33;EMP1;ETV1;PEG3;IL1B;CMKLR1;FGF9;PECAM1;SCN1B;TMEM100;PLVAP;TMEM176B;RGS16;TMEM176A;HDAC9;GNG11;ABCB1;CCND2;EPHB2;VWA5A;NGF;LY96;APOD;GPNMB;G0S2","HALLMARK"
"HALLMARK_APOPTOSIS",0.000134007840806639,0.0021953101535357,0.518848077743792,0.2646121622946,1.66969606632521,148,"IGFBP6;FEZ1;CAV1;MMP2;BGN;CLU;PDGFRB;HGF;TIMP2;TIMP3;GSN;GPX3;DCN;F2R;LUM;TGFBR3;AVPR1A;TGFB2;EMP1;ENO2;TIMP1;TNFRSF12A;IFITM3;CD14;DPYD;GADD45B;IL1B;RARA;HSPB1;IER3;LMNA;RHOB;CDKN1A;CCND2","HALLMARK"
"HALLMARK_MYC_TARGETS_V1",0.000811296878920468,0.0091562993973621,0.477270815362862,-0.345761694580915,-1.539828898558,194,"GNL3;CSTF2;VBP1;ACP1;NME1;C1QBP;MCM2;AIMP2;PRDX3;GLO1;ODC1;XPOT;HSPE1;CCT5;SNRPA1;TFDP1;SNRPD1;NCBP2;SNRPD3;CLNS1A;EXOSC7;PRPS2;MRPS18B;GOT2;NOLC1;VDAC1;PSMA2;BUB3;CCT3;NOP16;HPRT1;PCNA;SF3B3;SRSF1;APEX1;ORC2;RANBP1;ILF2;TXNL4A;RFC4;RNPS1;COX5A;TCP1;TARDBP;SNRPG;CCT2;EIF4E;GSPT1;SRSF7;MAD2L1","HALLMARK"
"HALLMARK_COMPLEMENT",0.000821086660473022,0.00924988960427697,0.477270815362862,0.235871701503888,1.54274637124642,171,"COL4A2;ACTN2;ZEB1;SERPINE1;FN1;ZFPM2;CLU;DGKG;C1S;C1R;F10;CSRP1;C3;SERPING1;TIMP2;CFH;LRP1;KCNIP3;MMP14;CP;TIMP1;GNG2;PIM1;C1QA;S100A13;DUSP5;ME1;DGKH;PLA2G4A;CPQ;CDA;GNAI2;GNB4;ADRA2B;CEBPB;PLAT;CDH13;CTSC;EHD1;FCN1","HALLMARK"
"HALLMARK_PEROXISOME",0.00191285866099894,0.0185026169513597,0.34452128726268,-0.398436379020272,-1.63472977901042,88,"SLC27A2;PEX11A;IDH1;CADM1;NUDT19;SLC25A17;ACSL1;SULT2B1;ABCC5;PEX13;EPHX2;HSD17B4;EHHADH;ALDH9A1;HMGCL;DHCR24;CDK7;ELOVL5;RETSAT;ECI2;ACAA1;SLC23A2;MSH2;HSD11B2;RDH11;IDI1;VPS4B;ACSL5;IDE;CLN8;LONP2;PEX2;ERCC3;ACOT8;PEX11B;SCP2;GNPAT;PEX5;HRAS;SLC35B2;ECH1;CAT;ACOX1;BCL10;ERCC1","HALLMARK"
"HALLMARK_FATTY_ACID_METABOLISM",0.00195212164800164,0.0187746503635456,0.335068558717014,-0.365714718301814,-1.58050712411737,140,"HMGCS2;ACSM3;BMPR1B;AADAT;ACAT2;AUH;IDH1;ACSS1;REEP6;ACSL1;BCKDHB;SLC22A5;CPT2;GPD2;SMS;UGDH;FASN;HSD17B7;PTS;HSD17B4;EHHADH;ALDH9A1;GSTZ1;RDH16;MCEE;BPHL;HMGCL;DHCR24;PCBD1;METAP1;ODC1;ELOVL5;RETSAT;MAOA;ECI2;DECR1;ACAA1;ECHS1;HADHB;D2HGDH;RDH11;HMGCS1;HIBCH;IDI1;GCDH;ADSL;ACSL5;HADH;HCCS;APEX1","HALLMARK"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00202634245187437,0.0193357238549916,0.326351610990907,-0.340668736721519,-1.51255778206391,187,"SLC27A2;ESRP2;ELOVL2;SLC37A1;TTC39A;ABAT;PEX11A;INHBB;WWC1;CLDN7;SLC7A2;MLPH;GREB1;MPPED2;RAB17;LAD1;SYBU;OVOL2;CELSR1;TFF3;ADCY1;TFAP2C;SULT2B1;SLC22A5;SLC39A6;RET;LRIG1;TJP3;SEC14L2;AQP3;TMEM164;FASN;CANT1;FLNB;TBC1D30;SLC16A1;FRK;RETREG1;SCARB1;TFF1;DHCR7;CBFA2T3;ELOVL5;IL17RB;MAPT;XBP1;KDM4B;MREG;CELSR2;FKBP4","HALLMARK"
"HALLMARK_KRAS_SIGNALING_DN",0.00237574555880275,0.0218803029123091,0.431707695803346,0.260917985101177,1.55516945395265,104,"ACTC1;KCNMB1;ITIH3;CKM;SYNPO;MYOT;SOX10;ITGB1BP2;COPZ2;ADRA2C;EFHD1;SLC16A7;CNTFR;TENM2;TCF7L1;RYR2;GDNF;TGFB2;NRIP2;CAMK1D","HALLMARK"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00255232261357836,0.0229884205217173,0.291090917251384,-0.351050786329913,-1.53427870406122,157,"ARG2;DDC;ACSM1;ENTPD5;CYP2J2;GNMT;GCNT2;MCCC2;IDH1;RAP1GAP;ACOX3;FBP1;XDH;TKFC;UGDH;SPINT2;PYCR1;PTGR1;PTS;ACP1;IL1R1;ALDH9A1;TMEM97;DHRS7;NQO1;BPHL;HES6;SLC35B1;CASP6;ALAS1;NFS1;ELOVL5;RETSAT;MAOA;CYB5A;GART;SAR1B;GCLC;CNDP2;DHRS1;GSR;IRF8;GSS;HACL1;DCXR;PC;GCH1;JUP;CYFIP2","HALLMARK"
"HALLMARK_MTORC1_SIGNALING",0.00273307014880049,0.024228346944517,0.279865652661932,-0.33303702383014,-1.48316034315186,194,"PSAT1;HK2;MTHFD2L;SQLE;IDH1;SLC7A11;SCD;ACLY;SORD;TM7SF2;PSPH;QDPR;ACACA;SRD5A1;EEF1E1;AK4;HMGCR;TMEM97;DHCR7;SLC37A4;MCM2;SC5D;DHCR24;CTH;UNG;HSPE1;GGA2;ELOVL5;TRIB3;GCLC;XBP1;GSR;HMBS;SERP1;RDH11;HMGCS1;GOT1;IDI1;SLC2A1;PHGDH;TUBG1;EDEM1;LGMN;PIK3R3;TFRC;UCHL5;HPRT1;LTA4H;PSMG1;GSK3B","HALLMARK"
"HALLMARK_ANDROGEN_RESPONSE",0.00400590343664347,0.0326910334026084,0.235141995561108,-0.376139769102943,-1.56258255983966,98,"BMPR1B;CENPN;MAP7;TMPRSS2;TPD52;HOMER2;PGM3;SCD;SORD;SMS;ABCC4;SPDEF;HMGCR;CAMKK2;ELK4;DHCR24;PLPP1;STEAP4;NKX3-1;ELOVL5;DBI;GSR;RAB4A;NGLY1;HMGCS1;SRP19;IDI1;ANKH;UAP1;RRP12;STK39;LMAN1;UBE2J1;ABHD2;KRT8;GPD1L;ELL2;AZGP1;KLK2","HALLMARK"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00416709015143815,0.0336746620591524,0.22623238004642,-0.333545751331213,-1.47246091225461,175,"SLC27A2;HMGCS2;UNC13B;FGFR3;TSPAN13;CDH1;KLK11;FABP5;HOMER2;MEST;OVOL2;TFF3;PKP3;TFAP2C;LLGL2;SULT2B1;SLC22A5;MAPK13;STIL;SORD;RET;DNAJC12;LSR;UGDH;TJP3;ST14;CACNA2D2;FLNB;SLC16A1;FRK;SCARB1;TFF1;DHCR7;CYP4F11;METTL3;TST;ELOVL5;TFPI2;DLG5;AGR2;IL17RB;MAPT;XBP1;CELSR2;GALE;FKBP4;PTPN6;DCXR;PPIF;SNX10","HALLMARK"
