"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"CUSTOM_ASPC_SIGNATURE",1e-50,3.31325e-47,NA,0.827834435507227,5.09343174775635,125,"SSC5D;NTRK2;ITGBL1;FST;PRKG1;ABCC9;C1QTNF2;COL4A1;FXYD1;THBS2;MEDAG;BNC2;SULF1;GJC1;FGF2;PLCE1;COL3A1;ZFHX4;KCNE4;COL5A1;CTHRC1;TENM3;NFASC;FZD2;FAP;CRLF1;ISL1;ADAMTS5;NFATC4;NNMT;COL5A2;ARHGEF25;FEZ1;PIEZO2;DPYSL3;FGFR1;ADAMTS2;PDGFRA;PLS3;PCSK5;HEYL;POSTN;NR2F1;FOXS1;CYGB;MFAP2;PDGFRL;LAMA2;LOXL2;ZFPM2","CUSTOM"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",1e-50,3.31325e-47,NA,0.752890102173202,4.68629126005473,132,"COMP;SBSPON;COL4A1;THBS2;MFAP5;COL4A2;HMCN2;COL14A1;COL3A1;DPT;COL5A1;CTHRC1;PRELP;COL10A1;PODN;LAMA4;FBLN5;OGN;COL1A1;ELN;COL5A2;COL8A1;COL12A1;COL6A3;FBN1;NID1;MFGE8;POSTN;COL1A2;TNXB;FN1;MFAP2;EMILIN3;LAMA2;HMCN1;SRPX2;COL8A2;MFAP4;LTBP1;COL21A1;AEBP1;BGN;TINAGL1;ABI3BP;EMILIN1;VCAN;PCOLCE;COL4A3;SPARC;COL6A1","C5_GO"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,3.31325e-47,NA,0.745425607836675,4.82489840266676,185,"GREM1;COMP;COL4A1;THBS2;INHBA;PCOLCE2;MFAP5;COL4A2;FGF2;COL3A1;THY1;COL5A1;CTHRC1;FBLN5;SLIT3;FAP;CRLF1;COL1A1;CDH11;ELN;NNMT;COL5A2;SLIT2;CDH2;DPYSL3;PMP22;COL12A1;COL6A3;SFRP4;FBN1;ITGA5;POSTN;COL1A2;NT5E;SERPINE1;CAP2;FN1;LAMA2;LOXL2;MMP2;MYLK;LOXL1;COL8A2;PRRX1;SFRP1;BGN;ABI3BP;TPM2;FERMT2;ACTA2","HALLMARK"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1e-50,3.31325e-47,NA,0.638151394718942,4.37217305295656,263,"ACTC1;COMP;SGCA;ITGA8;COL4A1;NCAM1;PCOLCE2;ITGA11;MFAP5;COL4A2;ADAMTS8;FGF2;COL14A1;COL3A1;COL5A1;COL10A1;ITGA7;LAMA4;FBLN5;ITGA9;DDR2;COL1A1;ADAMTS5;ELN;COL5A2;COL8A1;ADAMTS2;ACTA1;ITGA1;COL12A1;COL6A3;FBN1;NID1;ITGA5;JAM3;COL1A2;TNXB;SERPINE1;FN1;DMD;MFAP2;EMILIN3;LAMA2;LOXL2;JAM2;NRXN1;DTNA;MMP2;LOXL1;ACTG2","C2_CP"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",1.64279035830487e-49,4.3543801237229e-46,1.83722496482485,0.555181992036905,3.80427190340677,276,"GREM1;COMP;ITGA8;COL4A1;CCDC80;SULF1;ANGPTL7;COL4A2;ADAMTS8;COL14A1;COL3A1;DPT;COL5A1;COL10A1;FBLN5;DDR2;FAP;COL1A1;SFRP2;ADAMTS5;ELN;COL5A2;COL8A1;CAV1;ADAMTS2;PDGFRA;COL12A1;MMP23B;NID1;OLFML2B;EGFLAM;POSTN;COL1A2;TNXB;SMOC1;LAMA2;LOXL2;FOXF1;MMP2;HMCN1;LOXL1;COL8A2;MFAP4;AEBP1;PRICKLE1;ADAMTS4;ADAMTSL4;MYH11;EMILIN1;GAS6","C5_GO"
"HALLMARK_MYOGENESIS",1.35343553225062e-47,2.98951351815292e-44,1.79734246412339,0.664899201601649,4.32336996498259,170,"ACTC1;FST;GNAO1;SGCA;FXYD1;NCAM1;LDB3;CASQ2;PTGIS;COL4A2;HSPB8;SORBS1;FGF2;ACTN2;FHL1;COL3A1;HSPB2;CRYAB;ITGA7;TNNC1;COL1A1;COX7A1;PDLIM7;CKM;SPEG;PYGM;ACTA1;SMTN;COL6A3;FABP3;DMD;TNNT1;LAMA2;SH3BGR;DTNA;MYLK;DES;AEBP1;CLU;TPM2;MYH11;SSPN;MYOM1;SPARC;BDKRB2;KCNH2;MYH3;COL6A2;MRAS;TNNC2","HALLMARK"
"GOCC_CONTRACTILE_MUSCLE_FIBER",4.52869646272627e-42,8.5741163172159e-39,1.69047237898449,0.609931786986833,3.97106316196897,190,"ACTC1;NEXN;TTN;IGFN1;ABCC9;JPH2;LDB3;CASQ2;LMOD1;ACTN2;SYNM;CRYAB;SYNPO2;FLNC;TNNC1;FHOD3;PDLIM7;ARHGEF25;ASB2;ACTA1;SYNPO;KCNN3;MYOT;SLC8A1;DMD;TNNT1;FBXL22;TMOD1;CA3;MMP2;PGM5;DES;ATP2B4;PPP1R12B;KCNJ8;PDLIM3;TPM2;FERMT2;ACTA2;MYH11;VCL;PALLD;KLHL41;MYOM1;ITGB1BP2;COL6A1;SYNE1;MYH3;ANK2;TNNC2","C5_GO"
"GOBP_MUSCLE_CONTRACTION",2.55873507966373e-40,4.23886450134792e-37,1.6533146023566,0.487075961873911,3.40503626341319,304,"ACTC1;GNAO1;COMP;TTN;SGCA;PRKG1;ABCC9;JPH2;FXYD1;PLN;SULF1;GJC1;CASQ2;MYOCD;LMOD1;P2RX1;SYNM;KCNE4;CRYAB;ATP1A2;TNNC1;CNN1;CAV1;ACTA1;SMTN;MYOT;SLC8A1;DMD;KCNMA1;TNNT1;TMOD1;EDNRA;DTNA;CA3;MYLK;DES;ATP2B4;PPP1R12B;KCNJ8;TPM2;ACTA2;MYH11;SSPN;KLHL41;ADGRD1;TBXA2R;BDKRB2;KCNH2;ADRA2C;MYH3","C5_GO"
"GOBP_MUSCLE_CELL_DIFFERENTIATION",2.03794604132758e-35,3.00098876507938e-32,1.54987806027287,0.430995706448804,2.89622610161065,370,"GREM1;ACTC1;COMP;TTN;ITGA8;LDB3;MYOCD;LMOD1;ACTN2;COL14A1;FLNC;FHOD3;ZEB1;ISL1;ADAMTS5;NFATC4;RBPMS2;SPEG;CDH2;ASB2;ACTA1;PDGFRA;CARMN;NID1;EHD2;SLC8A1;DMD;TNNT1;LAMA2;FOXF1;NOX4;TMOD1;EDNRA;PGM5;KCNJ8;PRICKLE1;TMEM119;PRDM6;MYH11;PDGFRB;KLHL41;MYOM1;TBX2;COL6A1;SYPL2;SYNE1;MYH3;ANK2;MYOZ1;CSRP1","C5_GO"
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",4.09601941441129e-35,5.42845452991929e-32,1.54318309134871,0.443883983124042,2.9454354373748,327,"GREM1;ACTC1;TTN;ITGA8;ABCC9;JPH2;PLN;GJC1;MYOCD;S100B;GATA5;FGF2;ACTN2;COL14A1;COL3A1;EYA1;TNNC1;FHOD3;ISL1;ELN;CAV1;FGFR1;ASB2;ACTA1;PDGFRA;CARMN;HEYL;SLC8A1;DMD;FOXP2;NOX4;EDNRA;ZFPM2;PGM5;MYLK;KCNJ8;PRICKLE1;MYH11;PDGFRB;KLHL41;MYOM1;TBX2;COL6A1;MYOZ1;FOXC1;CSRP1;NEB;EFEMP2;SGCD;CFL2","C5_GO"
