"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"CUSTOM_ASPC_SIGNATURE",1e-50,3.31325e-47,NA,0.81619790216702,4.93906659270868,125,"FST;SSC5D;NTRK2;ITGBL1;PRKG1;FXYD1;COL4A1;SULF1;C1QTNF2;THBS2;MEDAG;ABCC9;BNC2;GJC1;COL3A1;KCNE4;TENM3;PLCE1;COL5A1;CTHRC1;FGF2;ZFHX4;NNMT;ADAMTS5;NFASC;ISL1;ARHGEF25;NFATC4;FGFR1;PLS3;FAP;POSTN;PDGFRA;NR2F1;DPYSL3;CRLF1;COL5A2;ADAMTS2;CYGB;FEZ1;TNFAIP6;FOXS1;PCSK5;LOXL2;COL5A3;CHRD;HEYL;MEG3;CLU;FZD2","CUSTOM"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",1e-50,3.31325e-47,NA,0.755699508126863,4.62719328196165,132,"COMP;SBSPON;DPT;COL4A1;THBS2;MFAP5;COL14A1;COL4A2;HMCN2;PRELP;COL3A1;FBLN5;OGN;COL1A1;COL5A1;PODN;CTHRC1;LAMA4;HMCN1;ELN;COL12A1;COL8A1;FBN1;MFGE8;EMILIN3;NID1;TNXB;POSTN;COL6A3;COL1A2;TINAGL1;MFAP4;FN1;COL5A2;COL21A1;AEBP1;EMILIN1;COL8A2;COL10A1;PCOLCE;COL6A1;COL5A3;BGN;LTBP1;MFAP2;COL16A1;ABI3BP;SPARC;COL4A3;NID2","C5_GO"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,3.31325e-47,NA,0.746742503176406,4.84359471920241,185,"COMP;GREM1;PCOLCE2;COL4A1;THBS2;MFAP5;INHBA;COL4A2;COL3A1;FBLN5;THY1;COL1A1;COL5A1;CTHRC1;FGF2;CDH2;ELN;COL12A1;NNMT;FBN1;ITGA5;SLIT2;SFRP4;NT5E;CAP2;SERPINE1;CDH11;PMP22;SLIT3;FAP;POSTN;COL6A3;COL1A2;DPYSL3;FN1;CRLF1;MMP2;COL5A2;MYLK;PRRX1;FERMT2;SFRP1;PDGFRB;ACTA2;TPM2;COL8A2;ECM2;PCOLCE;LOXL1;LOXL2","HALLMARK"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1e-50,3.31325e-47,NA,0.642489657017874,4.34659469690111,263,"ACTC1;SGCA;NCAM1;ACTA1;COMP;ITGA8;PCOLCE2;COL4A1;ITGA11;MFAP5;COL14A1;COL4A2;ITGA7;ITGA9;COL3A1;FBLN5;DDR2;COL1A1;COL5A1;ADAMTS8;LAMA4;FGF2;ELN;COL12A1;COL8A1;ADAMTS5;FBN1;ITGA5;ITGA1;EMILIN3;NID1;DMD;SERPINE1;TNXB;COL6A3;COL1A2;ACTG2;NRXN1;MFAP4;FN1;MMP2;COL5A2;JAM3;ADAMTS2;COL21A1;ADAMTS4;JAM2;EMILIN1;ACTA2;COL8A2","C2_CP"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",1.17012271478087e-49,3.10152726779818e-46,1.83722496482485,0.560721454443115,3.80072227917786,276,"COMP;GREM1;ITGA8;CCDC80;DPT;COL4A1;SULF1;COL14A1;COL4A2;ANGPTL7;COL3A1;FBLN5;DDR2;COL1A1;SFRP2;COL5A1;ADAMTS8;HMCN1;ELN;COL12A1;CAV1;COL8A1;ADAMTS5;MMP23B;NID1;TNXB;FAP;POSTN;PDGFRA;COL1A2;SMOC1;MFAP4;MMP2;COL5A2;ADAMTS2;ADAMTS4;EGFLAM;AEBP1;EMILIN1;MYH11;HPSE2;FOXF1;COL8A2;COL10A1;ECM2;COL6A1;LOXL1;LOXL2;COL5A3;NDNF","C5_GO"
"HALLMARK_MYOGENESIS",8.71808503987315e-49,1.92567968389065e-45,1.82023946954892,0.682215226565842,4.37590608262423,170,"ACTC1;SGCA;NCAM1;CKM;FST;ACTA1;ACTN2;LDB3;CASQ2;TNNC1;FXYD1;PTGIS;TNNT1;SORBS1;HSPB8;FHL1;COL4A2;GNAO1;ITGA7;HSPB2;COL3A1;COL1A1;PYGM;CRYAB;MYH3;TCAP;PDLIM7;COX7A1;FGF2;TNNC2;FABP3;SMTN;SPEG;DMD;DES;COL6A3;MYOM1;SH3BGR;MYLK;MYL3;TNNT3;AEBP1;MYH11;TPM2;DTNA;KCNH2;PPP1R3C;MYOZ1;CLU;SSPN","HALLMARK"
"GOCC_CONTRACTILE_MUSCLE_FIBER",2.50240987066174e-46,4.73777685941143e-43,1.77414997679975,0.634170642715721,4.13202483006177,190,"TTN;ACTC1;NEXN;ACTA1;ACTN2;LDB3;CASQ2;TNNC1;LMOD1;JPH2;TNNT1;ABCC9;IGFN1;MYOT;SYNM;FLNC;SYNPO2;CA3;CRYAB;MYH3;TCAP;PDLIM7;FHOD3;TNNC2;SYNPO;NEB;KCNN3;KLHL41;ARHGEF25;DMD;PGM5;ASB2;S100A1;KCNJ8;DES;MYOM1;SLC8A1;MMP2;MYOZ3;MYL3;FBXL22;TMOD1;TNNT3;FERMT2;PDLIM3;MYH11;ACTA2;PPP1R12B;TPM2;VCL","C5_GO"
"GOBP_MUSCLE_CONTRACTION",4.40096187076214e-42,7.29074345915133e-39,1.69047237898449,0.502435094642288,3.44852640005819,304,"TTN;ACTC1;SGCA;ACTA1;COMP;CASQ2;PRKG1;MYOCD;PLN;TNNC1;FXYD1;LMOD1;P2RX1;SULF1;JPH2;TNNT1;ABCC9;MYOT;SYNM;GNAO1;GJC1;ATP1A2;CA3;KCNE4;CRYAB;MYH3;TCAP;CNN1;TNNC2;SMTN;CAV1;KCNMA1;KLHL41;DMD;KCNJ8;DES;EDNRA;SLC8A1;MYLK;MYL3;TMOD1;TNNT3;MYH11;ACTA2;PPP1R12B;TPM2;DTNA;ATP2B4;KCNH2;SSPN","C5_GO"
"GOBP_MUSCLE_CELL_DIFFERENTIATION",3.91119779792365e-37,5.75945604620913e-34,1.5829282179456,0.437861982828805,3.01291713188019,370,"TTN;ACTC1;ACTA1;ACTN2;COMP;GREM1;ITGA8;LDB3;MYOCD;LMOD1;TNNT1;COL14A1;FLNC;MYH3;TCAP;CARMN;RBPMS2;ZEB1;CDH2;FHOD3;SPEG;ADAMTS5;NEB;ISL1;PLPP7;KLHL41;EHD2;NID1;DMD;NFATC4;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;EDNRA;SLC8A1;PRDM6;TMOD1;TNNT3;PDGFRB;MYH11;FOXF1;TMEM119;COL6A1;MYOZ1;SYNE1;LAMA2;ANK2;TBX2","C5_GO"
"REACTOME_MUSCLE_CONTRACTION",5.53961269824731e-35,7.34164870898716e-32,1.53645895003215,0.636840281969847,3.91661802700607,139,"TTN;ACTC1;ACTA1;ACTN2;CASQ2;PLN;TNNC1;FXYD1;LMOD1;TNNT1;SORBS1;ABCC9;ATP1A2;KCNE4;PDE5A;MYH3;TCAP;TNNC2;NEB;ITGA1;DMD;DES;SLC8A1;ACTG2;MYLK;MYL3;TMOD1;TNNT3;MYH11;ACTA2;TPM2;VCL;ATP2B4;KCNH2;CES1;ATP1B2;TNNI2;ANXA6;TPM1;DYSF;SCN7A;MYL9;FXYD6;DMPK;TRPC1;ATP2A1;CALD1;KCNIP3;NPR1;RYR2","C2_CP"
