"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"BOQUEST_STEM_CELL_UP",1e-50,7.233e-48,NA,0.710554414009358,4.73666717044207,240,"MYOC;FST;NTRK2;ITGBL1;ITGA8;PCOLCE2;PLN;FXYD1;DPT;CHRDL1;PTGIS;HSPB8;THBS2;MFAP5;INHBA;COL14A1;ATP1A2;PRELP;IGFBP6;COL3A1;FBLN5;DDR2;OGN;COL1A1;CRYAB;COL5A1;FBN1;SLIT2;SFRP4;PLP1;NT5E;MEIS1;BHMT2;SVEP1;CDH11;SLIT3;ADH1B;FAP;ISLR;PDGFRA;DZIP1;COL6A3;COL1A2;OMD;GSTM5;MFAP4;SCARA3;MXRA8;MMP2;RERGL"
"CUSTOM_ASPC",1e-50,7.233e-48,NA,0.81619790216702,5.00009809549697,125,"FST;SSC5D;NTRK2;ITGBL1;PRKG1;FXYD1;COL4A1;SULF1;C1QTNF2;THBS2;MEDAG;ABCC9;BNC2;GJC1;COL3A1;KCNE4;TENM3;PLCE1;COL5A1;CTHRC1;FGF2;ZFHX4;NNMT;ADAMTS5;NFASC;ISL1;ARHGEF25;NFATC4;FGFR1;PLS3;FAP;POSTN;PDGFRA;NR2F1;DPYSL3;CRLF1;COL5A2;ADAMTS2;CYGB;FEZ1;TNFAIP6;FOXS1;PCSK5;LOXL2;COL5A3;CHRD;HEYL;MEG3;CLU;FZD2"
"GENGQIU_LUAD_CAF_MARKER_GENES",1e-50,7.233e-48,NA,0.81592640221262,5.35143387589584,217,"NEXN;CCDC80;DPT;COL4A1;SULF1;THBS2;FILIP1L;MFAP5;INHBA;COL4A2;MAP1B;MSRB3;TGFB1I1;PRELP;IGFBP6;COL3A1;THY1;COL1A1;SFRP2;CRYAB;COL5A1;CTHRC1;PDLIM7;COX7A1;CAVIN3;LAMA4;COL12A1;CAV1;COL8A1;NNMT;FBN1;MFGE8;MMP23B;CDH11;PMP22;PLS3;FAP;ISLR;POSTN;COL6A3;COL1A2;MFAP4;FN1;MXRA8;MMP2;COL5A2;MYLK;PRRX1;CAVIN1;AEBP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,7.233e-48,NA,0.746742503176406,4.82430823823881,185,"COMP;GREM1;PCOLCE2;COL4A1;THBS2;MFAP5;INHBA;COL4A2;COL3A1;FBLN5;THY1;COL1A1;COL5A1;CTHRC1;FGF2;CDH2;ELN;COL12A1;NNMT;FBN1;ITGA5;SLIT2;SFRP4;NT5E;CAP2;SERPINE1;CDH11;PMP22;SLIT3;FAP;POSTN;COL6A3;COL1A2;DPYSL3;FN1;CRLF1;MMP2;COL5A2;MYLK;PRRX1;FERMT2;SFRP1;PDGFRB;ACTA2;TPM2;COL8A2;ECM2;PCOLCE;LOXL1;LOXL2"
"LIM_MAMMARY_STEM_CELL_UP",1e-50,7.233e-48,NA,0.664150811292023,4.62662815081513,428,"FST;NTRK2;SBSPON;MYOCD;PPP1R14A;KCNMB1;FXYD1;CSDC2;CSPG4;NRP2;COL4A1;LMOD1;CCDC3;SULF1;MCAM;SORBS1;RASL12;FHL1;MEDAG;SYNM;COL14A1;COL4A2;MRGPRF;GJC1;MSRB3;FLNC;TGFB1I1;ITGA9;HSPB2;IGFBP6;THY1;TENM3;CRYAB;COL5A1;PODN;PDLIM7;CNN1;LIMS2;FHOD3;SMTN;COL12A1;CAV1;NNMT;ITGA1;SCARF2;SLIT2;KCNMA1;CHST3;ARHGEF25;NT5E"
"LINDGREN_BLADDER_CANCER_CLUSTER_2B",1e-50,7.233e-48,NA,0.599492444659735,4.15689377282813,361,"TTN;CCDC80;NRP2;MCAM;DNAJB5;THBS2;FHL1;FILIP1L;PCP4;MAP1A;ATP1A2;DDR2;LAMA4;RBPMS2;AOC3;ELN;CAV1;SYNPO;NNMT;RCAN2;EBF1;AKAP12;SVEP1;PMP22;MOXD1;NES;POSTN;PDGFRA;TNS1;NR2F1;COL6A3;COL1A2;AQP1;EDNRA;ACTG2;MMP2;COL5A2;JAM3;MYLK;PRRX1;CAVIN1;PAPPA;AEBP1;PDGFRB;ACTA2;PPP1R12B;TPM2;FOXF1;ECM2;PCOLCE"
"NABA_CORE_MATRISOME",1e-50,7.233e-48,NA,0.732141310765949,4.73409940983498,193,"COMP;SBSPON;PCOLCE2;DPT;COL4A1;THBS2;MFAP5;RSPO3;COL14A1;COL4A2;HMCN2;PRELP;IGFBP6;COL3A1;FBLN5;OGN;COL1A1;COL5A1;PODN;CTHRC1;LAMA4;FNDC1;HMCN1;ELN;COL12A1;LGI4;COL8A1;FBN1;MFGE8;SLIT2;EMILIN3;NID1;SVEP1;TNXB;SLIT3;POSTN;COL6A3;COL1A2;SMOC1;TINAGL1;OMD;MFAP4;FN1;COL5A2;COL21A1;EGFLAM;AEBP1;TNFAIP6;EMILIN1;COL8A2"
"PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP",1e-50,7.233e-48,NA,0.711068769019304,4.63496822933358,202,"NEXN;CCDC80;COL4A1;SULF1;HSPB8;RSPO3;COL4A2;GJC1;ITGA9;COL3A1;DDR2;THY1;COL1A1;CTHRC1;COX7A1;CARMN;LAMA4;COL12A1;NNMT;FBN1;KCNMA1;CDH11;PMP22;RBPMS;PDGFRA;TNS1;COL1A2;DPYSL3;MFAP4;FN1;CCL21;ACKR1;MYLK;PRRX1;CAVIN1;FERMT2;EMILIN1;CLMP;ACTA2;COL8A2;PCOLCE;COL6A1;LOXL1;CLU;C1R;ABI3BP;SPARC;RARRES2;SPARCL1;C1S"
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",1e-50,7.233e-48,NA,0.73129363791752,4.93505321235312,331,"COMP;GREM1;ITGBL1;PLN;COL4A1;SULF1;THBS2;MFAP5;INHBA;COL14A1;COL4A2;MAP1B;TGFB1I1;AHNAK2;COL3A1;THY1;COL1A1;COL5A1;CAVIN3;LAMA4;ZEB1;NNMT;RCAN2;FBN1;NID1;CDH11;PLS3;FAP;ISLR;POSTN;PDGFRA;COL6A3;TUBB6;COL1A2;DPYSL3;EDNRA;FN1;MXRA8;MMP2;COL5A2;JAM3;PRRX1;CAVIN1;FERMT2;DACT1;AEBP1;TNFAIP6;GFPT2;PDGFRB;OLFML1"
"SWEET_LUNG_CANCER_KRAS_DN",1e-50,7.233e-48,NA,0.581625847622298,3.97185550491239,350,"ACTC1;ACTA1;INMT;TNNC1;FXYD1;DPT;PTGIS;SORBS1;FHL1;MFAP5;ATP1A2;IGFBP6;COL3A1;CA3;OGN;COL1A1;COX7A1;CAVIN3;ZEB1;CAV1;AKAP12;TFPI;MEIS1;NID1;TNXB;CDH11;PMP22;LYVE1;POSTN;PDGFRA;COL1A2;AQP1;OMD;CCL21;CAVIN1;MYL3;TNNT3;FERMT2;PDGFRB;MYH11;ACTA2;FOXF1;CAVIN2;VCL;LOXL1;HEPH;CES1;SSPN;MFAP2;SPARC"
