"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"CUSTOM_ASPC",1e-50,2.221e-47,NA,0.81619790216702,4.96254007510637,125,"FST;SSC5D;NTRK2;ITGBL1;PRKG1;FXYD1;COL4A1;SULF1;C1QTNF2;THBS2;MEDAG;ABCC9;BNC2;GJC1;COL3A1;KCNE4;TENM3;PLCE1;COL5A1;CTHRC1;FGF2;ZFHX4;NNMT;ADAMTS5;NFASC;ISL1;ARHGEF25;NFATC4;FGFR1;PLS3;FAP;POSTN;PDGFRA;NR2F1;DPYSL3;CRLF1;COL5A2;ADAMTS2;CYGB;FEZ1;TNFAIP6;FOXS1;PCSK5;LOXL2;COL5A3;CHRD;HEYL;MEG3;CLU;FZD2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,2.221e-47,NA,0.746742503176406,4.80074647621795,185,"COMP;GREM1;PCOLCE2;COL4A1;THBS2;MFAP5;INHBA;COL4A2;COL3A1;FBLN5;THY1;COL1A1;COL5A1;CTHRC1;FGF2;CDH2;ELN;COL12A1;NNMT;FBN1;ITGA5;SLIT2;SFRP4;NT5E;CAP2;SERPINE1;CDH11;PMP22;SLIT3;FAP;POSTN;COL6A3;COL1A2;DPYSL3;FN1;CRLF1;MMP2;COL5A2;MYLK;PRRX1;FERMT2;SFRP1;PDGFRB;ACTA2;TPM2;COL8A2;ECM2;PCOLCE;LOXL1;LOXL2"
"HALLMARK_MYOGENESIS",8.4349334613496e-50,1.11399046612463e-46,1.8428520069898,0.682215226565842,4.36363741331509,170,"ACTC1;SGCA;NCAM1;CKM;FST;ACTA1;ACTN2;LDB3;CASQ2;TNNC1;FXYD1;PTGIS;TNNT1;SORBS1;HSPB8;FHL1;COL4A2;GNAO1;ITGA7;HSPB2;COL3A1;COL1A1;PYGM;CRYAB;MYH3;TCAP;PDLIM7;COX7A1;FGF2;TNNC2;FABP3;SMTN;SPEG;DMD;DES;COL6A3;MYOM1;SH3BGR;MYLK;MYL3;TNNT3;AEBP1;MYH11;TPM2;DTNA;KCNH2;PPP1R3C;MYOZ1;CLU;SSPN"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",1.0031431482437e-49,1.11399046612463e-46,1.83722496482485,0.560721454443115,3.784625202042,276,"COMP;GREM1;ITGA8;CCDC80;DPT;COL4A1;SULF1;COL14A1;COL4A2;ANGPTL7;COL3A1;FBLN5;DDR2;COL1A1;SFRP2;COL5A1;ADAMTS8;HMCN1;ELN;COL12A1;CAV1;COL8A1;ADAMTS5;MMP23B;NID1;TNXB;FAP;POSTN;PDGFRA;COL1A2;SMOC1;MFAP4;MMP2;COL5A2;ADAMTS2;ADAMTS4;EGFLAM;AEBP1;EMILIN1;MYH11;HPSE2;FOXF1;COL8A2;COL10A1;ECM2;COL6A1;LOXL1;LOXL2;COL5A3;NDNF"
"GOBP_MUSCLE_CONTRACTION",2.683674208321e-41,2.38417616667238e-38,1.67199671627594,0.502435094642288,3.44017137454896,304,"TTN;ACTC1;SGCA;ACTA1;COMP;CASQ2;PRKG1;MYOCD;PLN;TNNC1;FXYD1;LMOD1;P2RX1;SULF1;JPH2;TNNT1;ABCC9;MYOT;SYNM;GNAO1;GJC1;ATP1A2;CA3;KCNE4;CRYAB;MYH3;TCAP;CNN1;TNNC2;SMTN;CAV1;KCNMA1;KLHL41;DMD;KCNJ8;DES;EDNRA;SLC8A1;MYLK;MYL3;TMOD1;TNNT3;MYH11;ACTA2;PPP1R12B;TPM2;DTNA;ATP2B4;KCNH2;SSPN"
"GOBP_MUSCLE_CELL_DIFFERENTIATION",9.10629647045198e-37,6.74169482029129e-34,1.57637362160047,0.437861982828805,3.10672095252817,370,"TTN;ACTC1;ACTA1;ACTN2;COMP;GREM1;ITGA8;LDB3;MYOCD;LMOD1;TNNT1;COL14A1;FLNC;MYH3;TCAP;CARMN;RBPMS2;ZEB1;CDH2;FHOD3;SPEG;ADAMTS5;NEB;ISL1;PLPP7;KLHL41;EHD2;NID1;DMD;NFATC4;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;EDNRA;SLC8A1;PRDM6;TMOD1;TNNT3;PDGFRB;MYH11;FOXF1;TMEM119;COL6A1;MYOZ1;SYNE1;LAMA2;ANK2;TBX2"
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",1.88255868534596e-33,1.19461795432954e-30,1.50238688881415,0.445167207846083,3.12649555307022,327,"TTN;ACTC1;ACTA1;ACTN2;GREM1;ITGA8;GATA5;MYOCD;PLN;TNNC1;JPH2;S100B;ABCC9;COL14A1;GJC1;COL3A1;TCAP;EYA1;CARMN;FOXP2;FGF2;ELN;FHOD3;CAV1;NEB;ISL1;KLHL41;DMD;FGFR1;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;EDNRA;SLC8A1;MYLK;MYL3;PDGFRB;MYH11;COL6A1;HEYL;MYOZ1;FOXC1;TBX2;LOX;ZFPM2;PRICKLE1;CFL2;HLF"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT",2.20207735875537e-31,1.22270345344892e-28,1.45334466856494,0.46768901811751,3.14450153756618,273,"TTN;ACTC1;SGCA;ACTA1;MYOCD;TNNC1;JPH2;FHL1;ITGA11;S100B;ABCC9;NEGR1;ITGA7;COL3A1;CRYAB;MYH3;TCAP;FOXP2;ELN;SMTN;CAV1;SPEG;NEB;ISL1;KLHL41;DMD;ASB2;DES;COL6A3;MYOM1;EDNRA;CNTFR;MYLK;MYL3;COL6A1;HEYL;MYOZ1;FZD2;LAMA2;FOXC1;LOX;ZFPM2;ITGB1BP2;CFL2;HLF;MKX;MEF2C;RBM24;LIF;EFEMP2"
"GOBP_CELL_SUBSTRATE_ADHESION",6.18129901911997e-29,3.05081447143677e-26,1.39518713415833,0.416480443330416,2.921193827981,326,"MYOC;ACTN2;GREM1;ITGBL1;ITGA8;CCDC80;SORBS1;ITGA11;ITGA7;TGFB1I1;ITGA9;COL3A1;FBLN5;THY1;COL1A1;COL8A1;ITGA5;ITGA1;NID1;SVEP1;SERPINE1;TNXB;CDH11;LYVE1;FN1;CCL21;JAM3;EGFLAM;FERMT2;EMILIN1;SFRP1;FOXF1;VCL;ECM2;COL5A3;NDNF;FREM2;VIT;L1CAM;COL16A1;GAS6;ATP1B2;NID2;GPM6B;TSPAN11;BST1;PEAK1;FLNA;EFNA5;EFEMP2"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION",3.55485126777834e-26,1.57906493314714e-23,1.32671609800481,0.72130823076717,3.98318592300406,74,"COMP;GREM1;DPT;COL4A1;COL14A1;COL4A2;COL3A1;DDR2;COL1A1;SFRP2;COL5A1;COL12A1;TNXB;COL1A2;COL5A2;ADAMTS2;AEBP1;EMILIN1;COL6A1;LOXL1;LOXL2;COL5A3;COL4A3;FOXC1;LOX;BMP1;EFEMP2;SERPINH1;CYP1B1;COL4A4;COLGALT2;LUM;FOXC2;TGFB2;MMP11;PLOD2;FKBP10;ADAMTS12;LOXL3"
