"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",1e-50,3.30975e-47,NA,0.755699508126863,4.57292653594245,132,"COMP;SBSPON;DPT;COL4A1;THBS2;MFAP5;COL14A1;COL4A2;HMCN2;PRELP;COL3A1;FBLN5;OGN;COL1A1;COL5A1;PODN;CTHRC1;LAMA4;HMCN1;ELN;COL12A1;COL8A1;FBN1;MFGE8;EMILIN3;NID1;TNXB;POSTN;COL6A3;COL1A2","C5_GO"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-50,3.30975e-47,NA,0.746742503176406,4.78555639950128,185,"COMP;GREM1;PCOLCE2;COL4A1;THBS2;MFAP5;INHBA;COL4A2;COL3A1;FBLN5;THY1;COL1A1;COL5A1;CTHRC1;FGF2;CDH2;ELN;COL12A1;NNMT;FBN1;ITGA5;SLIT2;SFRP4;NT5E;CAP2;SERPINE1;CDH11;PMP22;SLIT3;FAP","HALLMARK"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1e-50,3.30975e-47,NA,0.642489657017874,4.3131482016226,263,"ACTC1;SGCA;NCAM1;ACTA1;COMP;ITGA8;PCOLCE2;COL4A1;ITGA11;MFAP5;COL14A1;COL4A2;ITGA7;ITGA9;COL3A1;FBLN5;DDR2;COL1A1;COL5A1;ADAMTS8;LAMA4;FGF2;ELN;COL12A1;COL8A1;ADAMTS5;FBN1;ITGA5;ITGA1;EMILIN3","C2_CP"
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",5.41780876108678e-23,2.65653222918622e-20,1.23789667319529,0.410752401859036,2.75986659275269,270,"FST;CHRDL2;GREM1;ITGA8;MYOCD;CHRDL1;SULF1;TGFB1I1;SFRP2;RBPMS2;ZEB1;FGF2;CAV1;FBN1;ITGA5;SLIT2;SFRP4;DMD;TNXB;NRXN1;ADGRA2;TNFAIP6;EMILIN1;SFRP1;RGMA;ATP2B4;CHRD;LTBP1;SCUBE3;HTRA3","C5_GO"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",1.02501894767669e-20,4.11218965099748e-18,1.1778932614942,0.583238029738497,3.40229007374788,107,"COL4A1;COL14A1;COL4A2;COL3A1;COL1A1;COL5A1;ADAMTS8;ELN;COL12A1;COL8A1;ADAMTS5;FBN1;NID1;COL6A3;COL1A2;FN1;MMP2;COL5A2;ADAMTS4;COL8A2;COL10A1;COL6A1;COL5A3;COL16A1;SCUBE3;COL4A3;COL6A2;BMP1;HSPG2;CAPN6","C2_CP"
"GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS",3.83054530083733e-16,8.02637443997324e-14,1.03769615548758,0.53644467057923,3.09361718859674,96,"TTN;ACTC1;ACTA1;ACTN2;LDB3;PLN;LMOD1;TNNT1;FLNC;MYH3;TCAP;FHOD3;NEB;KLHL41;PMP22;PGM5;PDGFRA;MYOM1;TMOD1;TNNT3;PDGFRB;MYH11;MYOZ1;CCDC136;CNTN1;CFL2;CSRP1;TPM1;MYL9;MYOM2","C5_GO"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH",7.64856833893006e-15,1.29819738768071e-12,0.986546283587582,0.766983843767251,3.55645733940016,35,"COL4A1;COL14A1;COL4A2;COL3A1;COL1A1;COL5A1;COL12A1;COL8A1;COL6A3;COL1A2;COL5A2;COL21A1;COL8A2;COL10A1;COL6A1;COL5A3;COL16A1;COL4A3;COL6A2;COL4A4;COL15A1;COL27A1;COL23A1;COL18A1;COL9A3;COL24A1;COL13A1","C5_GO"
"GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM",4.30813624781916e-13,5.59170742988998e-11,0.932595211336209,0.362442206982128,2.35730007990528,208,"COMP;PRKG1;P2RX1;ABCC9;ATP1A2;ITGA9;PDE3A;SLC2A4;CAV1;ITGA1;SLIT2;KCNMA1;AKAP12;SVEP1;S100A1;KCNJ8;EDNRA;SLC8A1;MMP2;FERMT2;ACTA2;ATP2B4;ATP1B2;BDKRB2;FOXC1;SLC16A7;PDE2A;ZEB2;TACR2;EDNRB","C5_GO"
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",1.81444947997813e-12,2.08882579699395e-10,0.910119734774459,0.514526388216633,2.89083629935047,83,"CHRDL2;GREM1;CHRDL1;SULF1;SFRP2;RBPMS2;FGF2;CAV1;FBN1;SLIT2;ADGRA2;TNFAIP6;EMILIN1;SFRP1;ATP2B4;CHRD;HTRA3;FSTL3;HTRA1;DCN;MMRN1;ANGPT1;THBS1;GREM2;NR2F2;SPART;SULF2;ADAMTS12;DKK1;SKI","C5_GO"
"GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY",1.3098785877439e-11,1.20426962660705e-09,0.875325132024659,0.660521523920585,3.18146612289158,41,"COL3A1;FBLN5;ELN;COL8A1;TNXB;COL1A2;MFAP4;EMILIN1;MYH11;COL8A2;COL6A1;GAS6;GPM6B;HAPLN2;LOX;PRICKLE1;EFEMP2;TGFBR3;LTBP4;TGFB1;ANTXR1;QSOX1;FKBP10;RAMP2","C5_GO"
"GOBP_NEURON_PROJECTION_GUIDANCE",1.37845755785255e-11,1.25857928333862e-09,0.875325132024659,0.358006488564569,2.29477769685944,184,"NEXN;NCAM1;NRP2;MYOT;HMCN2;NFASC;ISL1;SLIT2;UNC5C;ARHGEF25;SLIT3;SEMA3A;BOC;EDNRA;NRXN1;ALKAL2;KIAA1755;FEZ1;PALLD;L1CAM;LAMA2;CNTN1;GLI2;EFNA5;GFRA3;CNTN4;EPHA3;MATN2;LMO4;SEMA3B","C5_GO"
"GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS",3.57323408965601e-11,3.09189843875529e-09,0.851339057116899,0.533604683927648,2.8816121344966,67,"GREM1;NRP2;ITGA5;TNXB;PDGFRA;ADGRA2;EMILIN1;PDGFRB;ATP2B4;FOXC1;DCN;SMOC2;SPHK1;ANGPT1;JCAD;KDR;NR2F2;CCBE1;FLT4;PTP4A3;ADAMTS12;PROX1;GAS1;ITGB1;VCAM1;RAMP2;HSPB1;PGF","C5_GO"
"GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY",3.73126713348922e-11,3.20767828443271e-09,0.851339057116899,0.628872973332903,3.1005944221329,45,"GREM1;NRP2;ITGA5;TNXB;PDGFRA;ADGRA2;EMILIN1;PDGFRB;FOXC1;DCN;SMOC2;ANGPT1;JCAD;KDR;NR2F2;CCBE1;FLT4;PTP4A3;PROX1;ITGB1;PGF","C5_GO"
"GOMF_EXTRACELLULAR_MATRIX_BINDING",5.81052470953465e-11,4.8687048499702e-09,0.851339057116899,0.596794682625029,3.0671992430178,53,"SSC5D;ELN;ADAMTS5;SLIT2;NID1;TNXB;CD248;SMOC1;TINAGL1;OLFML2B;BGN;LTBP1;LTBP2;DCN;LGALS1;SMOC2;TGFBI;OLFML2A;THBS1;ADAMTSL2;ADAMTS15;FBLN2;ADAMTSL5;VWA1;ITGB1;CLEC14A","C5_GO"
"WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY",9.11658041675443e-11,7.3148126143886e-09,0.839088935621274,0.548149493954589,2.89135094793988,60,"SGCA;ACTN2;ITGA8;ITGA11;ITGA7;ITGA9;CDH2;ITGA5;ITGA1;DMD;DES;SLC8A1;LAMA2;TCF7L1;SGCD;ACTN1;RYR2;CACNA1C;CACNA2D3;SGCG;ITGB1;LMNA;GJA1;CACNA2D1;SGCB","C2_CP"
"GOBP_SEMI_LUNAR_VALVE_DEVELOPMENT",1.99279246377361e-10,1.49901019476697e-08,0.826657301178302,0.636682844126087,3.08896521535927,42,"GATA5;ELN;ADAMTS5;SLIT2;CDH11;SLIT3;EMILIN1;HEYL;GJA5;BMP4;TGFBR2;TGFB2;TGFB1;ROCK2;SNAI2;SNAI1;TIE1;STRA6;TNFRSF1A;SMAD6;ROCK1;TNFRSF1B;DLL4","C5_GO"
"GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT",3.06749942583252e-09,1.79693030524764e-07,0.774939030136436,0.57500142037811,2.87106565485605,48,"TTN;COMP;TNNC1;TNNT1;MAP1A;SYNM;CA3;MYH3;TCAP;TNNC2;DMD;TNNT3;COL6A1;TNNI2;ADGRD1;DMPK;ATP2A1;ITPR1;REM1;JSRP1;STAC","C5_GO"
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS",5.61807279926801e-09,3.08621019873482e-07,0.761460801445585,0.684601588249705,3.01564139034359,29,"GREM1;ITGA5;TNXB;ADGRA2;EMILIN1;ATP2B4;DCN;SMOC2;ANGPT1;JCAD;NR2F2;CCBE1;PTP4A3;ADAMTS12;PROX1;ITGB1","C5_GO"
"GOBP_NEUROMUSCULAR_PROCESS",9.35831230236861e-09,5.01597961826146e-07,0.747739663149885,0.369739379671694,2.23769083234743,129,"TTN;COMP;TNNC1;TNNT1;MAP1A;SYNM;CA3;MYH3;TCAP;ADCY5;TNNC2;DMD;KCNJ8;EDNRA;NRXN1;TNNT3;FOXS1;TNNI2;JPH4;ADGRD1;TUBA1A;DMPK;ATP2A1;GLRB;CNTNAP1;SPART;NR4A3;ITPR1;REM1;PRRT2","C5_GO"
"WP_ADIPOGENESIS",1.42782569449549e-08,7.24252274690642e-07,0.747739663149885,0.393643857392226,2.30460555310433,108,"PTGIS;SLC2A4;EBF1;SFRP4;SERPINE1;NR2F1;CNTFR;FRZB;BMP1;MEF2C;LIF;SOCS3;BMP4;NDN;FOXC2;TGFB1;IGF1;GADD45B;WWTR1;RARA;KLF7;ID3;EGR2;LMNA;CDKN1A;CFD;LPIN1;FOXO1;SOCS1;STAT5A","C2_CP"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",1.55761083185913e-08,7.84076418364375e-07,0.73376198835648,0.796502789113078,3.03378254313762,18,"FLNC;LIMS2;FERMT2;FLNA;ACTN1;ILK;FBLIM1;ITGB1;PARVA;RSU1;ACTB;PARVB;ARHGEF6","C2_CP"
"GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION",1.88913801192993e-08,9.33220079848518e-07,0.73376198835648,0.505309773759511,2.6548509793164,59,"ANGPTL7;DDR2;NID1;TNXB;FAP;AEBP1;EMILIN1;COL6A1;LAMA2;EFEMP2;TIMP3;LRP1;TGFBR3;TGFB2;TGFB1;LAMB1;LAMB2;ANTXR1;RECK;ZNF469;PDPN;PRDM5;TIE1;FSCN1;TNFRSF1A","C5_GO"
"GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION",2.29891039695268e-08,1.10272734584263e-06,0.73376198835648,0.545888834448732,2.74432527567966,49,"PRKG1;MYOCD;DDR2;CNN1;FGF2;MMP2;MEF2C;EFEMP2;TPM1;BMP4;RGS5;IGFBP5;NR4A3;IGF1;DNMT1;TGFB3;GJA1;ADAMTS1;CDKN1A;GSTP1","C5_GO"
