"gene","degree","betweenness","is_TF","is_sig_gene"
"KLK3",28,0.153225806451613,FALSE,TRUE
"KLK2",25,0.0564516129032258,FALSE,TRUE
"SORD",23,0.032258064516129,FALSE,TRUE
"KLK4",23,0.00201612903225806,FALSE,TRUE
"ABCC4",21,0.106854838709677,FALSE,TRUE
"TPD52",18,0.0725806451612903,FALSE,TRUE
"SPDEF",17,0.00201612903225806,TRUE,TRUE
"PDLIM5",16,0.0403225806451613,FALSE,TRUE
"CLU",15,0.0725806451612903,FALSE,TRUE
"NKX3-1",15,0.00604838709677419,TRUE,TRUE
"DHCR24",14,0.0100806451612903,FALSE,TRUE
"HOXB13",14,0.032258064516129,TRUE,TRUE
"KRT8",13,0.00201612903225806,FALSE,TRUE
"SLC44A4",12,0.0584677419354839,FALSE,TRUE
"DBI",10,0.00201612903225806,FALSE,TRUE
"SEC11C",10,0,FALSE,TRUE
"NDRG1",9,0.0141129032258065,FALSE,TRUE
"CAMKK2",7,0.00403225806451613,FALSE,TRUE
"PMEPA1",7,0,FALSE,TRUE
"ABHD2",6,0.00201612903225806,FALSE,TRUE
"SCD",6,0,FALSE,TRUE
"SMS",6,0.00806451612903226,FALSE,TRUE
"HERPUD1",6,0,FALSE,TRUE
"BMPR1B",5,0,FALSE,TRUE
"PLPP1",3,0,FALSE,TRUE
"C3",2,0,FALSE,TRUE
"HOMER2",2,0,FALSE,TRUE
"ALDH1A3",2,0,FALSE,TRUE
"ELOVL5",1,0,FALSE,TRUE
"ELF3",1,0,TRUE,TRUE
"STEAP4",1,0,FALSE,TRUE
"FXYD1",1,0,FALSE,TRUE
"KRT19",1,0,FALSE,TRUE
